Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
9,Sat Sep 24 2011,SC Wiener Neustadt,02-Feb,SV Ried,2011,Sep,24,24/Sep/2011,Sat,4,2,2,Draw
9,Sat Sep 24 2011,Kapfenberger SV,1-0,SV Mattersburg,2011,Sep,24,24/Sep/2011,Sat,1,1,0,Kapfenberger SV
9,Sat Sep 24 2011,FK Austria Wien,02-Jan,SK Sturm Graz,2011,Sep,24,24/Sep/2011,Sat,3,2,1,FK Austria Wien
9,Sun Sep 25 2011,FC Admira Wacker Mödling,02-Jan,FC RB Salzburg,2011,Sep,25,25/Sep/2011,Sun,3,2,1,FC Admira Wacker Mödling
10,Sat Oct 1 2011,FC Wacker Innsbruck,03-Jan,Kapfenberger SV,2011,Oct,1,1/Oct/2011,Sat,4,3,1,FC Wacker Innsbruck
10,Sat Oct 1 2011,SC Wiener Neustadt,01-Feb,SV Mattersburg,2011,Oct,1,1/Oct/2011,Sat,3,1,2,SV Mattersburg
10,Sat Oct 1 2011,FC Admira Wacker Mödling,04-Mar,SK Rapid Wien,2011,Oct,1,1/Oct/2011,Sat,7,4,3,FC Admira Wacker Mödling
10,Sun Oct 2 2011,FK Austria Wien,03-Feb,FC RB Salzburg,2011,Oct,2,2/Oct/2011,Sun,5,3,2,FK Austria Wien
10,Sun Oct 2 2011,SK Sturm Graz,1-0,SV Ried,2011,Oct,2,2/Oct/2011,Sun,1,1,0,SK Sturm Graz
11,Sat Oct 15 2011,Kapfenberger SV,0-0,FC Admira Wacker Mödling,2011,Oct,15,15/Oct/2011,Sat,0,0,0,Draw
11,Sat Oct 15 2011,SK Rapid Wien,01-Jan,SC Wiener Neustadt,2011,Oct,15,15/Oct/2011,Sat,2,1,1,Draw
11,Sat Oct 15 2011,FC RB Salzburg,01-Jan,FC Wacker Innsbruck,2011,Oct,15,15/Oct/2011,Sat,2,1,1,Draw
11,Sat Oct 15 2011,SV Ried,02-Jan,FK Austria Wien,2011,Oct,15,15/Oct/2011,Sat,3,2,1,SV Ried
11,Sun Oct 16 2011,SV Mattersburg,03-Mar,SK Sturm Graz,2011,Oct,16,16/Oct/2011,Sun,6,3,3,Draw
12,Sat Oct 22 2011,SC Wiener Neustadt,2-0,Kapfenberger SV,2011,Oct,22,22/Oct/2011,Sat,2,2,0,SC Wiener Neustadt
12,Sat Oct 22 2011,FC Admira Wacker Mödling,03-Feb,FC Wacker Innsbruck,2011,Oct,22,22/Oct/2011,Sat,5,3,2,FC Admira Wacker Mödling
12,Sat Oct 22 2011,SV Ried,2-0,SV Mattersburg,2011,Oct,22,22/Oct/2011,Sat,2,2,0,SV Ried
12,Sun Oct 23 2011,FK Austria Wien,01-Jan,SK Rapid Wien,2011,Oct,23,23/Oct/2011,Sun,2,1,1,Draw
12,Sun Oct 23 2011,SK Sturm Graz,02-Jan,FC RB Salzburg,2011,Oct,23,23/Oct/2011,Sun,3,2,1,SK Sturm Graz
13,Sat Oct 29 2011,SV Mattersburg,0-0,FC Admira Wacker Mödling,2011,Oct,29,29/Oct/2011,Sat,0,0,0,Draw
13,Sat Oct 29 2011,SK Rapid Wien,03-Feb,SK Sturm Graz,2011,Oct,29,29/Oct/2011,Sat,5,3,2,SK Rapid Wien
13,Sat Oct 29 2011,FC Wacker Innsbruck,2-0,SC Wiener Neustadt,2011,Oct,29,29/Oct/2011,Sat,2,2,0,FC Wacker Innsbruck
13,Sat Oct 29 2011,FC RB Salzburg,01-Jan,SV Ried,2011,Oct,29,29/Oct/2011,Sat,2,1,1,Draw
13,Sun Oct 30 2011,Kapfenberger SV,02-Feb,FK Austria Wien,2011,Oct,30,30/Oct/2011,Sun,4,2,2,Draw
14,Sat Nov 5 2011,SC Wiener Neustadt,0-0,FC Admira Wacker Mödling,2011,Nov,5,5/Nov/2011,Sat,0,0,0,Draw
14,Sat Nov 5 2011,SV Ried,01-Jan,SK Rapid Wien,2011,Nov,5,5/Nov/2011,Sat,2,1,1,Draw
14,Sun Nov 6 2011,SK Sturm Graz,1-0,Kapfenberger SV,2011,Nov,6,6/Nov/2011,Sun,1,1,0,SK Sturm Graz
14,Sun Nov 6 2011,FK Austria Wien,02-Feb,FC Wacker Innsbruck,2011,Nov,6,6/Nov/2011,Sun,4,2,2,Draw
14,Sun Nov 6 2011,SV Mattersburg,3-0,FC RB Salzburg,2011,Nov,6,6/Nov/2011,Sun,3,3,0,SV Mattersburg
15,Sat Nov 19 2011,Kapfenberger SV,01-Mar,SV Ried,2011,Nov,19,19/Nov/2011,Sat,4,1,3,SV Ried
