Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Mon Jul 11 2011,SCR Altach,01-Jan,First Vienna FC,2011,Jul,11,11/Jul/2011,Mon,2,1,1,Draw
1,Tue Jul 12 2011,SKN St. Pölten,0-2,Wolfsberger AC,2011,Jul,12,12/Jul/2011,Tue,2,0,2,Wolfsberger AC
1,Tue Jul 12 2011,FC Blau-Weiß Linz,02-Jan,TSV Hartberg,2011,Jul,12,12/Jul/2011,Tue,3,2,1,FC Blau-Weiß Linz
1,Tue Jul 12 2011,SV Grödig,01-Feb,Austria Lustenau,2011,Jul,12,12/Jul/2011,Tue,3,1,2,Austria Lustenau
1,Tue Jul 12 2011,FC Lustenau 07,01-Jan,LASK Linz,2011,Jul,12,12/Jul/2011,Tue,2,1,1,Draw
2,Fri Jul 15 2011,Austria Lustenau,1-0,FC Blau-Weiß Linz,2011,Jul,15,15/Jul/2011,Fri,1,1,0,Austria Lustenau
2,Fri Jul 15 2011,First Vienna FC,04-Feb,FC Lustenau 07,2011,Jul,15,15/Jul/2011,Fri,6,4,2,First Vienna FC
2,Fri Jul 15 2011,LASK Linz,2-0,SKN St. Pölten,2011,Jul,15,15/Jul/2011,Fri,2,2,0,LASK Linz
2,Fri Jul 15 2011,Wolfsberger AC,1-0,SV Grödig,2011,Jul,15,15/Jul/2011,Fri,1,1,0,Wolfsberger AC
2,Fri Jul 15 2011,TSV Hartberg,0-4,SCR Altach,2011,Jul,15,15/Jul/2011,Fri,4,0,4,SCR Altach
3,Mon Jul 18 2011,FC Blau-Weiß Linz,01-Jan,LASK Linz,2011,Jul,18,18/Jul/2011,Mon,2,1,1,Draw
3,Tue Jul 19 2011,SV Grödig,02-Feb,SKN St. Pölten,2011,Jul,19,19/Jul/2011,Tue,4,2,2,Draw
