Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Aug 3 2019,AFC Wimbledon,01-Feb,Rotherham United FC,2019,Aug,3,3/Aug/2019,Sat,3,1,2,Rotherham United FC
1,Sat Aug 3 2019,Blackpool FC,2-0,Bristol Rovers FC,2019,Aug,3,3/Aug/2019,Sat,2,2,0,Blackpool FC
1,Sat Aug 3 2019,Burton Albion FC,0-1,Ipswich Town FC,2019,Aug,3,3/Aug/2019,Sat,1,0,1,Ipswich Town FC
1,Sat Aug 3 2019,Coventry City FC,1-0,Southend United FC,2019,Aug,3,3/Aug/2019,Sat,1,1,0,Coventry City FC
1,Sat Aug 3 2019,Doncaster Rovers FC,01-Jan,Gillingham FC,2019,Aug,3,3/Aug/2019,Sat,2,1,1,Draw
1,Sat Aug 3 2019,Lincoln City FC,2-0,Accrington Stanley FC,2019,Aug,3,3/Aug/2019,Sat,2,2,0,Lincoln City FC
1,Sat Aug 3 2019,Peterborough United FC,01-Mar,Fleetwood Town FC,2019,Aug,3,3/Aug/2019,Sat,4,1,3,Fleetwood Town FC
1,Sat Aug 3 2019,Shrewsbury Town FC,1-0,Portsmouth FC,2019,Aug,3,3/Aug/2019,Sat,1,1,0,Shrewsbury Town FC
1,Sat Aug 3 2019,Sunderland AFC,01-Jan,Oxford United FC,2019,Aug,3,3/Aug/2019,Sat,2,1,1,Draw
1,Sat Aug 3 2019,Tranmere Rovers FC,02-Mar,Rochdale AFC,2019,Aug,3,3/Aug/2019,Sat,5,2,3,Rochdale AFC
1,Sat Aug 3 2019,Wycombe Wanderers FC,2-0,Bolton Wanderers FC,2019,Aug,3,3/Aug/2019,Sat,2,2,0,Wycombe Wanderers FC
2,Sat Aug 10 2019,Bolton Wanderers FC,0-0,Coventry City FC,2019,Aug,10,10/Aug/2019,Sat,0,0,0,Draw
2,Sat Aug 10 2019,Bristol Rovers FC,0-0,Wycombe Wanderers FC,2019,Aug,10,10/Aug/2019,Sat,0,0,0,Draw
2,Sat Aug 10 2019,Fleetwood Town FC,02-Jan,AFC Wimbledon,2019,Aug,10,10/Aug/2019,Sat,3,2,1,Fleetwood Town FC
2,Sat Aug 10 2019,Gillingham FC,01-Feb,Burton Albion FC,2019,Aug,10,10/Aug/2019,Sat,3,1,2,Burton Albion FC
2,Sat Aug 10 2019,Ipswich Town FC,01-Jan,Sunderland AFC,2019,Aug,10,10/Aug/2019,Sat,2,1,1,Draw
2,Sat Aug 10 2019,Southend United FC,01-Mar,Blackpool FC,2019,Aug,10,10/Aug/2019,Sat,4,1,3,Blackpool FC
2,Sat Aug 10 2019,Oxford United FC,1-0,Peterborough United FC,2019,Aug,10,10/Aug/2019,Sat,1,1,0,Oxford United FC
2,Sat Aug 10 2019,Portsmouth FC,2-0,Tranmere Rovers FC,2019,Aug,10,10/Aug/2019,Sat,2,2,0,Portsmouth FC
2,Sat Aug 10 2019,Rochdale AFC,01-Jan,Doncaster Rovers FC,2019,Aug,10,10/Aug/2019,Sat,2,1,1,Draw
2,Sat Aug 10 2019,Rotherham United FC,0-2,Lincoln City FC,2019,Aug,10,10/Aug/2019,Sat,2,0,2,Lincoln City FC
2,Sat Aug 10 2019,Milton Keynes Dons FC,1-0,Shrewsbury Town FC,2019,Aug,10,10/Aug/2019,Sat,1,1,0,Milton Keynes Dons FC
3,Sat Aug 17 2019,Sunderland AFC,02-Jan,Portsmouth FC,2019,Aug,17,17/Aug/2019,Sat,3,2,1,Sunderland AFC
3,Sat Aug 17 2019,AFC Wimbledon,01-Jan,Accrington Stanley FC,2019,Aug,17,17/Aug/2019,Sat,2,1,1,Draw
3,Sat Aug 17 2019,Blackpool FC,02-Jan,Oxford United FC,2019,Aug,17,17/Aug/2019,Sat,3,2,1,Blackpool FC
3,Sat Aug 17 2019,Burton Albion FC,0-1,Rotherham United FC,2019,Aug,17,17/Aug/2019,Sat,1,0,1,Rotherham United FC
