Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Aug 3 2019,Stockport County FC,0-1,Maidenhead United FC,2019,Aug,3,3/Aug/2019,Sat,1,0,1,Maidenhead United FC
1,Sat Aug 3 2019,Aldershot Town FC,01-Feb,AFC Fylde,2019,Aug,3,3/Aug/2019,Sat,3,1,2,AFC Fylde
1,Sat Aug 3 2019,Barnet FC,1-0,Yeovil Town FC,2019,Aug,3,3/Aug/2019,Sat,1,1,0,Barnet FC
1,Sat Aug 3 2019,Chesterfield FC,01-Feb,Dover Athletic FC,2019,Aug,3,3/Aug/2019,Sat,3,1,2,Dover Athletic FC
1,Sat Aug 3 2019,Chorley FC,0-0,Bromley FC,2019,Aug,3,3/Aug/2019,Sat,0,0,0,Draw
1,Sat Aug 3 2019,Dagenham & Redbridge FC,0-2,Woking FC,2019,Aug,3,3/Aug/2019,Sat,2,0,2,Woking FC
1,Sat Aug 3 2019,Eastleigh FC,1-0,Notts County FC,2019,Aug,3,3/Aug/2019,Sat,1,1,0,Eastleigh FC
1,Sat Aug 3 2019,Ebbsfleet United FC,01-Apr,FC Halifax Town,2019,Aug,3,3/Aug/2019,Sat,5,1,4,FC Halifax Town
1,Sat Aug 3 2019,Harrogate Town AFC,02-Feb,Solihull Moors FC,2019,Aug,3,3/Aug/2019,Sat,4,2,2,Draw
1,Sat Aug 3 2019,Hartlepool United FC,01-Mar,Sutton United FC,2019,Aug,3,3/Aug/2019,Sat,4,1,3,Sutton United FC
1,Sat Aug 3 2019,Torquay United FC,02-Jan,Boreham Wood FC,2019,Aug,3,3/Aug/2019,Sat,3,2,1,Torquay United FC
1,Sat Aug 3 2019,Wrexham AFC,02-Jan,Barrow AFC,2019,Aug,3,3/Aug/2019,Sat,3,2,1,Wrexham AFC
2,Tue Aug 6 2019,AFC Fylde,0-0,Chorley FC,2019,Aug,6,6/Aug/2019,Tue,0,0,0,Draw
2,Tue Aug 6 2019,Barrow AFC,0-3,Harrogate Town AFC,2019,Aug,6,6/Aug/2019,Tue,3,0,3,Harrogate Town AFC
2,Tue Aug 6 2019,Boreham Wood FC,02-Feb,Wrexham AFC,2019,Aug,6,6/Aug/2019,Tue,4,2,2,Draw
2,Tue Aug 6 2019,Bromley FC,03-Jan,Ebbsfleet United FC,2019,Aug,6,6/Aug/2019,Tue,4,3,1,Bromley FC
2,Tue Aug 6 2019,Dover Athletic FC,01-Feb,Dagenham & Redbridge FC,2019,Aug,6,6/Aug/2019,Tue,3,1,2,Dagenham & Redbridge FC
2,Tue Aug 6 2019,FC Halifax Town,2-0,Hartlepool United FC,2019,Aug,6,6/Aug/2019,Tue,2,2,0,FC Halifax Town
2,Tue Aug 6 2019,Maidenhead United FC,01-Jan,Chesterfield FC,2019,Aug,6,6/Aug/2019,Tue,2,1,1,Draw
2,Tue Aug 6 2019,Notts County FC,01-Jan,Stockport County FC,2019,Aug,6,6/Aug/2019,Tue,2,1,1,Draw
2,Tue Aug 6 2019,Solihull Moors FC,3-0,Torquay United FC,2019,Aug,6,6/Aug/2019,Tue,3,3,0,Solihull Moors FC
2,Tue Aug 6 2019,Sutton United FC,01-Jan,Barnet FC,2019,Aug,6,6/Aug/2019,Tue,2,1,1,Draw
2,Tue Aug 6 2019,Woking FC,0-1,Aldershot Town FC,2019,Aug,6,6/Aug/2019,Tue,1,0,1,Aldershot Town FC
2,Tue Aug 6 2019,Yeovil Town FC,1-0,Eastleigh FC,2019,Aug,6,6/Aug/2019,Tue,1,1,0,Yeovil Town FC
