Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Aug 11 2017,Arsenal FC,04-Mar,Leicester City FC,2017,Aug,11,11/Aug/2017,Fri,7,4,3,Arsenal FC
1,Sat Aug 12 2017,Watford FC,03-Mar,Liverpool FC,2017,Aug,12,12/Aug/2017,Sat,6,3,3,Draw
1,Sat Aug 12 2017,West Bromwich Albion FC,1-0,AFC Bournemouth,2017,Aug,12,12/Aug/2017,Sat,1,1,0,West Bromwich Albion FC
1,Sat Aug 12 2017,Chelsea FC,02-Mar,Burnley FC,2017,Aug,12,12/Aug/2017,Sat,5,2,3,Burnley FC
1,Sat Aug 12 2017,Brighton & Hove Albion FC,0-2,Manchester City FC,2017,Aug,12,12/Aug/2017,Sat,2,0,2,Manchester City FC
1,Sat Aug 12 2017,Southampton FC,0-0,Swansea City FC,2017,Aug,12,12/Aug/2017,Sat,0,0,0,Draw
1,Sat Aug 12 2017,Everton FC,1-0,Stoke City FC,2017,Aug,12,12/Aug/2017,Sat,1,1,0,Everton FC
1,Sat Aug 12 2017,Crystal Palace FC,0-3,Huddersfield Town AFC,2017,Aug,12,12/Aug/2017,Sat,3,0,3,Huddersfield Town AFC
1,Sun Aug 13 2017,Manchester United FC,4-0,West Ham United FC,2017,Aug,13,13/Aug/2017,Sun,4,4,0,Manchester United FC
1,Sun Aug 13 2017,Newcastle United FC,0-2,Tottenham Hotspur FC,2017,Aug,13,13/Aug/2017,Sun,2,0,2,Tottenham Hotspur FC
2,Sat Aug 19 2017,Swansea City FC,0-4,Manchester United FC,2017,Aug,19,19/Aug/2017,Sat,4,0,4,Manchester United FC
2,Sat Aug 19 2017,Southampton FC,03-Feb,West Ham United FC,2017,Aug,19,19/Aug/2017,Sat,5,3,2,Southampton FC
2,Sat Aug 19 2017,Stoke City FC,1-0,Arsenal FC,2017,Aug,19,19/Aug/2017,Sat,1,1,0,Stoke City FC
2,Sat Aug 19 2017,Burnley FC,0-1,West Bromwich Albion FC,2017,Aug,19,19/Aug/2017,Sat,1,0,1,West Bromwich Albion FC
2,Sat Aug 19 2017,AFC Bournemouth,0-2,Watford FC,2017,Aug,19,19/Aug/2017,Sat,2,0,2,Watford FC
2,Sat Aug 19 2017,Liverpool FC,1-0,Crystal Palace FC,2017,Aug,19,19/Aug/2017,Sat,1,1,0,Liverpool FC
2,Sat Aug 19 2017,Leicester City FC,2-0,Brighton & Hove Albion FC,2017,Aug,19,19/Aug/2017,Sat,2,2,0,Leicester City FC
2,Sun Aug 20 2017,Huddersfield Town AFC,1-0,Newcastle United FC,2017,Aug,20,20/Aug/2017,Sun,1,1,0,Huddersfield Town AFC
2,Sun Aug 20 2017,Tottenham Hotspur FC,01-Feb,Chelsea FC,2017,Aug,20,20/Aug/2017,Sun,3,1,2,Chelsea FC
