Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Finaldurchgang - Qualifikation,27,Tue Jun 16 2020,FC Admira Wacker Mödling,01-Jan,SCR Altach,2020,Jun,16,16/Jun/2020,Tue,2,1,1,Draw
Finaldurchgang - Meister,27,Wed Jun 17 2020,Wolfsberger AC,0-0,FC RB Salzburg,2020,Jun,17,17/Jun/2020,Wed,0,0,0,Draw
Finaldurchgang - Meister,27,Wed Jun 17 2020,LASK Linz,4-0,SK Sturm Graz,2020,Jun,17,17/Jun/2020,Wed,4,4,0,LASK Linz
Finaldurchgang - Meister,27,Wed Jun 17 2020,TSV Hartberg,0-1,SK Rapid Wien,2020,Jun,17,17/Jun/2020,Wed,1,0,1,SK Rapid Wien
Finaldurchgang - Qualifikation,28,Sat Jun 20 2020,SCR Altach,01-Jan,FC Admira Wacker Mödling,2020,Jun,20,20/Jun/2020,Sat,2,1,1,Draw
Finaldurchgang - Qualifikation,28,Sat Jun 20 2020,WSG Tirol,01-Feb,FK Austria Wien,2020,Jun,20,20/Jun/2020,Sat,3,1,2,FK Austria Wien
Finaldurchgang - Qualifikation,28,Sat Jun 20 2020,SV Mattersburg,2-0,SKN St. Pölten,2020,Jun,20,20/Jun/2020,Sat,2,2,0,SV Mattersburg
Finaldurchgang - Meister,28,Sun Jun 21 2020,SK Sturm Graz,0-2,LASK Linz,2020,Jun,21,21/Jun/2020,Sun,2,0,2,LASK Linz
Finaldurchgang - Meister,28,Sun Jun 21 2020,SK Rapid Wien,0-1,TSV Hartberg,2020,Jun,21,21/Jun/2020,Sun,1,0,1,TSV Hartberg
Finaldurchgang - Meister,28,Sun Jun 21 2020,FC RB Salzburg,02-Feb,Wolfsberger AC,2020,Jun,21,21/Jun/2020,Sun,4,2,2,Draw
Finaldurchgang - Qualifikation,29,Tue Jun 23 2020,FC Admira Wacker Mödling,0-2,FK Austria Wien,2020,Jun,23,23/Jun/2020,Tue,2,0,2,FK Austria Wien
Finaldurchgang - Qualifikation,29,Tue Jun 23 2020,SCR Altach,01-Jan,SV Mattersburg,2020,Jun,23,23/Jun/2020,Tue,2,1,1,Draw
Finaldurchgang - Qualifikation,29,Tue Jun 23 2020,SKN St. Pölten,01-Jan,WSG Tirol,2020,Jun,23,23/Jun/2020,Tue,2,1,1,Draw
Finaldurchgang - Meister,29,Wed Jun 24 2020,TSV Hartberg,01-May,LASK Linz,2020,Jun,24,24/Jun/2020,Wed,6,1,5,LASK Linz
Finaldurchgang - Meister,29,Wed Jun 24 2020,Wolfsberger AC,2-0,SK Sturm Graz,2020,Jun,24,24/Jun/2020,Wed,2,2,0,Wolfsberger AC
Finaldurchgang - Meister,29,Wed Jun 24 2020,SK Rapid Wien,02-Jul,FC RB Salzburg,2020,Jun,24,24/Jun/2020,Wed,9,2,7,FC RB Salzburg
Finaldurchgang - Qualifikation,30,Sat Jun 27 2020,FK Austria Wien,02-May,SKN St. Pölten,2020,Jun,27,27/Jun/2020,Sat,7,2,5,SKN St. Pölten
Finaldurchgang - Qualifikation,30,Sat Jun 27 2020,WSG Tirol,0-1,SCR Altach,2020,Jun,27,27/Jun/2020,Sat,1,0,1,SCR Altach
Finaldurchgang - Qualifikation,30,Sat Jun 27 2020,SV Mattersburg,01-Feb,FC Admira Wacker Mödling,2020,Jun,27,27/Jun/2020,Sat,3,1,2,FC Admira Wacker Mödling
Finaldurchgang - Meister,30,Sun Jun 28 2020,FC RB Salzburg,3-0,TSV Hartberg,2020,Jun,28,28/Jun/2020,Sun,3,3,0,FC RB Salzburg
Finaldurchgang - Meister,30,Sun Jun 28 2020,SK Sturm Graz,02-Mar,SK Rapid Wien,2020,Jun,28,28/Jun/2020,Sun,5,2,3,SK Rapid Wien
Finaldurchgang - Meister,30,Sun Jun 28 2020,LASK Linz,0-1,Wolfsberger AC,2020,Jun,28,28/Jun/2020,Sun,1,0,1,Wolfsberger AC
Finaldurchgang - Qualifikation,31,Tue Jun 30 2020,SCR Altach,01-Feb,FK Austria Wien,2020,Jun,30,30/Jun/2020,Tue,3,1,2,FK Austria Wien
Finaldurchgang - Qualifikation,31,Tue Jun 30 2020,FC Admira Wacker Mödling,0-3,SKN St. Pölten,2020,Jun,30,30/Jun/2020,Tue,3,0,3,SKN St. Pölten
Finaldurchgang - Qualifikation,31,Tue Jun 30 2020,SV Mattersburg,04-Jan,WSG Tirol,2020,Jun,30,30/Jun/2020,Tue,5,4,1,SV Mattersburg
Finaldurchgang - Meister,31,Wed Jul 1 2020,TSV Hartberg,03-Mar,Wolfsberger AC,2020,Jul,1,1/Jul/2020,Wed,6,3,3,Draw
Finaldurchgang - Meister,31,Wed Jul 1 2020,FC RB Salzburg,05-Feb,SK Sturm Graz,2020,Jul,1,1/Jul/2020,Wed,7,5,2,FC RB Salzburg
Finaldurchgang - Meister,31,Wed Jul 1 2020,SK Rapid Wien,03-Jan,LASK Linz,2020,Jul,1,1/Jul/2020,Wed,4,3,1,SK Rapid Wien
Finaldurchgang - Qualifikation,32,Sat Jul 4 2020,FK Austria Wien,1-0,SV Mattersburg,2020,Jul,4,4/Jul/2020,Sat,1,1,0,FK Austria Wien
Finaldurchgang - Qualifikation,32,Sat Jul 4 2020,WSG Tirol,0-0,FC Admira Wacker Mödling,2020,Jul,4,4/Jul/2020,Sat,0,0,0,Draw
Finaldurchgang - Qualifikation,32,Sat Jul 4 2020,SKN St. Pölten,2-0,SCR Altach,2020,Jul,4,4/Jul/2020,Sat,2,2,0,SKN St. Pölten
Finaldurchgang - Meister,32,Sun Jul 5 2020,Wolfsberger AC,03-Jan,SK Rapid Wien,2020,Jul,5,5/Jul/2020,Sun,4,3,1,Wolfsberger AC
Finaldurchgang - Meister,32,Sun Jul 5 2020,LASK Linz,0-3,FC RB Salzburg,2020,Jul,5,5/Jul/2020,Sun,3,0,3,FC RB Salzburg
Finaldurchgang - Meister,32,Sun Jul 5 2020,SK Sturm Graz,01-Apr,TSV Hartberg,2020,Jul,5,5/Jul/2020,Sun,5,1,4,TSV Hartberg
