Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Jul 19 2019,USK Anif,01-Apr,SK Sturm Graz,2019,Jul,19,19/Jul/2019,Fri,5,1,4,SK Sturm Graz
1,Fri Jul 19 2019,SK Treibach,01-Feb,WSG Tirol,2019,Jul,19,19/Jul/2019,Fri,3,1,2,WSG Tirol
1,Fri Jul 19 2019,FC Langenegg,01-Apr,Austria Klagenfurt,2019,Jul,19,19/Jul/2019,Fri,5,1,4,Austria Klagenfurt
1,Fri Jul 19 2019,ASK-BSC Bruck/Leitha,0-4,SV Ried,2019,Jul,19,19/Jul/2019,Fri,4,0,4,SV Ried
1,Fri Jul 19 2019,ATSV Wolfsberg,04-Jan,ASK Elektra Wien,2019,Jul,19,19/Jul/2019,Fri,5,4,1,ATSV Wolfsberg
1,Fri Jul 19 2019,FC Kitzbühel,0-7,FC Wacker Innsbruck,2019,Jul,19,19/Jul/2019,Fri,7,0,7,FC Wacker Innsbruck
1,Fri Jul 19 2019,SV Hall,01-May,FC Juniors OÖ,2019,Jul,19,19/Jul/2019,Fri,6,1,5,FC Juniors OÖ
1,Fri Jul 19 2019,ASK Ebreichsdorf,01-Jan,SV Lafnitz,2019,Jul,19,19/Jul/2019,Fri,2,1,1,Draw
1,Fri Jul 19 2019,TuS Bad Gleichenberg,02-Mar,SK Vorwärts Steyr,2019,Jul,19,19/Jul/2019,Fri,5,2,3,SK Vorwärts Steyr
1,Fri Jul 19 2019,FC Gleisdorf 09,4-0,ASV Draßburg,2019,Jul,19,19/Jul/2019,Fri,4,4,0,FC Gleisdorf 09
1,Fri Jul 19 2019,Union Gurten,1-0,FC Zell am See,2019,Jul,19,19/Jul/2019,Fri,1,1,0,Union Gurten
1,Fri Jul 19 2019,SV Seekirchen,01-Apr,SKU Amstetten,2019,Jul,19,19/Jul/2019,Fri,5,1,4,SKU Amstetten
1,Fri Jul 19 2019,Wiener Sport-Club,02-Jun,FC Dornbirn 1913,2019,Jul,19,19/Jul/2019,Fri,8,2,6,FC Dornbirn 1913
1,Fri Jul 19 2019,FC Mauerwerk,01-Feb,FC Marchfeld,2019,Jul,19,19/Jul/2019,Fri,3,1,2,FC Marchfeld
1,Fri Jul 19 2019,SC-ESV Parndorf,01-Jul,FC RB Salzburg,2019,Jul,19,19/Jul/2019,Fri,8,1,7,FC RB Salzburg
1,Sat Jul 20 2019,FC Wolfurt,0-3,Floridsdorfer AC,2019,Jul,20,20/Jul/2019,Sat,3,0,3,Floridsdorfer AC
1,Sat Jul 20 2019,Wiener Viktoria,02-Feb,TSV Hartberg,2019,Jul,20,20/Jul/2019,Sat,4,2,2,Draw
