Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Jul 26 2019,SV Ried,01-Mar,Austria Klagenfurt,2019,Jul,26,26/Jul/2019,Fri,4,1,3,Austria Klagenfurt
1,Fri Jul 26 2019,FC Blau-Weiß Linz,01-Jan,Kapfenberger SV,2019,Jul,26,26/Jul/2019,Fri,2,1,1,Draw
1,Fri Jul 26 2019,FC Liefering,02-Mar,SKU Amstetten,2019,Jul,26,26/Jul/2019,Fri,5,2,3,SKU Amstetten
1,Fri Jul 26 2019,Young Violets Austria Wien,01-May,SV Horn,2019,Jul,26,26/Jul/2019,Fri,6,1,5,SV Horn
1,Fri Jul 26 2019,SV Lafnitz,0-0,FC Juniors OÖ,2019,Jul,26,26/Jul/2019,Fri,0,0,0,Draw
1,Fri Jul 26 2019,SK Vorwärts Steyr,2-0,FC Wacker Innsbruck,2019,Jul,26,26/Jul/2019,Fri,2,2,0,SK Vorwärts Steyr
1,Fri Jul 26 2019,FC Dornbirn 1913,01-Mar,Austria Lustenau,2019,Jul,26,26/Jul/2019,Fri,4,1,3,Austria Lustenau
1,Sun Jul 28 2019,Floridsdorfer AC,2-0,Grazer AK,2019,Jul,28,28/Jul/2019,Sun,2,2,0,Floridsdorfer AC
2,Fri Aug 2 2019,Austria Lustenau,01-Jan,SV Ried,2019,Aug,2,2/Aug/2019,Fri,2,1,1,Draw
2,Fri Aug 2 2019,Kapfenberger SV,01-Feb,SV Lafnitz,2019,Aug,2,2/Aug/2019,Fri,3,1,2,SV Lafnitz
2,Fri Aug 2 2019,FC Juniors OÖ,03-Jan,SK Vorwärts Steyr,2019,Aug,2,2/Aug/2019,Fri,4,3,1,FC Juniors OÖ
2,Fri Aug 2 2019,SKU Amstetten,03-Feb,Young Violets Austria Wien,2019,Aug,2,2/Aug/2019,Fri,5,3,2,SKU Amstetten
2,Fri Aug 2 2019,SV Horn,02-Feb,Floridsdorfer AC,2019,Aug,2,2/Aug/2019,Fri,4,2,2,Draw
2,Fri Aug 2 2019,Grazer AK,2-0,FC Blau-Weiß Linz,2019,Aug,2,2/Aug/2019,Fri,2,2,0,Grazer AK
2,Sun Aug 4 2019,FC Wacker Innsbruck,1-0,FC Dornbirn 1913,2019,Aug,4,4/Aug/2019,Sun,1,1,0,FC Wacker Innsbruck
2,Sun Aug 4 2019,Austria Klagenfurt,04-Apr,FC Liefering,2019,Aug,4,4/Aug/2019,Sun,8,4,4,Draw
3,Fri Aug 9 2019,FC Juniors OÖ,1-0,Kapfenberger SV,2019,Aug,9,9/Aug/2019,Fri,1,1,0,FC Juniors OÖ
3,Fri Aug 9 2019,Floridsdorfer AC,2-0,FC Wacker Innsbruck,2019,Aug,9,9/Aug/2019,Fri,2,2,0,Floridsdorfer AC
3,Fri Aug 9 2019,Young Violets Austria Wien,0-2,Austria Lustenau,2019,Aug,9,9/Aug/2019,Fri,2,0,2,Austria Lustenau
3,Fri Aug 9 2019,SV Lafnitz,2-0,FC Liefering,2019,Aug,9,9/Aug/2019,Fri,2,2,0,SV Lafnitz
3,Fri Aug 9 2019,SK Vorwärts Steyr,0-1,FC Blau-Weiß Linz,2019,Aug,9,9/Aug/2019,Fri,1,0,1,FC Blau-Weiß Linz
3,Fri Aug 9 2019,FC Dornbirn 1913,0-0,Austria Klagenfurt,2019,Aug,9,9/Aug/2019,Fri,0,0,0,Draw
3,Fri Aug 9 2019,Grazer AK,0-0,SV Horn,2019,Aug,9,9/Aug/2019,Fri,0,0,0,Draw
3,Sun Aug 11 2019,SV Ried,04-Jan,SKU Amstetten,2019,Aug,11,11/Aug/2019,Sun,5,4,1,SV Ried
4,Fri Aug 16 2019,FC Wacker Innsbruck,02-Jan,FC Juniors OÖ,2019,Aug,16,16/Aug/2019,Fri,3,2,1,FC Wacker Innsbruck
4,Fri Aug 16 2019,Kapfenberger SV,01-Feb,Austria Klagenfurt,2019,Aug,16,16/Aug/2019,Fri,3,1,2,Austria Klagenfurt
4,Fri Aug 16 2019,FC Blau-Weiß Linz,04-Mar,Young Violets Austria Wien,2019,Aug,16,16/Aug/2019,Fri,7,4,3,FC Blau-Weiß Linz
4,Fri Aug 16 2019,SKU Amstetten,0-2,FC Dornbirn 1913,2019,Aug,16,16/Aug/2019,Fri,2,0,2,FC Dornbirn 1913
4,Fri Aug 16 2019,FC Liefering,03-Feb,SV Horn,2019,Aug,16,16/Aug/2019,Fri,5,3,2,FC Liefering
4,Fri Aug 16 2019,SV Lafnitz,0-1,SV Ried,2019,Aug,16,16/Aug/2019,Fri,1,0,1,SV Ried
4,Fri Aug 16 2019,SK Vorwärts Steyr,1-0,Floridsdorfer AC,2019,Aug,16,16/Aug/2019,Fri,1,1,0,SK Vorwärts Steyr
4,Sun Aug 18 2019,Austria Lustenau,0-2,Grazer AK,2019,Aug,18,18/Aug/2019,Sun,2,0,2,Grazer AK
5,Fri Aug 23 2019,FC Wacker Innsbruck,02-Jan,SKU Amstetten,2019,Aug,23,23/Aug/2019,Fri,3,2,1,FC Wacker Innsbruck
5,Fri Aug 23 2019,SV Ried,01-Feb,Grazer AK,2019,Aug,23,23/Aug/2019,Fri,3,1,2,Grazer AK
5,Fri Aug 23 2019,FC Juniors OÖ,08-May,Austria Lustenau,2019,Aug,23,23/Aug/2019,Fri,13,8,5,FC Juniors OÖ
5,Fri Aug 23 2019,Floridsdorfer AC,0-0,FC Liefering,2019,Aug,23,23/Aug/2019,Fri,0,0,0,Draw
5,Fri Aug 23 2019,Young Violets Austria Wien,02-Mar,SV Lafnitz,2019,Aug,23,23/Aug/2019,Fri,5,2,3,SV Lafnitz
5,Fri Aug 23 2019,SV Horn,01-Apr,SK Vorwärts Steyr,2019,Aug,23,23/Aug/2019,Fri,5,1,4,SK Vorwärts Steyr
5,Sat Aug 24 2019,FC Dornbirn 1913,06-Jan,Kapfenberger SV,2019,Aug,24,24/Aug/2019,Sat,7,6,1,FC Dornbirn 1913
5,Sun Aug 25 2019,Austria Klagenfurt,03-Jan,FC Blau-Weiß Linz,2019,Aug,25,25/Aug/2019,Sun,4,3,1,Austria Klagenfurt
6,Fri Aug 30 2019,Kapfenberger SV,02-Mar,SV Ried,2019,Aug,30,30/Aug/2019,Fri,5,2,3,SV Ried
6,Fri Aug 30 2019,FC Blau-Weiß Linz,1-0,FC Wacker Innsbruck,2019,Aug,30,30/Aug/2019,Fri,1,1,0,FC Blau-Weiß Linz
6,Fri Aug 30 2019,SKU Amstetten,02-Apr,SV Horn,2019,Aug,30,30/Aug/2019,Fri,6,2,4,SV Horn
6,Fri Aug 30 2019,FC Liefering,02-Jan,Young Violets Austria Wien,2019,Aug,30,30/Aug/2019,Fri,3,2,1,FC Liefering
6,Fri Aug 30 2019,SV Lafnitz,0-3,Austria Klagenfurt,2019,Aug,30,30/Aug/2019,Fri,3,0,3,Austria Klagenfurt
6,Fri Aug 30 2019,Grazer AK,02-Jan,FC Juniors OÖ,2019,Aug,30,30/Aug/2019,Fri,3,2,1,Grazer AK
6,Sat Aug 31 2019,SK Vorwärts Steyr,03-Feb,FC Dornbirn 1913,2019,Aug,31,31/Aug/2019,Sat,5,3,2,SK Vorwärts Steyr
6,Sun Sep 1 2019,Austria Lustenau,01-Feb,Floridsdorfer AC,2019,Sep,1,1/Sep/2019,Sun,3,1,2,Floridsdorfer AC
7,Fri Sep 13 2019,SKU Amstetten,02-Jan,SK Vorwärts Steyr,2019,Sep,13,13/Sep/2019,Fri,3,2,1,SKU Amstetten
7,Fri Sep 13 2019,Austria Klagenfurt,03-Mar,Austria Lustenau,2019,Sep,13,13/Sep/2019,Fri,6,3,3,Draw
7,Fri Sep 13 2019,Floridsdorfer AC,01-Jan,SV Lafnitz,2019,Sep,13,13/Sep/2019,Fri,2,1,1,Draw
7,Fri Sep 13 2019,Young Violets Austria Wien,0-0,SV Ried,2019,Sep,13,13/Sep/2019,Fri,0,0,0,Draw
7,Fri Sep 13 2019,SV Horn,05-Jan,Kapfenberger SV,2019,Sep,13,13/Sep/2019,Fri,6,5,1,SV Horn
7,Sat Sep 14 2019,FC Wacker Innsbruck,2-0,Grazer AK,2019,Sep,14,14/Sep/2019,Sat,2,2,0,FC Wacker Innsbruck
7,Sat Sep 14 2019,FC Dornbirn 1913,02-Feb,FC Liefering,2019,Sep,14,14/Sep/2019,Sat,4,2,2,Draw
7,Sun Sep 15 2019,FC Juniors OÖ,0-5,FC Blau-Weiß Linz,2019,Sep,15,15/Sep/2019,Sun,5,0,5,FC Blau-Weiß Linz
8,Fri Sep 20 2019,SV Ried,03-Jan,FC Juniors OÖ,2019,Sep,20,20/Sep/2019,Fri,4,3,1,SV Ried
8,Fri Sep 20 2019,Austria Lustenau,02-Jan,FC Blau-Weiß Linz,2019,Sep,20,20/Sep/2019,Fri,3,2,1,Austria Lustenau
8,Fri Sep 20 2019,Kapfenberger SV,01-Jan,SKU Amstetten,2019,Sep,20,20/Sep/2019,Fri,2,1,1,Draw
8,Fri Sep 20 2019,SV Lafnitz,02-Mar,SV Horn,2019,Sep,20,20/Sep/2019,Fri,5,2,3,SV Horn
8,Fri Sep 20 2019,Grazer AK,01-Feb,Austria Klagenfurt,2019,Sep,20,20/Sep/2019,Fri,3,1,2,Austria Klagenfurt
8,Sat Sep 21 2019,FC Liefering,02-Feb,FC Wacker Innsbruck,2019,Sep,21,21/Sep/2019,Sat,4,2,2,Draw
8,Sat Sep 21 2019,Floridsdorfer AC,0-3,FC Dornbirn 1913,2019,Sep,21,21/Sep/2019,Sat,3,0,3,FC Dornbirn 1913
8,Sun Sep 22 2019,SK Vorwärts Steyr,0-0,Young Violets Austria Wien,2019,Sep,22,22/Sep/2019,Sun,0,0,0,Draw
9,Fri Sep 27 2019,Kapfenberger SV,0-2,FC Liefering,2019,Sep,27,27/Sep/2019,Fri,2,0,2,FC Liefering
9,Fri Sep 27 2019,SKU Amstetten,01-Feb,FC Juniors OÖ,2019,Sep,27,27/Sep/2019,Fri,3,1,2,FC Juniors OÖ
9,Fri Sep 27 2019,Young Violets Austria Wien,04-Jan,Floridsdorfer AC,2019,Sep,27,27/Sep/2019,Fri,5,4,1,Young Violets Austria Wien
9,Fri Sep 27 2019,SV Horn,02-Apr,Austria Lustenau,2019,Sep,27,27/Sep/2019,Fri,6,2,4,Austria Lustenau
