Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Jul 22 2016,FC Liefering,1-0,SV Horn,2016,Jul,22,22/Jul/2016,Fri,1,1,0,FC Liefering
1,Fri Jul 22 2016,FC Blau-Weiß Linz,0-3,WSG Tirol,2016,Jul,22,22/Jul/2016,Fri,3,0,3,WSG Tirol
1,Fri Jul 22 2016,FC Wacker Innsbruck,02-Jan,Floridsdorfer AC,2016,Jul,22,22/Jul/2016,Fri,3,2,1,FC Wacker Innsbruck
1,Fri Jul 22 2016,Kapfenberger SV,03-Jan,SC Wiener Neustadt,2016,Jul,22,22/Jul/2016,Fri,4,3,1,Kapfenberger SV
1,Fri Jul 22 2016,Austria Lustenau,01-Jan,LASK Linz,2016,Jul,22,22/Jul/2016,Fri,2,1,1,Draw
2,Fri Jul 29 2016,SC Wiener Neustadt,01-Apr,FC Liefering,2016,Jul,29,29/Jul/2016,Fri,5,1,4,FC Liefering
2,Fri Jul 29 2016,WSG Tirol,0-0,Floridsdorfer AC,2016,Jul,29,29/Jul/2016,Fri,0,0,0,Draw
2,Fri Jul 29 2016,Austria Lustenau,02-Jan,SV Horn,2016,Jul,29,29/Jul/2016,Fri,3,2,1,Austria Lustenau
2,Fri Jul 29 2016,Kapfenberger SV,01-Jan,FC Wacker Innsbruck,2016,Jul,29,29/Jul/2016,Fri,2,1,1,Draw
2,Fri Jul 29 2016,LASK Linz,02-Jan,FC Blau-Weiß Linz,2016,Jul,29,29/Jul/2016,Fri,3,2,1,LASK Linz
3,Fri Aug 5 2016,FC Liefering,04-Feb,LASK Linz,2016,Aug,5,5/Aug/2016,Fri,6,4,2,FC Liefering
3,Fri Aug 5 2016,FC Blau-Weiß Linz,0-1,SC Wiener Neustadt,2016,Aug,5,5/Aug/2016,Fri,1,0,1,SC Wiener Neustadt
3,Fri Aug 5 2016,SV Horn,01-Feb,Kapfenberger SV,2016,Aug,5,5/Aug/2016,Fri,3,1,2,Kapfenberger SV
3,Fri Aug 5 2016,Floridsdorfer AC,01-Mar,Austria Lustenau,2016,Aug,5,5/Aug/2016,Fri,4,1,3,Austria Lustenau
3,Fri Aug 5 2016,FC Wacker Innsbruck,01-Feb,WSG Tirol,2016,Aug,5,5/Aug/2016,Fri,3,1,2,WSG Tirol
4,Fri Aug 12 2016,FC Liefering,02-Jan,Floridsdorfer AC,2016,Aug,12,12/Aug/2016,Fri,3,2,1,FC Liefering
4,Fri Aug 12 2016,WSG Tirol,0-1,SC Wiener Neustadt,2016,Aug,12,12/Aug/2016,Fri,1,0,1,SC Wiener Neustadt
