Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Jul 23 2016,SK Rapid Wien,5-0,SV Ried,2016,Jul,23,23/Jul/2016,Sat,5,5,0,SK Rapid Wien
1,Sat Jul 23 2016,SK Sturm Graz,03-Jan,FC RB Salzburg,2016,Jul,23,23/Jul/2016,Sat,4,3,1,SK Sturm Graz
1,Sat Jul 23 2016,SCR Altach,1-0,Wolfsberger AC,2016,Jul,23,23/Jul/2016,Sat,1,1,0,SCR Altach
1,Sun Jul 24 2016,SKN St. Pölten,01-Feb,FK Austria Wien,2016,Jul,24,24/Jul/2016,Sun,3,1,2,FK Austria Wien
1,Sun Jul 24 2016,SV Mattersburg,0-1,FC Admira Wacker Mödling,2016,Jul,24,24/Jul/2016,Sun,1,0,1,FC Admira Wacker Mödling
2,Sat Jul 30 2016,FC RB Salzburg,01-Jan,Wolfsberger AC,2016,Jul,30,30/Jul/2016,Sat,2,1,1,Draw
2,Sat Jul 30 2016,SV Ried,1-0,SK Sturm Graz,2016,Jul,30,30/Jul/2016,Sat,1,1,0,SV Ried
2,Sun Jul 31 2016,FK Austria Wien,03-Jan,SV Mattersburg,2016,Jul,31,31/Jul/2016,Sun,4,3,1,FK Austria Wien
2,Sun Jul 31 2016,SCR Altach,1-0,SK Rapid Wien,2016,Jul,31,31/Jul/2016,Sun,1,1,0,SCR Altach
2,Sun Jul 31 2016,SKN St. Pölten,02-Jan,FC Admira Wacker Mödling,2016,Jul,31,31/Jul/2016,Sun,3,2,1,SKN St. Pölten
3,Sat Aug 6 2016,SV Mattersburg,0-2,SK Sturm Graz,2016,Aug,6,6/Aug/2016,Sat,2,0,2,SK Sturm Graz
3,Sat Aug 6 2016,FC RB Salzburg,2-0,SKN St. Pölten,2016,Aug,6,6/Aug/2016,Sat,2,2,0,FC RB Salzburg
3,Sat Aug 6 2016,FC Admira Wacker Mödling,01-Feb,SCR Altach,2016,Aug,6,6/Aug/2016,Sat,3,1,2,SCR Altach
3,Sat Aug 6 2016,Wolfsberger AC,1-0,SV Ried,2016,Aug,6,6/Aug/2016,Sat,1,1,0,Wolfsberger AC
3,Sun Aug 7 2016,FK Austria Wien,01-Apr,SK Rapid Wien,2016,Aug,7,7/Aug/2016,Sun,5,1,4,SK Rapid Wien
4,Sat Aug 13 2016,SV Ried,0-2,FC RB Salzburg,2016,Aug,13,13/Aug/2016,Sat,2,0,2,FC RB Salzburg
