Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Jul 18 2014,SV Mattersburg,2-0,FC Wacker Innsbruck,2014,Jul,18,18/Jul/2014,Fri,2,2,0,SV Mattersburg
1,Fri Jul 18 2014,LASK Linz,02-Jan,Kapfenberger SV,2014,Jul,18,18/Jul/2014,Fri,3,2,1,LASK Linz
1,Fri Jul 18 2014,Austria Lustenau,0-0,Floridsdorfer AC,2014,Jul,18,18/Jul/2014,Fri,0,0,0,Draw
1,Fri Jul 18 2014,TSV Hartberg,0-3,FC Liefering,2014,Jul,18,18/Jul/2014,Fri,3,0,3,FC Liefering
1,Mon Jul 21 2014,SKN St. Pölten,3-0,SV Horn,2014,Jul,21,21/Jul/2014,Mon,3,3,0,SKN St. Pölten
2,Fri Jul 25 2014,FC Wacker Innsbruck,01-Feb,Austria Lustenau,2014,Jul,25,25/Jul/2014,Fri,3,1,2,Austria Lustenau
2,Fri Jul 25 2014,SV Horn,0-0,SV Mattersburg,2014,Jul,25,25/Jul/2014,Fri,0,0,0,Draw
2,Fri Jul 25 2014,FC Liefering,01-Jan,Floridsdorfer AC,2014,Jul,25,25/Jul/2014,Fri,2,1,1,Draw
2,Fri Jul 25 2014,LASK Linz,0-0,TSV Hartberg,2014,Jul,25,25/Jul/2014,Fri,0,0,0,Draw
2,Mon Jul 28 2014,Kapfenberger SV,02-Feb,SKN St. Pölten,2014,Jul,28,28/Jul/2014,Mon,4,2,2,Draw
3,Fri Aug 1 2014,FC Liefering,2-0,Austria Lustenau,2014,Aug,1,1/Aug/2014,Fri,2,2,0,FC Liefering
3,Fri Aug 1 2014,Floridsdorfer AC,02-Jan,SV Horn,2014,Aug,1,1/Aug/2014,Fri,3,2,1,Floridsdorfer AC
3,Fri Aug 1 2014,Kapfenberger SV,0-0,FC Wacker Innsbruck,2014,Aug,1,1/Aug/2014,Fri,0,0,0,Draw
3,Fri Aug 1 2014,TSV Hartberg,0-4,SV Mattersburg,2014,Aug,1,1/Aug/2014,Fri,4,0,4,SV Mattersburg
3,Fri Aug 1 2014,SKN St. Pölten,1-0,LASK Linz,2014,Aug,1,1/Aug/2014,Fri,1,1,0,SKN St. Pölten
7,Sat Aug 2 2014,LASK Linz,2-0,FC Liefering,2014,Aug,2,2/Aug/2014,Sat,2,2,0,LASK Linz
7,Sat Aug 2 2014,Austria Lustenau,0-1,SV Horn,2014,Aug,2,2/Aug/2014,Sat,1,0,1,SV Horn
7,Sat Aug 2 2014,TSV Hartberg,01-Mar,Kapfenberger SV,2014,Aug,2,2/Aug/2014,Sat,4,1,3,Kapfenberger SV
7,Sat Aug 2 2014,SV Mattersburg,2-0,Floridsdorfer AC,2014,Aug,2,2/Aug/2014,Sat,2,2,0,SV Mattersburg
7,Sat Aug 2 2014,SKN St. Pölten,0-1,FC Wacker Innsbruck,2014,Aug,2,2/Aug/2014,Sat,1,0,1,FC Wacker Innsbruck
4,Tue Aug 5 2014,Austria Lustenau,01-Feb,LASK Linz,2014,Aug,5,5/Aug/2014,Tue,3,1,2,LASK Linz
4,Tue Aug 5 2014,SV Horn,3-0,TSV Hartberg,2014,Aug,5,5/Aug/2014,Tue,3,3,0,SV Horn
4,Tue Aug 5 2014,Floridsdorfer AC,02-Feb,Kapfenberger SV,2014,Aug,5,5/Aug/2014,Tue,4,2,2,Draw
4,Tue Aug 5 2014,FC Wacker Innsbruck,0-1,FC Liefering,2014,Aug,5,5/Aug/2014,Tue,1,0,1,FC Liefering
4,Tue Aug 5 2014,SV Mattersburg,4-0,SKN St. Pölten,2014,Aug,5,5/Aug/2014,Tue,4,4,0,SV Mattersburg
5,Fri Aug 8 2014,FC Wacker Innsbruck,02-Jan,Floridsdorfer AC,2014,Aug,8,8/Aug/2014,Fri,3,2,1,FC Wacker Innsbruck
5,Fri Aug 8 2014,LASK Linz,1-0,SV Mattersburg,2014,Aug,8,8/Aug/2014,Fri,1,1,0,LASK Linz
