Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
6,Sun Sep 21 2014,SC Echsenbach,0-4,SV Rehberg,2014,Sep,21,21/Sep/2014,Sun,4,0,4,SV Rehberg
7,Fri Sep 26 2014,USC Grafenwörth,3-0,USV Langenlois,2014,Sep,26,26/Sep/2014,Fri,3,3,0,USC Grafenwörth
7,Fri Sep 26 2014,SV Sieghartskirchen,0-2,SC Echsenbach,2014,Sep,26,26/Sep/2014,Fri,2,0,2,SC Echsenbach
7,Sat Sep 27 2014,SV Rehberg,04-Jan,SC Guntersdorf,2014,Sep,27,27/Sep/2014,Sat,5,4,1,SV Rehberg
7,Sun Sep 28 2014,SV Zwentendorf,1-0,USC Schweiggers,2014,Sep,28,28/Sep/2014,Sun,1,1,0,SV Zwentendorf
7,Sun Sep 28 2014,SC St. Martin,03-Jan,USC Kirchberg/W.,2014,Sep,28,28/Sep/2014,Sun,4,3,1,SC St. Martin
7,Sun Sep 28 2014,USV Groß Gerungs,01-Jan,USC Altenwörth,2014,Sep,28,28/Sep/2014,Sun,2,1,1,Draw
7,Sun Sep 28 2014,SC Weißenkirchen,01-Feb,Horn Amateure,2014,Sep,28,28/Sep/2014,Sun,3,1,2,Horn Amateure
8,Fri Oct 3 2014,USC Schweiggers,02-Feb,SC Weißenkirchen,2014,Oct,3,3/Oct/2014,Fri,4,2,2,Draw
8,Sat Oct 4 2014,SV Rehberg,01-Jan,SV Sieghartskirchen,2014,Oct,4,4/Oct/2014,Sat,2,1,1,Draw
8,Sat Oct 4 2014,USC Altenwörth,01-Feb,SV Zwentendorf,2014,Oct,4,4/Oct/2014,Sat,3,1,2,SV Zwentendorf
8,Sat Oct 4 2014,SC Guntersdorf,02-Jan,Horn Amateure,2014,Oct,4,4/Oct/2014,Sat,3,2,1,SC Guntersdorf
8,Sat Oct 4 2014,USV Langenlois,0-0,USV Groß Gerungs,2014,Oct,4,4/Oct/2014,Sat,0,0,0,Draw
8,Sun Oct 5 2014,USC Kirchberg/W.,01-Feb,USC Grafenwörth,2014,Oct,5,5/Oct/2014,Sun,3,1,2,USC Grafenwörth
8,Sun Oct 5 2014,SC Echsenbach,02-Jan,SC St. Martin,2014,Oct,5,5/Oct/2014,Sun,3,2,1,SC Echsenbach
9,Fri Oct 10 2014,SV Sieghartskirchen,0-2,SC Guntersdorf,2014,Oct,10,10/Oct/2014,Fri,2,0,2,SC Guntersdorf
9,Fri Oct 10 2014,USC Grafenwörth,1-0,SC Echsenbach,2014,Oct,10,10/Oct/2014,Fri,1,1,0,USC Grafenwörth
9,Sat Oct 11 2014,SV Zwentendorf,1-0,USV Langenlois,2014,Oct,11,11/Oct/2014,Sat,1,1,0,SV Zwentendorf
9,Sat Oct 11 2014,SC St. Martin,2-0,SV Rehberg,2014,Oct,11,11/Oct/2014,Sat,2,2,0,SC St. Martin
9,Sat Oct 11 2014,USV Groß Gerungs,1-0,USC Kirchberg/W.,2014,Oct,11,11/Oct/2014,Sat,1,1,0,USV Groß Gerungs
9,Sat Oct 11 2014,Horn Amateure,0-3,USC Schweiggers,2014,Oct,11,11/Oct/2014,Sat,3,0,3,USC Schweiggers
9,Sun Oct 12 2014,SC Weißenkirchen,4-0,USC Altenwörth,2014,Oct,12,12/Oct/2014,Sun,4,4,0,SC Weißenkirchen
10,Fri Oct 17 2014,SV Sieghartskirchen,2-0,SC St. Martin,2014,Oct,17,17/Oct/2014,Fri,2,2,0,SV Sieghartskirchen
10,Sat Oct 18 2014,USC Altenwörth,0-1,Horn Amateure,2014,Oct,18,18/Oct/2014,Sat,1,0,1,Horn Amateure
10,Sat Oct 18 2014,SV Rehberg,3-0,USC Grafenwörth,2014,Oct,18,18/Oct/2014,Sat,3,3,0,SV Rehberg
10,Sat Oct 18 2014,SC Guntersdorf,01-Jan,USC Schweiggers,2014,Oct,18,18/Oct/2014,Sat,2,1,1,Draw
10,Sat Oct 18 2014,USV Langenlois,04-Mar,SC Weißenkirchen,2014,Oct,18,18/Oct/2014,Sat,7,4,3,USV Langenlois
10,Sun Oct 19 2014,USC Kirchberg/W.,3-0,SV Zwentendorf,2014,Oct,19,19/Oct/2014,Sun,3,3,0,USC Kirchberg/W.
10,Sun Oct 19 2014,SC Echsenbach,03-May,USV Groß Gerungs,2014,Oct,19,19/Oct/2014,Sun,8,3,5,USV Groß Gerungs
11,Fri Oct 24 2014,USC Grafenwörth,02-Jan,SV Sieghartskirchen,2014,Oct,24,24/Oct/2014,Fri,3,2,1,USC Grafenwörth
11,Sat Oct 25 2014,SC St. Martin,0-3,SC Guntersdorf,2014,Oct,25,25/Oct/2014,Sat,3,0,3,SC Guntersdorf
11,Sat Oct 25 2014,Horn Amateure,03-Mar,USV Langenlois,2014,Oct,25,25/Oct/2014,Sat,6,3,3,Draw
11,Sat Oct 25 2014,SC Weißenkirchen,3-0,USC Kirchberg/W.,2014,Oct,25,25/Oct/2014,Sat,3,3,0,SC Weißenkirchen
11,Sat Oct 25 2014,USC Schweiggers,06-Jan,USC Altenwörth,2014,Oct,25,25/Oct/2014,Sat,7,6,1,USC Schweiggers
11,Sun Oct 26 2014,SV Zwentendorf,03-Feb,SC Echsenbach,2014,Oct,26,26/Oct/2014,Sun,5,3,2,SV Zwentendorf
11,Sun Oct 26 2014,USV Groß Gerungs,0-0,SV Rehberg,2014,Oct,26,26/Oct/2014,Sun,0,0,0,Draw
12,Fri Oct 31 2014,USC Kirchberg/W.,04-Feb,Horn Amateure,2014,Oct,31,31/Oct/2014,Fri,6,4,2,USC Kirchberg/W.
12,Fri Oct 31 2014,USV Langenlois,1-0,USC Schweiggers,2014,Oct,31,31/Oct/2014,Fri,1,1,0,USV Langenlois
12,Sat Nov 1 2014,SC Guntersdorf,04-Feb,USC Altenwörth,2014,Nov,1,1/Nov/2014,Sat,6,4,2,SC Guntersdorf
12,Sun Nov 2 2014,SV Sieghartskirchen,02-Jan,USV Groß Gerungs,2014,Nov,2,2/Nov/2014,Sun,3,2,1,SV Sieghartskirchen
12,Sun Nov 2 2014,SC Echsenbach,01-Apr,SC Weißenkirchen,2014,Nov,2,2/Nov/2014,Sun,5,1,4,SC Weißenkirchen
12,Sun Nov 2 2014,SC St. Martin,02-Jan,USC Grafenwörth,2014,Nov,2,2/Nov/2014,Sun,3,2,1,SC St. Martin
12,Sun Nov 2 2014,SV Rehberg,03-Feb,SV Zwentendorf,2014,Nov,2,2/Nov/2014,Sun,5,3,2,SV Rehberg
13,Sat Nov 8 2014,USC Grafenwörth,0-0,SC Guntersdorf,2014,Nov,8,8/Nov/2014,Sat,0,0,0,Draw
13,Sat Nov 8 2014,USC Altenwörth,02-Feb,USV Langenlois,2014,Nov,8,8/Nov/2014,Sat,4,2,2,Draw
13,Sat Nov 8 2014,USC Schweiggers,02-Feb,USC Kirchberg/W.,2014,Nov,8,8/Nov/2014,Sat,4,2,2,Draw
13,Sat Nov 8 2014,SC Weißenkirchen,01-Jan,SV Rehberg,2014,Nov,8,8/Nov/2014,Sat,2,1,1,Draw
13,Sat Nov 8 2014,SV Zwentendorf,03-Feb,SV Sieghartskirchen,2014,Nov,8,8/Nov/2014,Sat,5,3,2,SV Zwentendorf
13,Sat Nov 8 2014,Horn Amateure,0-3,SC Echsenbach,2014,Nov,8,8/Nov/2014,Sat,3,0,3,SC Echsenbach
13,Sat Nov 8 2014,USV Groß Gerungs,01-Feb,SC St. Martin,2014,Nov,8,8/Nov/2014,Sat,3,1,2,SC St. Martin
26,Sun Mar 22 2015,SV Sieghartskirchen,01-Feb,SV Zwentendorf,2015,Mar,22,22/Mar/2015,Sun,3,1,2,SV Zwentendorf
26,Sun Mar 22 2015,USV Langenlois,02-Jan,USC Altenwörth,2015,Mar,22,22/Mar/2015,Sun,3,2,1,USV Langenlois
26,Sun Mar 22 2015,USC Kirchberg/W.,0-0,USC Schweiggers,2015,Mar,22,22/Mar/2015,Sun,0,0,0,Draw
26,Sun Mar 22 2015,SC Guntersdorf,2-0,USC Grafenwörth,2015,Mar,22,22/Mar/2015,Sun,2,2,0,SC Guntersdorf
26,Sun Mar 22 2015,SV Rehberg,03-Feb,SC Weißenkirchen,2015,Mar,22,22/Mar/2015,Sun,5,3,2,SV Rehberg
26,Sun Mar 22 2015,SC Echsenbach,0-1,Horn Amateure,2015,Mar,22,22/Mar/2015,Sun,1,0,1,Horn Amateure
26,Sun Mar 22 2015,SC St. Martin,01-Jan,USV Groß Gerungs,2015,Mar,22,22/Mar/2015,Sun,2,1,1,Draw
14,Sun Mar 29 2015,USC Schweiggers,1-0,SC Echsenbach,2015,Mar,29,29/Mar/2015,Sun,1,1,0,USC Schweiggers
14,Sun Mar 29 2015,SC Weißenkirchen,1-0,SV Sieghartskirchen,2015,Mar,29,29/Mar/2015,Sun,1,1,0,SC Weißenkirchen
14,Sun Mar 29 2015,USC Altenwörth,04-Jan,USC Kirchberg/W.,2015,Mar,29,29/Mar/2015,Sun,5,4,1,USC Altenwörth
14,Sun Mar 29 2015,SC Guntersdorf,01-Jan,USV Langenlois,2015,Mar,29,29/Mar/2015,Sun,2,1,1,Draw
14,Sun Mar 29 2015,SV Zwentendorf,01-Jan,SC St. Martin,2015,Mar,29,29/Mar/2015,Sun,2,1,1,Draw
14,Sun Mar 29 2015,USV Groß Gerungs,0-1,USC Grafenwörth,2015,Mar,29,29/Mar/2015,Sun,1,0,1,USC Grafenwörth
14,Sun Mar 29 2015,Horn Amateure,1-0,SV Rehberg,2015,Mar,29,29/Mar/2015,Sun,1,1,0,Horn Amateure
