Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Jul 19 2014,FC RB Salzburg,06-Jan,SK Rapid Wien,2014,Jul,19,19/Jul/2014,Sat,7,6,1,FC RB Salzburg
1,Sat Jul 19 2014,SV Ried,03-Jan,SC Wiener Neustadt,2014,Jul,19,19/Jul/2014,Sat,4,3,1,SV Ried
1,Sat Jul 19 2014,FC Admira Wacker Mödling,01-Apr,Wolfsberger AC,2014,Jul,19,19/Jul/2014,Sat,5,1,4,Wolfsberger AC
1,Sat Jul 19 2014,SCR Altach,1-0,SK Sturm Graz,2014,Jul,19,19/Jul/2014,Sat,1,1,0,SCR Altach
1,Sun Jul 20 2014,FK Austria Wien,01-Jan,SV Grödig,2014,Jul,20,20/Jul/2014,Sun,2,1,1,Draw
2,Sat Jul 26 2014,Wolfsberger AC,4-0,FK Austria Wien,2014,Jul,26,26/Jul/2014,Sat,4,4,0,Wolfsberger AC
2,Sat Jul 26 2014,SC Wiener Neustadt,0-5,FC RB Salzburg,2014,Jul,26,26/Jul/2014,Sat,5,0,5,FC RB Salzburg
2,Sat Jul 26 2014,SK Rapid Wien,1-0,SV Ried,2014,Jul,26,26/Jul/2014,Sat,1,1,0,SK Rapid Wien
2,Sun Jul 27 2014,SV Grödig,02-Jan,SK Sturm Graz,2014,Jul,27,27/Jul/2014,Sun,3,2,1,SV Grödig
3,Sat Aug 2 2014,FC Admira Wacker Mödling,01-Jan,SK Rapid Wien,2014,Aug,2,2/Aug/2014,Sat,2,1,1,Draw
3,Sat Aug 2 2014,SV Ried,0-2,FC RB Salzburg,2014,Aug,2,2/Aug/2014,Sat,2,0,2,FC RB Salzburg
3,Sat Aug 2 2014,FK Austria Wien,0-0,SCR Altach,2014,Aug,2,2/Aug/2014,Sat,0,0,0,Draw
3,Sat Aug 2 2014,SK Sturm Graz,04-Feb,SC Wiener Neustadt,2014,Aug,2,2/Aug/2014,Sat,6,4,2,SK Sturm Graz
3,Sun Aug 3 2014,SV Grödig,0-2,Wolfsberger AC,2014,Aug,3,3/Aug/2014,Sun,2,0,2,Wolfsberger AC
4,Sat Aug 9 2014,SC Wiener Neustadt,02-Feb,FK Austria Wien,2014,Aug,9,9/Aug/2014,Sat,4,2,2,Draw
4,Sat Aug 9 2014,SCR Altach,01-Feb,Wolfsberger AC,2014,Aug,9,9/Aug/2014,Sat,3,1,2,Wolfsberger AC
4,Sat Aug 9 2014,SV Ried,01-Jan,FC Admira Wacker Mödling,2014,Aug,9,9/Aug/2014,Sat,2,1,1,Draw
4,Sat Aug 9 2014,SK Rapid Wien,01-Jan,SK Sturm Graz,2014,Aug,9,9/Aug/2014,Sat,2,1,1,Draw
4,Sun Aug 10 2014,FC RB Salzburg,8-0,SV Grödig,2014,Aug,10,10/Aug/2014,Sun,8,8,0,FC RB Salzburg
2,Wed Aug 13 2014,SCR Altach,0-2,FC Admira Wacker Mödling,2014,Aug,13,13/Aug/2014,Wed,2,0,2,FC Admira Wacker Mödling
5,Sat Aug 16 2014,SK Rapid Wien,0-1,SCR Altach,2014,Aug,16,16/Aug/2014,Sat,1,0,1,SCR Altach
5,Sat Aug 16 2014,SV Grödig,3-0,SC Wiener Neustadt,2014,Aug,16,16/Aug/2014,Sat,3,3,0,SV Grödig
5,Sat Aug 16 2014,Wolfsberger AC,04-Jan,SV Ried,2014,Aug,16,16/Aug/2014,Sat,5,4,1,Wolfsberger AC
5,Sat Aug 16 2014,FC Admira Wacker Mödling,0-3,FC RB Salzburg,2014,Aug,16,16/Aug/2014,Sat,3,0,3,FC RB Salzburg
5,Sun Aug 17 2014,SK Sturm Graz,01-Jan,FK Austria Wien,2014,Aug,17,17/Aug/2014,Sun,2,1,1,Draw
6,Sat Aug 23 2014,SK Sturm Graz,01-Feb,Wolfsberger AC,2014,Aug,23,23/Aug/2014,Sat,3,1,2,Wolfsberger AC
6,Sat Aug 23 2014,FC RB Salzburg,5-0,SCR Altach,2014,Aug,23,23/Aug/2014,Sat,5,5,0,FC RB Salzburg
6,Sat Aug 23 2014,SC Wiener Neustadt,05-Apr,FC Admira Wacker Mödling,2014,Aug,23,23/Aug/2014,Sat,9,5,4,SC Wiener Neustadt
6,Sat Aug 23 2014,SV Ried,02-Feb,SV Grödig,2014,Aug,23,23/Aug/2014,Sat,4,2,2,Draw
6,Sun Aug 24 2014,FK Austria Wien,02-Feb,SK Rapid Wien,2014,Aug,24,24/Aug/2014,Sun,4,2,2,Draw
7,Sat Aug 30 2014,FC Admira Wacker Mödling,02-Jan,FK Austria Wien,2014,Aug,30,30/Aug/2014,Sat,3,2,1,FC Admira Wacker Mödling
7,Sat Aug 30 2014,SCR Altach,02-Feb,SV Ried,2014,Aug,30,30/Aug/2014,Sat,4,2,2,Draw
7,Sat Aug 30 2014,Wolfsberger AC,0-1,SC Wiener Neustadt,2014,Aug,30,30/Aug/2014,Sat,1,0,1,SC Wiener Neustadt
7,Sat Aug 30 2014,FC RB Salzburg,02-Mar,SK Sturm Graz,2014,Aug,30,30/Aug/2014,Sat,5,2,3,SK Sturm Graz
7,Sun Aug 31 2014,SK Rapid Wien,2-0,SV Grödig,2014,Aug,31,31/Aug/2014,Sun,2,2,0,SK Rapid Wien
8,Sat Sep 13 2014,FK Austria Wien,03-Jan,SV Ried,2014,Sep,13,13/Sep/2014,Sat,4,3,1,FK Austria Wien
8,Sat Sep 13 2014,SK Sturm Graz,0-2,FC Admira Wacker Mödling,2014,Sep,13,13/Sep/2014,Sat,2,0,2,FC Admira Wacker Mödling
8,Sun Sep 14 2014,Wolfsberger AC,1-0,FC RB Salzburg,2014,Sep,14,14/Sep/2014,Sun,1,1,0,Wolfsberger AC
8,Wed Sep 17 2014,SV Grödig,03-Mar,SCR Altach,2014,Sep,17,17/Sep/2014,Wed,6,3,3,Draw
8,Wed Sep 17 2014,SC Wiener Neustadt,01-May,SK Rapid Wien,2014,Sep,17,17/Sep/2014,Wed,6,1,5,SK Rapid Wien
9,Sat Sep 20 2014,SK Rapid Wien,3-0,Wolfsberger AC,2014,Sep,20,20/Sep/2014,Sat,3,3,0,SK Rapid Wien
9,Sat Sep 20 2014,SV Ried,0-1,SK Sturm Graz,2014,Sep,20,20/Sep/2014,Sat,1,0,1,SK Sturm Graz
9,Sat Sep 20 2014,SCR Altach,2-0,SC Wiener Neustadt,2014,Sep,20,20/Sep/2014,Sat,2,2,0,SCR Altach
9,Sat Sep 20 2014,FC Admira Wacker Mödling,0-0,SV Grödig,2014,Sep,20,20/Sep/2014,Sat,0,0,0,Draw
9,Sun Sep 21 2014,FC RB Salzburg,02-Mar,FK Austria Wien,2014,Sep,21,21/Sep/2014,Sun,5,2,3,FK Austria Wien
10,Sat Sep 27 2014,SC Wiener Neustadt,0-1,SV Ried,2014,Sep,27,27/Sep/2014,Sat,1,0,1,SV Ried
10,Sat Sep 27 2014,SK Sturm Graz,02-Feb,SCR Altach,2014,Sep,27,27/Sep/2014,Sat,4,2,2,Draw
10,Sat Sep 27 2014,Wolfsberger AC,02-Jan,FC Admira Wacker Mödling,2014,Sep,27,27/Sep/2014,Sat,3,2,1,Wolfsberger AC
10,Sat Sep 27 2014,SV Grödig,0-0,FK Austria Wien,2014,Sep,27,27/Sep/2014,Sat,0,0,0,Draw
10,Sun Sep 28 2014,SK Rapid Wien,01-Feb,FC RB Salzburg,2014,Sep,28,28/Sep/2014,Sun,3,1,2,FC RB Salzburg
11,Sat Oct 4 2014,FK Austria Wien,0-2,Wolfsberger AC,2014,Oct,4,4/Oct/2014,Sat,2,0,2,Wolfsberger AC
11,Sat Oct 4 2014,FC Admira Wacker Mödling,0-2,SCR Altach,2014,Oct,4,4/Oct/2014,Sat,2,0,2,SCR Altach
11,Sat Oct 4 2014,SK Sturm Graz,1-0,SV Grödig,2014,Oct,4,4/Oct/2014,Sat,1,1,0,SK Sturm Graz
11,Sun Oct 5 2014,FC RB Salzburg,04-Jan,SC Wiener Neustadt,2014,Oct,5,5/Oct/2014,Sun,5,4,1,FC RB Salzburg
11,Sun Oct 5 2014,SV Ried,01-Feb,SK Rapid Wien,2014,Oct,5,5/Oct/2014,Sun,3,1,2,SK Rapid Wien
12,Sat Oct 18 2014,FC RB Salzburg,04-Feb,SV Ried,2014,Oct,18,18/Oct/2014,Sat,6,4,2,FC RB Salzburg
12,Sat Oct 18 2014,SCR Altach,01-Jan,FK Austria Wien,2014,Oct,18,18/Oct/2014,Sat,2,1,1,Draw
12,Sat Oct 18 2014,Wolfsberger AC,01-Feb,SV Grödig,2014,Oct,18,18/Oct/2014,Sat,3,1,2,SV Grödig
