Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
5,Fri Sep 13 2019,Rayo Vallecano,2-0,Real Racing Santander,2019,Sep,13,13/Sep/2019,Fri,2,2,0,Rayo Vallecano
5,Sat Sep 14 2019,CD Mirandés,01-Jan,Málaga CF,2019,Sep,14,14/Sep/2019,Sat,2,1,1,Draw
5,Sat Sep 14 2019,CD Numancia,1-0,SD Huesca,2019,Sep,14,14/Sep/2019,Sat,1,1,0,CD Numancia
5,Sat Sep 14 2019,UD Las Palmas,0-3,UD Almería,2019,Sep,14,14/Sep/2019,Sat,3,0,3,UD Almería
5,Sat Sep 14 2019,Cádiz CF,2-0,Girona FC,2019,Sep,14,14/Sep/2019,Sat,2,2,0,Cádiz CF
5,Sat Sep 14 2019,SD Ponferradina,01-Jan,AD Alcorcón,2019,Sep,14,14/Sep/2019,Sat,2,1,1,Draw
5,Sun Sep 15 2019,Albacete Balompié,0-4,CD Tenerife,2019,Sep,15,15/Sep/2019,Sun,4,0,4,CD Tenerife
5,Sun Sep 15 2019,Real Oviedo,0-2,Elche CF,2019,Sep,15,15/Sep/2019,Sun,2,0,2,Elche CF
5,Sun Sep 15 2019,Real Zaragoza,03-Jan,Extremadura UD,2019,Sep,15,15/Sep/2019,Sun,4,3,1,Real Zaragoza
5,Sun Sep 15 2019,CD Lugo,2-0,CF Fuenlabrada,2019,Sep,15,15/Sep/2019,Sun,2,2,0,CD Lugo
5,Sun Sep 15 2019,Sporting Gijón,01-Jan,RCD La Coruña,2019,Sep,15,15/Sep/2019,Sun,2,1,1,Draw
6,Tue Sep 17 2019,Málaga CF,01-Jan,Rayo Vallecano,2019,Sep,17,17/Sep/2019,Tue,2,1,1,Draw
6,Tue Sep 17 2019,UD Almería,03-Jan,Girona FC,2019,Sep,17,17/Sep/2019,Tue,4,3,1,UD Almería
6,Tue Sep 17 2019,Real Racing Santander,4-0,CD Mirandés,2019,Sep,17,17/Sep/2019,Tue,4,4,0,Real Racing Santander
6,Tue Sep 17 2019,AD Alcorcón,3-0,Cádiz CF,2019,Sep,17,17/Sep/2019,Tue,3,3,0,AD Alcorcón
6,Wed Sep 18 2019,CD Lugo,02-Feb,SD Ponferradina,2019,Sep,18,18/Sep/2019,Wed,4,2,2,Draw
6,Wed Sep 18 2019,SD Huesca,0-1,Albacete Balompié,2019,Sep,18,18/Sep/2019,Wed,1,0,1,Albacete Balompié
