Country,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
,9,Fri Aug 27 2010,TSV Hartberg,0-2,Wolfsberger AC,2010,Aug,27,27/Aug/2010,Fri,2,0,2,Wolfsberger AC
,9,Fri Aug 27 2010,FC Gratkorn,0-2,SV Grödig,2010,Aug,27,27/Aug/2010,Fri,2,0,2,SV Grödig
,9,Fri Aug 27 2010,Austria Lustenau,03-Jan,First Vienna FC,2010,Aug,27,27/Aug/2010,Fri,4,3,1,Austria Lustenau
,9,Fri Aug 27 2010,FC Admira Wacker Mödling,03-Feb,SCR Altach,2010,Aug,27,27/Aug/2010,Fri,5,3,2,FC Admira Wacker Mödling
,10,Fri Sep 10 2010,First Vienna FC,0-2,Austria Lustenau,2010,Sep,10,10/Sep/2010,Fri,2,0,2,Austria Lustenau
,10,Fri Sep 10 2010,SCR Altach,03-Mar,FC Admira Wacker Mödling,2010,Sep,10,10/Sep/2010,Fri,6,3,3,Draw
,10,Fri Sep 10 2010,Wolfsberger AC,2-0,TSV Hartberg,2010,Sep,10,10/Sep/2010,Fri,2,2,0,Wolfsberger AC
,10,Fri Sep 10 2010,FC Lustenau 07,03-Jan,SKN St. Pölten,2010,Sep,10,10/Sep/2010,Fri,4,3,1,FC Lustenau 07
,10,Fri Sep 10 2010,SV Grödig,01-Apr,FC Gratkorn,2010,Sep,10,10/Sep/2010,Fri,5,1,4,FC Gratkorn
,11,Mon Sep 13 2010,TSV Hartberg,0-2,SCR Altach,2010,Sep,13,13/Sep/2010,Mon,2,0,2,SCR Altach
,11,Tue Sep 14 2010,FC Admira Wacker Mödling,03-Feb,SKN St. Pölten,2010,Sep,14,14/Sep/2010,Tue,5,3,2,FC Admira Wacker Mödling
,11,Tue Sep 14 2010,FC Gratkorn,03-Feb,Wolfsberger AC,2010,Sep,14,14/Sep/2010,Tue,5,3,2,FC Gratkorn
,11,Tue Sep 14 2010,Austria Lustenau,02-Jan,SV Grödig,2010,Sep,14,14/Sep/2010,Tue,3,2,1,Austria Lustenau
,11,Tue Sep 14 2010,First Vienna FC,04-Jan,FC Lustenau 07,2010,Sep,14,14/Sep/2010,Tue,5,4,1,First Vienna FC
,12,Fri Sep 24 2010,SKN St. Pölten,01-Jan,TSV Hartberg,2010,Sep,24,24/Sep/2010,Fri,2,1,1,Draw
