Country,Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Australia,N/A,8,Wed Sep 22 2010,FK Austria Wien,0-0,FC RB Salzburg,2010,Sep,22,22/Sep/2010,Wed,0,0,0,Draw
Australia,N/A,9,Sat Sep 25 2010,FC RB Salzburg,1-0,SV Ried,2010,Sep,25,25/Sep/2010,Sat,1,1,0,FC RB Salzburg
Australia,N/A,9,Sat Sep 25 2010,FC Wacker Innsbruck,0-0,SC Wiener Neustadt,2010,Sep,25,25/Sep/2010,Sat,0,0,0,Draw
Australia,N/A,9,Sat Sep 25 2010,SK Rapid Wien,03-Feb,Kapfenberger SV,2010,Sep,25,25/Sep/2010,Sat,5,3,2,SK Rapid Wien
Australia,N/A,9,Sat Sep 25 2010,SV Mattersburg,03-Mar,LASK Linz,2010,Sep,25,25/Sep/2010,Sat,6,3,3,Draw
Australia,N/A,9,Sun Sep 26 2010,SK Sturm Graz,0-2,FK Austria Wien,2010,Sep,26,26/Sep/2010,Sun,2,0,2,FK Austria Wien
Australia,N/A,10,Sat Oct 2 2010,LASK Linz,0-1,SV Mattersburg,2010,Oct,2,2/Oct/2010,Sat,1,0,1,SV Mattersburg
Australia,N/A,10,Sat Oct 2 2010,FK Austria Wien,02-Mar,SK Sturm Graz,2010,Oct,2,2/Oct/2010,Sat,5,2,3,SK Sturm Graz
Australia,N/A,10,Sat Oct 2 2010,SC Wiener Neustadt,1-0,FC Wacker Innsbruck,2010,Oct,2,2/Oct/2010,Sat,1,1,0,SC Wiener Neustadt
Australia,N/A,10,Sun Oct 3 2010,SV Ried,01-Feb,FC RB Salzburg,2010,Oct,3,3/Oct/2010,Sun,3,1,2,FC RB Salzburg
Australia,N/A,10,Sun Oct 3 2010,Kapfenberger SV,0-0,SK Rapid Wien,2010,Oct,3,3/Oct/2010,Sun,0,0,0,Draw
Australia,N/A,11,Sat Oct 16 2010,FC RB Salzburg,0-2,Kapfenberger SV,2010,Oct,16,16/Oct/2010,Sat,2,0,2,Kapfenberger SV
Australia,N/A,11,Sat Oct 16 2010,SK Rapid Wien,01-Jan,FC Wacker Innsbruck,2010,Oct,16,16/Oct/2010,Sat,2,1,1,Draw
Australia,N/A,11,Sat Oct 16 2010,SK Sturm Graz,0-1,SV Ried,2010,Oct,16,16/Oct/2010,Sat,1,0,1,SV Ried
Australia,N/A,11,Sat Oct 16 2010,LASK Linz,02-Jan,SC Wiener Neustadt,2010,Oct,16,16/Oct/2010,Sat,3,2,1,LASK Linz
Australia,N/A,11,Sun Oct 17 2010,SV Mattersburg,0-3,FK Austria Wien,2010,Oct,17,17/Oct/2010,Sun,3,0,3,FK Austria Wien
Australia,N/A,12,Sat Oct 23 2010,FK Austria Wien,04-Jan,LASK Linz,2010,Oct,23,23/Oct/2010,Sat,5,4,1,FK Austria Wien
Australia,N/A,12,Sat Oct 23 2010,SV Ried,01-Mar,SV Mattersburg,2010,Oct,23,23/Oct/2010,Sat,4,1,3,SV Mattersburg
Australia,N/A,12,Sat Oct 23 2010,Kapfenberger SV,0-4,SK Sturm Graz,2010,Oct,23,23/Oct/2010,Sat,4,0,4,SK Sturm Graz
Australia,N/A,12,Sun Oct 24 2010,SC Wiener Neustadt,01-Jan,SK Rapid Wien,2010,Oct,24,24/Oct/2010,Sun,2,1,1,Draw
Australia,N/A,12,Sun Oct 24 2010,FC Wacker Innsbruck,0-1,FC RB Salzburg,2010,Oct,24,24/Oct/2010,Sun,1,0,1,FC RB Salzburg
Australia,N/A,2,Wed Oct 27 2010,FC RB Salzburg,4-0,FC Wacker Innsbruck,2010,Oct,27,27/Oct/2010,Wed,4,4,0,FC RB Salzburg
Australia,N/A,13,Sat Oct 30 2010,SV Mattersburg,0-1,Kapfenberger SV,2010,Oct,30,30/Oct/2010,Sat,1,0,1,Kapfenberger SV
Australia,N/A,13,Sat Oct 30 2010,FK Austria Wien,01-Jan,SC Wiener Neustadt,2010,Oct,30,30/Oct/2010,Sat,2,1,1,Draw
Australia,N/A,13,Sat Oct 30 2010,SK Sturm Graz,2-0,FC Wacker Innsbruck,2010,Oct,30,30/Oct/2010,Sat,2,2,0,SK Sturm Graz
Australia,N/A,13,Sat Oct 30 2010,LASK Linz,0-3,SV Ried,2010,Oct,30,30/Oct/2010,Sat,3,0,3,SV Ried
Australia,N/A,13,Sun Oct 31 2010,FC RB Salzburg,01-Jan,SK Rapid Wien,2010,Oct,31,31/Oct/2010,Sun,2,1,1,Draw
Australia,N/A,14,Sat Nov 6 2010,FC Wacker Innsbruck,02-Jan,SV Mattersburg,2010,Nov,6,6/Nov/2010,Sat,3,2,1,FC Wacker Innsbruck
Australia,N/A,14,Sat Nov 6 2010,Kapfenberger SV,04-Jan,LASK Linz,2010,Nov,6,6/Nov/2010,Sat,5,4,1,Kapfenberger SV
Australia,N/A,14,Sat Nov 6 2010,SV Ried,02-Jan,FK Austria Wien,2010,Nov,6,6/Nov/2010,Sat,3,2,1,SV Ried
Australia,N/A,14,Sun Nov 7 2010,SC Wiener Neustadt,1-0,FC RB Salzburg,2010,Nov,7,7/Nov/2010,Sun,1,1,0,SC Wiener Neustadt
Australia,N/A,14,Sun Nov 7 2010,SK Rapid Wien,03-Jan,SK Sturm Graz,2010,Nov,7,7/Nov/2010,Sun,4,3,1,SK Rapid Wien
Australia,N/A,15,Sat Nov 13 2010,SV Mattersburg,02-Feb,SK Rapid Wien,2010,Nov,13,13/Nov/2010,Sat,4,2,2,Draw
Australia,N/A,15,Sat Nov 13 2010,SV Ried,2-0,SC Wiener Neustadt,2010,Nov,13,13/Nov/2010,Sat,2,2,0,SV Ried
Australia,N/A,15,Sat Nov 13 2010,FK Austria Wien,05-Jan,Kapfenberger SV,2010,Nov,13,13/Nov/2010,Sat,6,5,1,FK Austria Wien
Australia,N/A,15,Sat Nov 13 2010,LASK Linz,0-0,FC Wacker Innsbruck,2010,Nov,13,13/Nov/2010,Sat,0,0,0,Draw
Australia,N/A,15,Sun Nov 14 2010,SK Sturm Graz,0-0,FC RB Salzburg,2010,Nov,14,14/Nov/2010,Sun,0,0,0,Draw
Australia,N/A,16,Sat Nov 20 2010,SC Wiener Neustadt,0-3,SK Sturm Graz,2010,Nov,20,20/Nov/2010,Sat,3,0,3,SK Sturm Graz
