Country,Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Australia,N/A,34,Sat May 14 2011,FK Austria Wien,1-0,FC Wacker Innsbruck,2011,May,14,14/May/2011,Sat,1,1,0,FK Austria Wien
Australia,N/A,34,Sat May 14 2011,SV Ried,02-Jan,SK Rapid Wien,2011,May,14,14/May/2011,Sat,3,2,1,SV Ried
Australia,N/A,34,Sat May 14 2011,LASK Linz,0-2,SK Sturm Graz,2011,May,14,14/May/2011,Sat,2,0,2,SK Sturm Graz
Australia,N/A,34,Sun May 15 2011,SV Mattersburg,0-1,FC RB Salzburg,2011,May,15,15/May/2011,Sun,1,0,1,FC RB Salzburg
Australia,N/A,35,Sun May 22 2011,SK Rapid Wien,,FK Austria Wien,2011,May,22,22/May/2011,Sun,1,0,1,FK Austria Wien
Australia,N/A,35,Sun May 22 2011,FC Wacker Innsbruck,1-0,LASK Linz,2011,May,22,22/May/2011,Sun,1,1,0,FC Wacker Innsbruck
Australia,N/A,35,Sun May 22 2011,FC RB Salzburg,02-Feb,SV Ried,2011,May,22,22/May/2011,Sun,4,2,2,Draw
Australia,N/A,35,Sun May 22 2011,SC Wiener Neustadt,01-Feb,SK Sturm Graz,2011,May,22,22/May/2011,Sun,3,1,2,SK Sturm Graz
Australia,N/A,35,Sun May 22 2011,Kapfenberger SV,02-Jan,SV Mattersburg,2011,May,22,22/May/2011,Sun,3,2,1,Kapfenberger SV
Australia,N/A,36,Wed May 25 2011,SV Ried,2-0,Kapfenberger SV,2011,May,25,25/May/2011,Wed,2,2,0,SV Ried
Australia,N/A,36,Wed May 25 2011,LASK Linz,01-Feb,SK Rapid Wien,2011,May,25,25/May/2011,Wed,3,1,2,SK Rapid Wien
Australia,N/A,36,Wed May 25 2011,FK Austria Wien,02-Apr,FC RB Salzburg,2011,May,25,25/May/2011,Wed,6,2,4,FC RB Salzburg
Australia,N/A,36,Wed May 25 2011,SV Mattersburg,01-Jan,SC Wiener Neustadt,2011,May,25,25/May/2011,Wed,2,1,1,Draw
Australia,N/A,36,Wed May 25 2011,SK Sturm Graz,02-Jan,FC Wacker Innsbruck,2011,May,25,25/May/2011,Wed,3,2,1,SK Sturm Graz
