Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Sep 11 2020,Watford FC,1-0,Middlesbrough FC,2020,Sep,11,11/Sep/2020,Fri,1,1,0,Watford FC
1,Sat Sep 12 2020,Birmingham City FC,1-0,Brentford FC,2020,Sep,12,12/Sep/2020,Sat,1,1,0,Birmingham City FC
1,Sat Sep 12 2020,Wycombe Wanderers FC,0-1,Rotherham United FC,2020,Sep,12,12/Sep/2020,Sat,1,0,1,Rotherham United FC
1,Sat Sep 12 2020,AFC Bournemouth,03-Feb,Blackburn Rovers FC,2020,Sep,12,12/Sep/2020,Sat,5,3,2,AFC Bournemouth
1,Sat Sep 12 2020,Bristol City FC,02-Jan,Coventry City FC,2020,Sep,12,12/Sep/2020,Sat,3,2,1,Bristol City FC
1,Sat Sep 12 2020,Cardiff City FC,0-2,Sheffield Wednesday FC,2020,Sep,12,12/Sep/2020,Sat,2,0,2,Sheffield Wednesday FC
1,Sat Sep 12 2020,Derby County FC,0-2,Reading FC,2020,Sep,12,12/Sep/2020,Sat,2,0,2,Reading FC
1,Sat Sep 12 2020,Barnsley FC,0-1,Luton Town FC,2020,Sep,12,12/Sep/2020,Sat,1,0,1,Luton Town FC
1,Sat Sep 12 2020,Millwall FC,0-0,Stoke City FC,2020,Sep,12,12/Sep/2020,Sat,0,0,0,Draw
1,Sat Sep 12 2020,Huddersfield Town AFC,0-1,Norwich City FC,2020,Sep,12,12/Sep/2020,Sat,1,0,1,Norwich City FC
1,Sat Sep 12 2020,Preston North End FC,0-1,Swansea City FC,2020,Sep,12,12/Sep/2020,Sat,1,0,1,Swansea City FC
1,Sat Sep 12 2020,Queens Park Rangers FC,2-0,Nottingham Forest FC,2020,Sep,12,12/Sep/2020,Sat,2,2,0,Queens Park Rangers FC
2,Fri Sep 18 2020,Coventry City FC,03-Feb,Queens Park Rangers FC,2020,Sep,18,18/Sep/2020,Fri,5,3,2,Coventry City FC
2,Sat Sep 19 2020,Nottingham Forest FC,0-2,Cardiff City FC,2020,Sep,19,19/Sep/2020,Sat,2,0,2,Cardiff City FC
2,Sat Sep 19 2020,Blackburn Rovers FC,5-0,Wycombe Wanderers FC,2020,Sep,19,19/Sep/2020,Sat,5,5,0,Blackburn Rovers FC
2,Sat Sep 19 2020,Brentford FC,3-0,Huddersfield Town AFC,2020,Sep,19,19/Sep/2020,Sat,3,3,0,Brentford FC
2,Sat Sep 19 2020,Middlesbrough FC,01-Jan,AFC Bournemouth,2020,Sep,19,19/Sep/2020,Sat,2,1,1,Draw
2,Sat Sep 19 2020,Reading FC,2-0,Barnsley FC,2020,Sep,19,19/Sep/2020,Sat,2,2,0,Reading FC
2,Sat Sep 19 2020,Luton Town FC,02-Jan,Derby County FC,2020,Sep,19,19/Sep/2020,Sat,3,2,1,Luton Town FC
2,Sat Sep 19 2020,Norwich City FC,02-Feb,Preston North End FC,2020,Sep,19,19/Sep/2020,Sat,4,2,2,Draw
2,Sat Sep 19 2020,Rotherham United FC,0-1,Millwall FC,2020,Sep,19,19/Sep/2020,Sat,1,0,1,Millwall FC
2,Sat Sep 19 2020,Sheffield Wednesday FC,0-0,Watford FC,2020,Sep,19,19/Sep/2020,Sat,0,0,0,Draw
2,Sat Sep 19 2020,Swansea City FC,0-0,Birmingham City FC,2020,Sep,19,19/Sep/2020,Sat,0,0,0,Draw
2,Sun Sep 20 2020,Stoke City FC,0-2,Bristol City FC,2020,Sep,20,20/Sep/2020,Sun,2,0,2,Bristol City FC
