Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Grunddurchgang,1,Fri Jul 27 2018,FK Austria Wien,02-Jan,FC Wacker Innsbruck,2018,Jul,27,27/Jul/2018,Fri,3,2,1,FK Austria Wien
Grunddurchgang,1,Sat Jul 28 2018,SCR Altach,02-Mar,SV Mattersburg,2018,Jul,28,28/Jul/2018,Sat,5,2,3,SV Mattersburg
Grunddurchgang,1,Sat Jul 28 2018,SK Sturm Graz,03-Feb,TSV Hartberg,2018,Jul,28,28/Jul/2018,Sat,5,3,2,SK Sturm Graz
Grunddurchgang,1,Sun Jul 29 2018,FC RB Salzburg,03-Jan,LASK Linz,2018,Jul,29,29/Jul/2018,Sun,4,3,1,FC RB Salzburg
Grunddurchgang,1,Sun Jul 29 2018,FC Admira Wacker Mödling,0-3,SK Rapid Wien,2018,Jul,29,29/Jul/2018,Sun,3,0,3,SK Rapid Wien
Grunddurchgang,1,Sun Jul 29 2018,SKN St. Pölten,04-Mar,Wolfsberger AC,2018,Jul,29,29/Jul/2018,Sun,7,4,3,SKN St. Pölten
Grunddurchgang,2,Sat Aug 4 2018,SK Rapid Wien,01-Jan,SCR Altach,2018,Aug,4,4/Aug/2018,Sat,2,1,1,Draw
Grunddurchgang,2,Sat Aug 4 2018,FC Wacker Innsbruck,02-Mar,SK Sturm Graz,2018,Aug,4,4/Aug/2018,Sat,5,2,3,SK Sturm Graz
Grunddurchgang,2,Sat Aug 4 2018,SV Mattersburg,0-2,FC RB Salzburg,2018,Aug,4,4/Aug/2018,Sat,2,0,2,FC RB Salzburg
Grunddurchgang,2,Sun Aug 5 2018,Wolfsberger AC,1-0,FK Austria Wien,2018,Aug,5,5/Aug/2018,Sun,1,1,0,Wolfsberger AC
Grunddurchgang,2,Sun Aug 5 2018,LASK Linz,0-0,SKN St. Pölten,2018,Aug,5,5/Aug/2018,Sun,0,0,0,Draw
Grunddurchgang,2,Sun Aug 5 2018,TSV Hartberg,0-1,FC Admira Wacker Mödling,2018,Aug,5,5/Aug/2018,Sun,1,0,1,FC Admira Wacker Mödling
Grunddurchgang,3,Sat Aug 11 2018,FC RB Salzburg,2-0,FK Austria Wien,2018,Aug,11,11/Aug/2018,Sat,2,2,0,FC RB Salzburg
Grunddurchgang,3,Sat Aug 11 2018,SCR Altach,01-Feb,FC Wacker Innsbruck,2018,Aug,11,11/Aug/2018,Sat,3,1,2,FC Wacker Innsbruck
Grunddurchgang,3,Sat Aug 11 2018,TSV Hartberg,04-Feb,SV Mattersburg,2018,Aug,11,11/Aug/2018,Sat,6,4,2,TSV Hartberg
Grunddurchgang,3,Sun Aug 12 2018,SK Rapid Wien,0-0,Wolfsberger AC,2018,Aug,12,12/Aug/2018,Sun,0,0,0,Draw
Grunddurchgang,3,Sun Aug 12 2018,FC Admira Wacker Mödling,0-1,LASK Linz,2018,Aug,12,12/Aug/2018,Sun,1,0,1,LASK Linz
Grunddurchgang,3,Sun Aug 12 2018,SKN St. Pölten,2-0,SK Sturm Graz,2018,Aug,12,12/Aug/2018,Sun,2,2,0,SKN St. Pölten
Grunddurchgang,4,Sat Aug 18 2018,FC Wacker Innsbruck,0-2,SKN St. Pölten,2018,Aug,18,18/Aug/2018,Sat,2,0,2,SKN St. Pölten
Grunddurchgang,4,Sat Aug 18 2018,SV Mattersburg,0-6,Wolfsberger AC,2018,Aug,18,18/Aug/2018,Sat,6,0,6,Wolfsberger AC
Grunddurchgang,4,Sat Aug 18 2018,FC RB Salzburg,2-0,TSV Hartberg,2018,Aug,18,18/Aug/2018,Sat,2,2,0,FC RB Salzburg
Grunddurchgang,4,Sun Aug 19 2018,SK Sturm Graz,01-Jan,SCR Altach,2018,Aug,19,19/Aug/2018,Sun,2,1,1,Draw
Grunddurchgang,4,Sun Aug 19 2018,FK Austria Wien,4-0,FC Admira Wacker Mödling,2018,Aug,19,19/Aug/2018,Sun,4,4,0,FK Austria Wien
Grunddurchgang,4,Sun Aug 19 2018,LASK Linz,02-Jan,SK Rapid Wien,2018,Aug,19,19/Aug/2018,Sun,3,2,1,LASK Linz
Grunddurchgang,5,Sat Aug 25 2018,Wolfsberger AC,01-Jan,SK Sturm Graz,2018,Aug,25,25/Aug/2018,Sat,2,1,1,Draw
Grunddurchgang,5,Sat Aug 25 2018,SCR Altach,02-Mar,FC RB Salzburg,2018,Aug,25,25/Aug/2018,Sat,5,2,3,FC RB Salzburg
Grunddurchgang,5,Sat Aug 25 2018,SKN St. Pölten,0-0,FK Austria Wien,2018,Aug,25,25/Aug/2018,Sat,0,0,0,Draw
Grunddurchgang,5,Sun Aug 26 2018,FC Admira Wacker Mödling,0-0,SV Mattersburg,2018,Aug,26,26/Aug/2018,Sun,0,0,0,Draw
Grunddurchgang,5,Sun Aug 26 2018,SK Rapid Wien,02-Jan,FC Wacker Innsbruck,2018,Aug,26,26/Aug/2018,Sun,3,2,1,SK Rapid Wien
Grunddurchgang,5,Sun Aug 26 2018,TSV Hartberg,0-1,LASK Linz,2018,Aug,26,26/Aug/2018,Sun,1,0,1,LASK Linz
Grunddurchgang,6,Sat Sep 1 2018,SCR Altach,01-Feb,SKN St. Pölten,2018,Sep,1,1/Sep/2018,Sat,3,1,2,SKN St. Pölten
Grunddurchgang,6,Sat Sep 1 2018,FC Wacker Innsbruck,02-Jan,TSV Hartberg,2018,Sep,1,1/Sep/2018,Sat,3,2,1,FC Wacker Innsbruck
Grunddurchgang,6,Sat Sep 1 2018,FK Austria Wien,02-Jan,SV Mattersburg,2018,Sep,1,1/Sep/2018,Sat,3,2,1,FK Austria Wien
Grunddurchgang,6,Sun Sep 2 2018,LASK Linz,2-0,Wolfsberger AC,2018,Sep,2,2/Sep/2018,Sun,2,2,0,LASK Linz
Grunddurchgang,6,Sun Sep 2 2018,SK Sturm Graz,01-Jan,SK Rapid Wien,2018,Sep,2,2/Sep/2018,Sun,2,1,1,Draw
Grunddurchgang,6,Sun Sep 2 2018,FC RB Salzburg,03-Jan,FC Admira Wacker Mödling,2018,Sep,2,2/Sep/2018,Sun,4,3,1,FC RB Salzburg
Grunddurchgang,7,Sat Sep 15 2018,SKN St. Pölten,01-Mar,FC RB Salzburg,2018,Sep,15,15/Sep/2018,Sat,4,1,3,FC RB Salzburg
Grunddurchgang,7,Sat Sep 15 2018,TSV Hartberg,02-Jan,SCR Altach,2018,Sep,15,15/Sep/2018,Sat,3,2,1,TSV Hartberg
Grunddurchgang,7,Sat Sep 15 2018,FC Admira Wacker Mödling,02-Mar,SK Sturm Graz,2018,Sep,15,15/Sep/2018,Sat,5,2,3,SK Sturm Graz
Grunddurchgang,7,Sun Sep 16 2018,Wolfsberger AC,03-Jan,FC Wacker Innsbruck,2018,Sep,16,16/Sep/2018,Sun,4,3,1,Wolfsberger AC
Grunddurchgang,7,Sun Sep 16 2018,SV Mattersburg,01-Mar,LASK Linz,2018,Sep,16,16/Sep/2018,Sun,4,1,3,LASK Linz
Grunddurchgang,7,Sun Sep 16 2018,SK Rapid Wien,0-1,FK Austria Wien,2018,Sep,16,16/Sep/2018,Sun,1,0,1,FK Austria Wien
Grunddurchgang,8,Sat Sep 22 2018,SK Sturm Graz,01-Feb,SV Mattersburg,2018,Sep,22,22/Sep/2018,Sat,3,1,2,SV Mattersburg
Grunddurchgang,8,Sat Sep 22 2018,SCR Altach,0-1,Wolfsberger AC,2018,Sep,22,22/Sep/2018,Sat,1,0,1,Wolfsberger AC
Grunddurchgang,8,Sat Sep 22 2018,SKN St. Pölten,3-0,TSV Hartberg,2018,Sep,22,22/Sep/2018,Sat,3,3,0,SKN St. Pölten
Grunddurchgang,8,Sun Sep 23 2018,FK Austria Wien,0-3,LASK Linz,2018,Sep,23,23/Sep/2018,Sun,3,0,3,LASK Linz
Grunddurchgang,8,Sun Sep 23 2018,FC Wacker Innsbruck,01-Mar,FC Admira Wacker Mödling,2018,Sep,23,23/Sep/2018,Sun,4,1,3,FC Admira Wacker Mödling
Grunddurchgang,8,Sun Sep 23 2018,FC RB Salzburg,02-Jan,SK Rapid Wien,2018,Sep,23,23/Sep/2018,Sun,3,2,1,FC RB Salzburg
Grunddurchgang,9,Sat Sep 29 2018,FC Admira Wacker Mödling,02-Apr,SCR Altach,2018,Sep,29,29/Sep/2018,Sat,6,2,4,SCR Altach
Grunddurchgang,9,Sat Sep 29 2018,Wolfsberger AC,01-Apr,FC RB Salzburg,2018,Sep,29,29/Sep/2018,Sat,5,1,4,FC RB Salzburg
Grunddurchgang,9,Sat Sep 29 2018,SK Rapid Wien,0-2,SKN St. Pölten,2018,Sep,29,29/Sep/2018,Sat,2,0,2,SKN St. Pölten
Grunddurchgang,9,Sun Sep 30 2018,SV Mattersburg,02-Jan,FC Wacker Innsbruck,2018,Sep,30,30/Sep/2018,Sun,3,2,1,SV Mattersburg
Grunddurchgang,9,Sun Sep 30 2018,TSV Hartberg,0-1,FK Austria Wien,2018,Sep,30,30/Sep/2018,Sun,1,0,1,FK Austria Wien
Grunddurchgang,9,Sun Sep 30 2018,LASK Linz,0-0,SK Sturm Graz,2018,Sep,30,30/Sep/2018,Sun,0,0,0,Draw
Grunddurchgang,10,Sat Oct 6 2018,SKN St. Pölten,0-0,FC Admira Wacker Mödling,2018,Oct,6,6/Oct/2018,Sat,0,0,0,Draw
Grunddurchgang,10,Sat Oct 6 2018,SCR Altach,2-0,FK Austria Wien,2018,Oct,6,6/Oct/2018,Sat,2,2,0,SCR Altach
Grunddurchgang,10,Sat Oct 6 2018,Wolfsberger AC,03-Apr,TSV Hartberg,2018,Oct,6,6/Oct/2018,Sat,7,3,4,TSV Hartberg
Grunddurchgang,10,Sun Oct 7 2018,FC Wacker Innsbruck,1-0,LASK Linz,2018,Oct,7,7/Oct/2018,Sun,1,1,0,FC Wacker Innsbruck
Grunddurchgang,10,Sun Oct 7 2018,SK Rapid Wien,1-0,SV Mattersburg,2018,Oct,7,7/Oct/2018,Sun,1,1,0,SK Rapid Wien
Grunddurchgang,10,Sun Oct 7 2018,SK Sturm Graz,01-Feb,FC RB Salzburg,2018,Oct,7,7/Oct/2018,Sun,3,1,2,FC RB Salzburg
Grunddurchgang,11,Sat Oct 20 2018,FC RB Salzburg,01-Jan,FC Wacker Innsbruck,2018,Oct,20,20/Oct/2018,Sat,2,1,1,Draw
Grunddurchgang,11,Sat Oct 20 2018,LASK Linz,01-Jan,SCR Altach,2018,Oct,20,20/Oct/2018,Sat,2,1,1,Draw
Grunddurchgang,11,Sat Oct 20 2018,TSV Hartberg,3-0,SK Rapid Wien,2018,Oct,20,20/Oct/2018,Sat,3,3,0,TSV Hartberg
Grunddurchgang,11,Sun Oct 21 2018,FC Admira Wacker Mödling,0-0,Wolfsberger AC,2018,Oct,21,21/Oct/2018,Sun,0,0,0,Draw
Grunddurchgang,11,Sun Oct 21 2018,SV Mattersburg,2-0,SKN St. Pölten,2018,Oct,21,21/Oct/2018,Sun,2,2,0,SV Mattersburg
Grunddurchgang,11,Sun Oct 21 2018,FK Austria Wien,01-Jan,SK Sturm Graz,2018,Oct,21,21/Oct/2018,Sun,2,1,1,Draw
Grunddurchgang,12,Sat Oct 27 2018,TSV Hartberg,2-0,SK Sturm Graz,2018,Oct,27,27/Oct/2018,Sat,2,2,0,TSV Hartberg
Grunddurchgang,12,Sat Oct 27 2018,SV Mattersburg,01-Jan,SCR Altach,2018,Oct,27,27/Oct/2018,Sat,2,1,1,Draw
Grunddurchgang,12,Sat Oct 27 2018,FC Wacker Innsbruck,0-0,FK Austria Wien,2018,Oct,27,27/Oct/2018,Sat,0,0,0,Draw
Grunddurchgang,12,Sun Oct 28 2018,Wolfsberger AC,1-0,SKN St. Pölten,2018,Oct,28,28/Oct/2018,Sun,1,1,0,Wolfsberger AC
Grunddurchgang,12,Sun Oct 28 2018,SK Rapid Wien,2-0,FC Admira Wacker Mödling,2018,Oct,28,28/Oct/2018,Sun,2,2,0,SK Rapid Wien
