Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Grunddurchgang,12,Sun Oct 28 2018,LASK Linz,03-Mar,FC RB Salzburg,2018,Oct,28,28/Oct/2018,Sun,6,3,3,Draw
Grunddurchgang,13,Sat Nov 3 2018,SK Sturm Graz,01-Jan,FC Wacker Innsbruck,2018,Nov,3,3/Nov/2018,Sat,2,1,1,Draw
Grunddurchgang,13,Sat Nov 3 2018,FC Admira Wacker Mödling,02-Mar,TSV Hartberg,2018,Nov,3,3/Nov/2018,Sat,5,2,3,TSV Hartberg
Grunddurchgang,13,Sat Nov 3 2018,SKN St. Pölten,02-Feb,LASK Linz,2018,Nov,3,3/Nov/2018,Sat,4,2,2,Draw
Grunddurchgang,13,Sun Nov 4 2018,FK Austria Wien,02-Mar,Wolfsberger AC,2018,Nov,4,4/Nov/2018,Sun,5,2,3,Wolfsberger AC
Grunddurchgang,13,Sun Nov 4 2018,FC RB Salzburg,02-Jan,SV Mattersburg,2018,Nov,4,4/Nov/2018,Sun,3,2,1,FC RB Salzburg
Grunddurchgang,13,Sun Nov 4 2018,SCR Altach,02-Feb,SK Rapid Wien,2018,Nov,4,4/Nov/2018,Sun,4,2,2,Draw
Grunddurchgang,14,Sat Nov 10 2018,FC Wacker Innsbruck,1-0,SCR Altach,2018,Nov,10,10/Nov/2018,Sat,1,1,0,FC Wacker Innsbruck
Grunddurchgang,14,Sat Nov 10 2018,LASK Linz,05-Jan,FC Admira Wacker Mödling,2018,Nov,10,10/Nov/2018,Sat,6,5,1,LASK Linz
Grunddurchgang,14,Sat Nov 10 2018,SK Sturm Graz,0-0,SKN St. Pölten,2018,Nov,10,10/Nov/2018,Sat,0,0,0,Draw
Grunddurchgang,14,Sun Nov 11 2018,Wolfsberger AC,03-Jan,SK Rapid Wien,2018,Nov,11,11/Nov/2018,Sun,4,3,1,Wolfsberger AC
Grunddurchgang,14,Sun Nov 11 2018,SV Mattersburg,01-Feb,TSV Hartberg,2018,Nov,11,11/Nov/2018,Sun,3,1,2,TSV Hartberg
Grunddurchgang,14,Sun Nov 11 2018,FK Austria Wien,0-2,FC RB Salzburg,2018,Nov,11,11/Nov/2018,Sun,2,0,2,FC RB Salzburg
Grunddurchgang,15,Sat Nov 24 2018,Wolfsberger AC,02-Feb,SV Mattersburg,2018,Nov,24,24/Nov/2018,Sat,4,2,2,Draw
Grunddurchgang,15,Sat Nov 24 2018,FC Admira Wacker Mödling,01-Feb,FK Austria Wien,2018,Nov,24,24/Nov/2018,Sat,3,1,2,FK Austria Wien
Grunddurchgang,15,Sat Nov 24 2018,TSV Hartberg,0-4,FC RB Salzburg,2018,Nov,24,24/Nov/2018,Sat,4,0,4,FC RB Salzburg
Grunddurchgang,15,Sun Nov 25 2018,SCR Altach,0-2,SK Sturm Graz,2018,Nov,25,25/Nov/2018,Sun,2,0,2,SK Sturm Graz
Grunddurchgang,15,Sun Nov 25 2018,SKN St. Pölten,2-0,FC Wacker Innsbruck,2018,Nov,25,25/Nov/2018,Sun,2,2,0,SKN St. Pölten
Grunddurchgang,15,Sun Nov 25 2018,SK Rapid Wien,0-1,LASK Linz,2018,Nov,25,25/Nov/2018,Sun,1,0,1,LASK Linz
Grunddurchgang,16,Sat Dec 1 2018,SV Mattersburg,02-Feb,FC Admira Wacker Mödling,2018,Dec,1,1/Dec/2018,Sat,4,2,2,Draw
Grunddurchgang,16,Sat Dec 1 2018,FK Austria Wien,2-0,SKN St. Pölten,2018,Dec,1,1/Dec/2018,Sat,2,2,0,FK Austria Wien
Grunddurchgang,16,Sat Dec 1 2018,LASK Linz,03-Mar,TSV Hartberg,2018,Dec,1,1/Dec/2018,Sat,6,3,3,Draw
Grunddurchgang,16,Sun Dec 2 2018,FC RB Salzburg,1-0,SCR Altach,2018,Dec,2,2/Dec/2018,Sun,1,1,0,FC RB Salzburg
Grunddurchgang,16,Sun Dec 2 2018,FC Wacker Innsbruck,0-1,SK Rapid Wien,2018,Dec,2,2/Dec/2018,Sun,1,0,1,SK Rapid Wien
Grunddurchgang,16,Sun Dec 2 2018,SK Sturm Graz,3-0,Wolfsberger AC,2018,Dec,2,2/Dec/2018,Sun,3,3,0,SK Sturm Graz
Grunddurchgang,17,Sat Dec 8 2018,SKN St. Pölten,02-Jan,SCR Altach,2018,Dec,8,8/Dec/2018,Sat,3,2,1,SKN St. Pölten
Grunddurchgang,17,Sat Dec 8 2018,Wolfsberger AC,01-Jan,LASK Linz,2018,Dec,8,8/Dec/2018,Sat,2,1,1,Draw
Grunddurchgang,17,Sat Dec 8 2018,FC Admira Wacker Mödling,02-Feb,FC RB Salzburg,2018,Dec,8,8/Dec/2018,Sat,4,2,2,Draw
Grunddurchgang,17,Sun Dec 9 2018,TSV Hartberg,02-Feb,FC Wacker Innsbruck,2018,Dec,9,9/Dec/2018,Sun,4,2,2,Draw
Grunddurchgang,17,Sun Dec 9 2018,SV Mattersburg,02-Jan,FK Austria Wien,2018,Dec,9,9/Dec/2018,Sun,3,2,1,SV Mattersburg
Grunddurchgang,17,Sun Dec 9 2018,SK Rapid Wien,0-0,SK Sturm Graz,2018,Dec,9,9/Dec/2018,Sun,0,0,0,Draw
Grunddurchgang,18,Sat Dec 15 2018,FC Wacker Innsbruck,0-0,Wolfsberger AC,2018,Dec,15,15/Dec/2018,Sat,0,0,0,Draw
Grunddurchgang,18,Sat Dec 15 2018,LASK Linz,02-Jan,SV Mattersburg,2018,Dec,15,15/Dec/2018,Sat,3,2,1,LASK Linz
Grunddurchgang,18,Sat Dec 15 2018,SK Sturm Graz,3-0,FC Admira Wacker Mödling,2018,Dec,15,15/Dec/2018,Sat,3,3,0,SK Sturm Graz
Grunddurchgang,18,Sun Dec 16 2018,SCR Altach,06-Jan,TSV Hartberg,2018,Dec,16,16/Dec/2018,Sun,7,6,1,SCR Altach
Grunddurchgang,18,Sun Dec 16 2018,FC RB Salzburg,05-Jan,SKN St. Pölten,2018,Dec,16,16/Dec/2018,Sun,6,5,1,FC RB Salzburg
Grunddurchgang,18,Sun Dec 16 2018,FK Austria Wien,06-Jan,SK Rapid Wien,2018,Dec,16,16/Dec/2018,Sun,7,6,1,FK Austria Wien
Grunddurchgang,19,Fri Feb 22 2019,LASK Linz,2-0,FK Austria Wien,2019,Feb,22,22/Feb/2019,Fri,2,2,0,LASK Linz
Grunddurchgang,19,Sat Feb 23 2019,Wolfsberger AC,0-0,SCR Altach,2019,Feb,23,23/Feb/2019,Sat,0,0,0,Draw
Grunddurchgang,19,Sat Feb 23 2019,FC Admira Wacker Mödling,3-0,FC Wacker Innsbruck,2019,Feb,23,23/Feb/2019,Sat,3,3,0,FC Admira Wacker Mödling
Grunddurchgang,19,Sun Feb 24 2019,SV Mattersburg,01-Jan,SK Sturm Graz,2019,Feb,24,24/Feb/2019,Sun,2,1,1,Draw
Grunddurchgang,19,Sun Feb 24 2019,TSV Hartberg,01-Jan,SKN St. Pölten,2019,Feb,24,24/Feb/2019,Sun,2,1,1,Draw
Grunddurchgang,19,Sun Feb 24 2019,SK Rapid Wien,2-0,FC RB Salzburg,2019,Feb,24,24/Feb/2019,Sun,2,2,0,SK Rapid Wien
Grunddurchgang,20,Sat Mar 2 2019,FC RB Salzburg,3-0,Wolfsberger AC,2019,Mar,2,2/Mar/2019,Sat,3,3,0,FC RB Salzburg
Grunddurchgang,20,Sat Mar 2 2019,SCR Altach,0-1,FC Admira Wacker Mödling,2019,Mar,2,2/Mar/2019,Sat,1,0,1,FC Admira Wacker Mödling
Grunddurchgang,20,Sat Mar 2 2019,SKN St. Pölten,0-4,SK Rapid Wien,2019,Mar,2,2/Mar/2019,Sat,4,0,4,SK Rapid Wien
Grunddurchgang,20,Sun Mar 3 2019,SK Sturm Graz,0-3,LASK Linz,2019,Mar,3,3/Mar/2019,Sun,3,0,3,LASK Linz
Grunddurchgang,20,Sun Mar 3 2019,FK Austria Wien,04-Feb,TSV Hartberg,2019,Mar,3,3/Mar/2019,Sun,6,4,2,FK Austria Wien
Grunddurchgang,20,Sun Mar 3 2019,FC Wacker Innsbruck,0-1,SV Mattersburg,2019,Mar,3,3/Mar/2019,Sun,1,0,1,SV Mattersburg
Grunddurchgang,21,Sun Mar 10 2019,TSV Hartberg,01-Jan,Wolfsberger AC,2019,Mar,10,10/Mar/2019,Sun,2,1,1,Draw
Grunddurchgang,21,Sun Mar 10 2019,SV Mattersburg,02-Jan,SK Rapid Wien,2019,Mar,10,10/Mar/2019,Sun,3,2,1,SV Mattersburg
Grunddurchgang,21,Sun Mar 10 2019,LASK Linz,2-0,FC Wacker Innsbruck,2019,Mar,10,10/Mar/2019,Sun,2,2,0,LASK Linz
Grunddurchgang,21,Sun Mar 10 2019,FC Admira Wacker Mödling,03-Feb,SKN St. Pölten,2019,Mar,10,10/Mar/2019,Sun,5,3,2,FC Admira Wacker Mödling
Grunddurchgang,21,Sun Mar 10 2019,FC RB Salzburg,0-0,SK Sturm Graz,2019,Mar,10,10/Mar/2019,Sun,0,0,0,Draw
Grunddurchgang,21,Sun Mar 10 2019,FK Austria Wien,01-Mar,SCR Altach,2019,Mar,10,10/Mar/2019,Sun,4,1,3,SCR Altach
Grunddurchgang,22,Sun Mar 17 2019,SKN St. Pölten,0-1,SV Mattersburg,2019,Mar,17,17/Mar/2019,Sun,1,0,1,SV Mattersburg
Grunddurchgang,22,Sun Mar 17 2019,SK Rapid Wien,02-Feb,TSV Hartberg,2019,Mar,17,17/Mar/2019,Sun,4,2,2,Draw
Grunddurchgang,22,Sun Mar 17 2019,SCR Altach,01-Feb,LASK Linz,2019,Mar,17,17/Mar/2019,Sun,3,1,2,LASK Linz
Grunddurchgang,22,Sun Mar 17 2019,SK Sturm Graz,1-0,FK Austria Wien,2019,Mar,17,17/Mar/2019,Sun,1,1,0,SK Sturm Graz
Grunddurchgang,22,Sun Mar 17 2019,Wolfsberger AC,02-Feb,FC Admira Wacker Mödling,2019,Mar,17,17/Mar/2019,Sun,4,2,2,Draw
Grunddurchgang,22,Sun Mar 17 2019,FC Wacker Innsbruck,0-2,FC RB Salzburg,2019,Mar,17,17/Mar/2019,Sun,2,0,2,FC RB Salzburg
Finaldurchgang - Qualifikation,23,Sat Mar 30 2019,SK Rapid Wien,3-0,FC Admira Wacker Mödling,2019,Mar,30,30/Mar/2019,Sat,3,3,0,SK Rapid Wien
Finaldurchgang - Qualifikation,23,Sat Mar 30 2019,TSV Hartberg,0-2,FC Wacker Innsbruck,2019,Mar,30,30/Mar/2019,Sat,2,0,2,FC Wacker Innsbruck
Finaldurchgang - Qualifikation,23,Sat Mar 30 2019,SCR Altach,02-Jan,SV Mattersburg,2019,Mar,30,30/Mar/2019,Sat,3,2,1,SCR Altach
Finaldurchgang - Meister,23,Sun Mar 31 2019,Wolfsberger AC,0-3,LASK Linz,2019,Mar,31,31/Mar/2019,Sun,3,0,3,LASK Linz
Finaldurchgang - Meister,23,Sun Mar 31 2019,SK Sturm Graz,0-1,SKN St. Pölten,2019,Mar,31,31/Mar/2019,Sun,1,0,1,SKN St. Pölten
Finaldurchgang - Meister,23,Sun Mar 31 2019,FC RB Salzburg,05-Jan,FK Austria Wien,2019,Mar,31,31/Mar/2019,Sun,6,5,1,FC RB Salzburg
Finaldurchgang - Qualifikation,24,Sat Apr 6 2019,SV Mattersburg,3-0,TSV Hartberg,2019,Apr,6,6/Apr/2019,Sat,3,3,0,SV Mattersburg
Finaldurchgang - Qualifikation,24,Sat Apr 6 2019,FC Wacker Innsbruck,0-2,SK Rapid Wien,2019,Apr,6,6/Apr/2019,Sat,2,0,2,SK Rapid Wien
Finaldurchgang - Qualifikation,24,Sat Apr 6 2019,FC Admira Wacker Mödling,01-Jan,SCR Altach,2019,Apr,6,6/Apr/2019,Sat,2,1,1,Draw
Finaldurchgang - Meister,24,Sun Apr 7 2019,FK Austria Wien,0-1,SK Sturm Graz,2019,Apr,7,7/Apr/2019,Sun,1,0,1,SK Sturm Graz
Finaldurchgang - Meister,24,Sun Apr 7 2019,LASK Linz,0-2,FC RB Salzburg,2019,Apr,7,7/Apr/2019,Sun,2,0,2,FC RB Salzburg
Finaldurchgang - Meister,24,Sun Apr 7 2019,SKN St. Pölten,01-Mar,Wolfsberger AC,2019,Apr,7,7/Apr/2019,Sun,4,1,3,Wolfsberger AC
Finaldurchgang - Qualifikation,25,Sat Apr 13 2019,SK Rapid Wien,02-Jan,SV Mattersburg,2019,Apr,13,13/Apr/2019,Sat,3,2,1,SK Rapid Wien
Finaldurchgang - Qualifikation,25,Sat Apr 13 2019,TSV Hartberg,0-1,SCR Altach,2019,Apr,13,13/Apr/2019,Sat,1,0,1,SCR Altach
Finaldurchgang - Qualifikation,25,Sat Apr 13 2019,FC Wacker Innsbruck,01-Mar,FC Admira Wacker Mödling,2019,Apr,13,13/Apr/2019,Sat,4,1,3,FC Admira Wacker Mödling
Finaldurchgang - Meister,25,Sun Apr 14 2019,LASK Linz,0-0,SKN St. Pölten,2019,Apr,14,14/Apr/2019,Sun,0,0,0,Draw
Finaldurchgang - Meister,25,Sun Apr 14 2019,Wolfsberger AC,01-Jan,FK Austria Wien,2019,Apr,14,14/Apr/2019,Sun,2,1,1,Draw
Finaldurchgang - Meister,25,Sun Apr 14 2019,FC RB Salzburg,03-Jan,SK Sturm Graz,2019,Apr,14,14/Apr/2019,Sun,4,3,1,FC RB Salzburg
Finaldurchgang - Qualifikation,26,Sat Apr 20 2019,SV Mattersburg,03-Jan,FC Wacker Innsbruck,2019,Apr,20,20/Apr/2019,Sat,4,3,1,SV Mattersburg
Finaldurchgang - Qualifikation,26,Sat Apr 20 2019,FC Admira Wacker Mödling,02-Jan,TSV Hartberg,2019,Apr,20,20/Apr/2019,Sat,3,2,1,FC Admira Wacker Mödling
Finaldurchgang - Qualifikation,26,Sat Apr 20 2019,SCR Altach,02-Feb,SK Rapid Wien,2019,Apr,20,20/Apr/2019,Sat,4,2,2,Draw
Finaldurchgang - Meister,26,Sun Apr 21 2019,SK Sturm Graz,01-Feb,Wolfsberger AC,2019,Apr,21,21/Apr/2019,Sun,3,1,2,Wolfsberger AC
Finaldurchgang - Meister,26,Sun Apr 21 2019,SKN St. Pölten,01-Jan,FC RB Salzburg,2019,Apr,21,21/Apr/2019,Sun,2,1,1,Draw
Finaldurchgang - Meister,26,Sun Apr 21 2019,FK Austria Wien,02-Feb,LASK Linz,2019,Apr,21,21/Apr/2019,Sun,4,2,2,Draw
Finaldurchgang - Qualifikation,27,Tue Apr 23 2019,FC Wacker Innsbruck,0-4,SCR Altach,2019,Apr,23,23/Apr/2019,Tue,4,0,4,SCR Altach
Finaldurchgang - Qualifikation,27,Tue Apr 23 2019,FC Admira Wacker Mödling,0-2,SV Mattersburg,2019,Apr,23,23/Apr/2019,Tue,2,0,2,SV Mattersburg
Finaldurchgang - Qualifikation,27,Tue Apr 23 2019,TSV Hartberg,02-Apr,SK Rapid Wien,2019,Apr,23,23/Apr/2019,Tue,6,2,4,SK Rapid Wien
Finaldurchgang - Meister,27,Wed Apr 24 2019,LASK Linz,01-Feb,SK Sturm Graz,2019,Apr,24,24/Apr/2019,Wed,3,1,2,SK Sturm Graz
Finaldurchgang - Meister,27,Wed Apr 24 2019,FK Austria Wien,02-Feb,SKN St. Pölten,2019,Apr,24,24/Apr/2019,Wed,4,2,2,Draw
Finaldurchgang - Meister,27,Wed Apr 24 2019,FC RB Salzburg,03-Jan,Wolfsberger AC,2019,Apr,24,24/Apr/2019,Wed,4,3,1,FC RB Salzburg
Finaldurchgang - Qualifikation,28,Sat Apr 27 2019,SK Rapid Wien,03-Apr,TSV Hartberg,2019,Apr,27,27/Apr/2019,Sat,7,3,4,TSV Hartberg
