Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Jul 27 2018,SK Vorwärts Steyr,01-Jan,SV Ried,2018,Jul,27,27/Jul/2018,Fri,2,1,1,Draw
1,Fri Jul 27 2018,Kapfenberger SV,3-0,Young Violets Austria Wien,2018,Jul,27,27/Jul/2018,Fri,3,3,0,Kapfenberger SV
1,Fri Jul 27 2018,SC Wiener Neustadt,0-2,FC Blau-Weiß Linz,2018,Jul,27,27/Jul/2018,Fri,2,0,2,FC Blau-Weiß Linz
1,Fri Jul 27 2018,SV Horn,01-Feb,FC Liefering,2018,Jul,27,27/Jul/2018,Fri,3,1,2,FC Liefering
1,Fri Jul 27 2018,Austria Klagenfurt,01-Jan,Austria Lustenau,2018,Jul,27,27/Jul/2018,Fri,2,1,1,Draw
1,Sat Jul 28 2018,WSG Tirol,06-Jan,SV Lafnitz,2018,Jul,28,28/Jul/2018,Sat,7,6,1,WSG Tirol
1,Sun Jul 29 2018,SKU Amstetten,03-Apr,Floridsdorfer AC,2018,Jul,29,29/Jul/2018,Sun,7,3,4,Floridsdorfer AC
1,Sun Jul 29 2018,FC Juniors OÖ,0-3,FC Wacker Innsbruck II,2018,Jul,29,29/Jul/2018,Sun,3,0,3,FC Wacker Innsbruck II
2,Fri Aug 3 2018,FC Blau-Weiß Linz,03-Jan,Austria Klagenfurt,2018,Aug,3,3/Aug/2018,Fri,4,3,1,FC Blau-Weiß Linz
2,Fri Aug 3 2018,FC Liefering,4-0,SK Vorwärts Steyr,2018,Aug,3,3/Aug/2018,Fri,4,4,0,FC Liefering
2,Fri Aug 3 2018,SV Lafnitz,01-Feb,FC Juniors OÖ,2018,Aug,3,3/Aug/2018,Fri,3,1,2,FC Juniors OÖ
2,Fri Aug 3 2018,Floridsdorfer AC,0-2,Kapfenberger SV,2018,Aug,3,3/Aug/2018,Fri,2,0,2,Kapfenberger SV
2,Fri Aug 3 2018,Young Violets Austria Wien,04-Mar,SV Horn,2018,Aug,3,3/Aug/2018,Fri,7,4,3,Young Violets Austria Wien
2,Sat Aug 4 2018,Austria Lustenau,01-Jan,SC Wiener Neustadt,2018,Aug,4,4/Aug/2018,Sat,2,1,1,Draw
2,Sun Aug 5 2018,SV Ried,02-Jan,WSG Tirol,2018,Aug,5,5/Aug/2018,Sun,3,2,1,SV Ried
2,Sun Aug 5 2018,FC Wacker Innsbruck II,0-0,SKU Amstetten,2018,Aug,5,5/Aug/2018,Sun,0,0,0,Draw
3,Fri Aug 10 2018,FC Liefering,3-0,Young Violets Austria Wien,2018,Aug,10,10/Aug/2018,Fri,3,3,0,FC Liefering
3,Fri Aug 10 2018,SKU Amstetten,01-Jan,SV Lafnitz,2018,Aug,10,10/Aug/2018,Fri,2,1,1,Draw
3,Fri Aug 10 2018,SV Horn,0-3,Austria Lustenau,2018,Aug,10,10/Aug/2018,Fri,3,0,3,Austria Lustenau
3,Sat Aug 11 2018,WSG Tirol,01-Jan,Austria Klagenfurt,2018,Aug,11,11/Aug/2018,Sat,2,1,1,Draw
3,Sat Aug 11 2018,FC Wacker Innsbruck II,01-Mar,FC Blau-Weiß Linz,2018,Aug,11,11/Aug/2018,Sat,4,1,3,FC Blau-Weiß Linz
3,Sat Aug 11 2018,Kapfenberger SV,01-Feb,SV Ried,2018,Aug,11,11/Aug/2018,Sat,3,1,2,SV Ried
3,Sun Aug 12 2018,SK Vorwärts Steyr,0-2,SC Wiener Neustadt,2018,Aug,12,12/Aug/2018,Sun,2,0,2,SC Wiener Neustadt
3,Sun Aug 12 2018,FC Juniors OÖ,02-Feb,Floridsdorfer AC,2018,Aug,12,12/Aug/2018,Sun,4,2,2,Draw
4,Fri Aug 17 2018,SV Ried,3-0,FC Liefering,2018,Aug,17,17/Aug/2018,Fri,3,3,0,SV Ried
4,Fri Aug 17 2018,FC Blau-Weiß Linz,01-Feb,SKU Amstetten,2018,Aug,17,17/Aug/2018,Fri,3,1,2,SKU Amstetten
4,Fri Aug 17 2018,SC Wiener Neustadt,0-0,Young Violets Austria Wien,2018,Aug,17,17/Aug/2018,Fri,0,0,0,Draw
4,Fri Aug 17 2018,Floridsdorfer AC,0-2,WSG Tirol,2018,Aug,17,17/Aug/2018,Fri,2,0,2,WSG Tirol
4,Fri Aug 17 2018,Austria Klagenfurt,0-1,FC Wacker Innsbruck II,2018,Aug,17,17/Aug/2018,Fri,1,0,1,FC Wacker Innsbruck II
4,Sat Aug 18 2018,Austria Lustenau,2-0,FC Juniors OÖ,2018,Aug,18,18/Aug/2018,Sat,2,2,0,Austria Lustenau
4,Sun Aug 19 2018,Kapfenberger SV,03-Jan,SK Vorwärts Steyr,2018,Aug,19,19/Aug/2018,Sun,4,3,1,Kapfenberger SV
