Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Jul 20 2018,SV Leobendorf,2-0,SV Neuberg,2018,Jul,20,20/Jul/2018,Fri,2,2,0,SV Leobendorf
1,Fri Jul 20 2018,SAK Klagenfurt,1-0,VST Völkermarkt,2018,Jul,20,20/Jul/2018,Fri,1,1,0,SAK Klagenfurt
1,Fri Jul 20 2018,SVG Reichenau,03-May,Kapfenberger SV,2018,Jul,20,20/Jul/2018,Fri,8,3,5,Kapfenberger SV
1,Fri Jul 20 2018,SK Maria Saal,0-6,SKN St. Pölten,2018,Jul,20,20/Jul/2018,Fri,6,0,6,SKN St. Pölten
1,Fri Jul 20 2018,SV Grödig,01-Jan,TSV Hartberg,2018,Jul,20,20/Jul/2018,Fri,2,1,1,Draw
1,Fri Jul 20 2018,SC Schwaz,2-0,FC Dornbirn 1913,2018,Jul,20,20/Jul/2018,Fri,2,2,0,SC Schwaz
1,Fri Jul 20 2018,WSC Hertha Wels,0-3,LASK Linz,2018,Jul,20,20/Jul/2018,Fri,3,0,3,LASK Linz
1,Fri Jul 20 2018,USV Allerheiligen,01-Mar,SV Mattersburg,2018,Jul,20,20/Jul/2018,Fri,4,1,3,SV Mattersburg
1,Fri Jul 20 2018,ASK Ebreichsdorf,01-Feb,SK Vorwärts Steyr,2018,Jul,20,20/Jul/2018,Fri,3,1,2,SK Vorwärts Steyr
1,Fri Jul 20 2018,SC Neusiedl am See,1-0,FC Admira Wacker Mödling,2018,Jul,20,20/Jul/2018,Fri,1,1,0,SC Neusiedl am See
1,Fri Jul 20 2018,Deutschlandsberger SC,04-Feb,SKU Amstetten,2018,Jul,20,20/Jul/2018,Fri,6,4,2,Deutschlandsberger SC
1,Fri Jul 20 2018,FC Mauerwerk,0-2,SC Wiener Neustadt,2018,Jul,20,20/Jul/2018,Fri,2,0,2,SC Wiener Neustadt
1,Fri Jul 20 2018,USV Mettersdorf,0-1,SV Horn,2018,Jul,20,20/Jul/2018,Fri,1,0,1,SV Horn
