Country,Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Belgium,Regular Season,5,Sat Sep 12 2020,KV Mechelen,0-1,KV Oostende,2020,Sep,12,12-Sep-20,Sat,1,0,1,KV Oostende
Belgium,Regular Season,5,Sat Sep 12 2020,Club Brugge,04-Jan,Waasland-Beveren,2020,Sep,12,12-Sep-20,Sat,5,4,1,Club Brugge
Belgium,Regular Season,5,Sat Sep 12 2020,Oud-Heverlee Leuven,1-0,Standard Liège,2020,Sep,12,12-Sep-20,Sat,1,1,0,Oud-Heverlee Leuven
Belgium,Regular Season,5,Sun Sep 13 2020,RSC Anderlecht,2-0,Cercle Brugge,2020,Sep,13,13-Sep-20,Sun,2,2,0,RSC Anderlecht
Belgium,Regular Season,5,Sun Sep 13 2020,Sint-Truidense VV,02-Mar,Royal Antwerp FC,2020,Sep,13,13-Sep-20,Sun,5,2,3,Royal Antwerp FC
Belgium,Regular Season,5,Sun Sep 13 2020,SV Zulte Waregem,0-2,Sporting Charleroi,2020,Sep,13,13-Sep-20,Sun,2,0,2,Sporting Charleroi
Belgium,Regular Season,5,Sun Sep 13 2020,KV Kortrijk,3-0,Royal Excel Mouscron,2020,Sep,13,13-Sep-20,Sun,3,3,0,KV Kortrijk
Belgium,Regular Season,5,Mon Sep 14 2020,K. Beerschot VA,05-Feb,KRC Genk,2020,Sep,14,14-Sep-20,Mon,7,5,2,K. Beerschot VA
Belgium,Regular Season,6,Fri Sep 18 2020,Sporting Charleroi,03-Jan,K. Beerschot VA,2020,Sep,18,18-Sep-20,Fri,4,3,1,Sporting Charleroi
Belgium,Regular Season,6,Sat Sep 19 2020,KV Oostende,03-Jan,Oud-Heverlee Leuven,2020,Sep,19,19-Sep-20,Sat,4,3,1,KV Oostende
Belgium,Regular Season,6,Sat Sep 19 2020,Royal Excel Mouscron,0-1,KAA Gent,2020,Sep,19,19-Sep-20,Sat,1,0,1,KAA Gent
Belgium,Regular Season,6,Sat Sep 19 2020,Waasland-Beveren,02-Apr,RSC Anderlecht,2020,Sep,19,19-Sep-20,Sat,6,2,4,RSC Anderlecht
Belgium,Regular Season,6,Sun Sep 20 2020,SV Zulte Waregem,0-6,Club Brugge,2020,Sep,20,20-Sep-20,Sun,6,0,6,Club Brugge
Belgium,Regular Season,6,Sun Sep 20 2020,Standard Liège,02-Jan,KV Kortrijk,2020,Sep,20,20-Sep-20,Sun,3,2,1,Standard Liège
Belgium,Regular Season,6,Sun Sep 20 2020,Royal Antwerp FC,02-Feb,KAS Eupen,2020,Sep,20,20-Sep-20,Sun,4,2,2,Draw
Belgium,Regular Season,6,Sun Sep 20 2020,KRC Genk,03-Jan,KV Mechelen,2020,Sep,20,20-Sep-20,Sun,4,3,1,KRC Genk
Belgium,Regular Season,6,Mon Sep 21 2020,Cercle Brugge,3-0,Sint-Truidense VV,2020,Sep,21,21-Sep-20,Mon,3,3,0,Cercle Brugge
Belgium,Regular Season,7,Fri Sep 25 2020,KV Kortrijk,01-Mar,Royal Antwerp FC,2020,Sep,25,25-Sep-20,Fri,4,1,3,Royal Antwerp FC
Belgium,Regular Season,7,Sat Sep 26 2020,KAA Gent,02-Mar,Oud-Heverlee Leuven,2020,Sep,26,26-Sep-20,Sat,5,2,3,Oud-Heverlee Leuven
Belgium,Regular Season,7,Sat Sep 26 2020,KV Mechelen,2-0,Sint-Truidense VV,2020,Sep,26,26-Sep-20,Sat,2,2,0,KV Mechelen
Belgium,Regular Season,7,Sat Sep 26 2020,K. Beerschot VA,03-Feb,Waasland-Beveren,2020,Sep,26,26-Sep-20,Sat,5,3,2,K. Beerschot VA
Belgium,Regular Season,7,Sun Sep 27 2020,Standard Liège,02-Feb,SV Zulte Waregem,2020,Sep,27,27-Sep-20,Sun,4,2,2,Draw
Belgium,Regular Season,7,Sun Sep 27 2020,RSC Anderlecht,01-Jan,KAS Eupen,2020,Sep,27,27-Sep-20,Sun,2,1,1,Draw
Belgium,Regular Season,7,Sun Sep 27 2020,Club Brugge,02-Jan,Cercle Brugge,2020,Sep,27,27-Sep-20,Sun,3,2,1,Club Brugge
Belgium,Regular Season,7,Sun Sep 27 2020,Royal Excel Mouscron,01-Jan,Sporting Charleroi,2020,Sep,27,27-Sep-20,Sun,2,1,1,Draw
Belgium,Regular Season,7,Mon Sep 28 2020,KRC Genk,02-Feb,KV Oostende,2020,Sep,28,28-Sep-20,Mon,4,2,2,Draw
Belgium,Regular Season,8,Fri Oct 2 2020,Royal Antwerp FC,04-Jan,KV Mechelen,2020,Oct,2,02-Oct-20,Fri,5,4,1,Royal Antwerp FC
Belgium,Regular Season,8,Sat Oct 3 2020,KAS Eupen,01-Feb,Cercle Brugge,2020,Oct,3,03-Oct-20,Sat,3,1,2,Cercle Brugge
Belgium,Regular Season,8,Sat Oct 3 2020,Sint-Truidense VV,0-0,KV Kortrijk,2020,Oct,3,03-Oct-20,Sat,0,0,0,Draw
