Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Sep 11 2020,Austria Klagenfurt,03-Jan,FC Blau-Weiß Linz,2020,Sep,11,11/Sep/2020,Fri,4,3,1,Austria Klagenfurt
1,Fri Sep 11 2020,Austria Lustenau,01-Jan,SV Horn,2020,Sep,11,11/Sep/2020,Fri,2,1,1,Draw
1,Fri Sep 11 2020,Floridsdorfer AC,01-Feb,SV Lafnitz,2020,Sep,11,11/Sep/2020,Fri,3,1,2,SV Lafnitz
1,Fri Sep 11 2020,Kapfenberger SV,0-3,FC Wacker Innsbruck,2020,Sep,11,11/Sep/2020,Fri,3,0,3,FC Wacker Innsbruck
1,Sat Sep 12 2020,FC Juniors OÖ,01-Jan,Young Violets Austria Wien,2020,Sep,12,12/Sep/2020,Sat,2,1,1,Draw
1,Sat Sep 12 2020,Grazer AK,0-1,FC Dornbirn 1913,2020,Sep,12,12/Sep/2020,Sat,1,0,1,FC Dornbirn 1913
1,Sun Sep 13 2020,SKU Amstetten,02-Feb,SK Vorwärts Steyr,2020,Sep,13,13/Sep/2020,Sun,4,2,2,Draw
1,Sun Sep 13 2020,FC Liefering,3-0,SK Rapid Wien II,2020,Sep,13,13/Sep/2020,Sun,3,3,0,FC Liefering
2,Fri Sep 18 2020,Young Violets Austria Wien,02-Apr,Grazer AK,2020,Sep,18,18/Sep/2020,Fri,6,2,4,Grazer AK
2,Fri Sep 18 2020,FC Wacker Innsbruck,0-0,Floridsdorfer AC,2020,Sep,18,18/Sep/2020,Fri,0,0,0,Draw
2,Fri Sep 18 2020,SK Vorwärts Steyr,0-3,Kapfenberger SV,2020,Sep,18,18/Sep/2020,Fri,3,0,3,Kapfenberger SV
2,Fri Sep 18 2020,FC Dornbirn 1913,01-Jan,Austria Klagenfurt,2020,Sep,18,18/Sep/2020,Fri,2,1,1,Draw
2,Fri Sep 18 2020,SK Rapid Wien II,01-Jan,FC Juniors OÖ,2020,Sep,18,18/Sep/2020,Fri,2,1,1,Draw
2,Fri Sep 18 2020,SV Lafnitz,02-Feb,SKU Amstetten,2020,Sep,18,18/Sep/2020,Fri,4,2,2,Draw
2,Sat Sep 19 2020,SV Horn,02-Apr,FC Liefering,2020,Sep,19,19/Sep/2020,Sat,6,2,4,FC Liefering
2,Sun Sep 20 2020,FC Blau-Weiß Linz,05-Feb,Austria Lustenau,2020,Sep,20,20/Sep/2020,Sun,7,5,2,FC Blau-Weiß Linz
3,Fri Sep 25 2020,Austria Klagenfurt,03-Feb,Young Violets Austria Wien,2020,Sep,25,25/Sep/2020,Fri,5,3,2,Austria Klagenfurt
3,Fri Sep 25 2020,FC Liefering,2-0,FC Wacker Innsbruck,2020,Sep,25,25/Sep/2020,Fri,2,2,0,FC Liefering
3,Fri Sep 25 2020,SV Horn,0-1,SV Lafnitz,2020,Sep,25,25/Sep/2020,Fri,1,0,1,SV Lafnitz
3,Fri Sep 25 2020,Kapfenberger SV,02-Apr,FC Blau-Weiß Linz,2020,Sep,25,25/Sep/2020,Fri,6,2,4,FC Blau-Weiß Linz
3,Fri Sep 25 2020,Grazer AK,0-1,SK Vorwärts Steyr,2020,Sep,25,25/Sep/2020,Fri,1,0,1,SK Vorwärts Steyr
3,Sat Sep 26 2020,Austria Lustenau,0-1,FC Juniors OÖ,2020,Sep,26,26/Sep/2020,Sat,1,0,1,FC Juniors OÖ
3,Sat Sep 26 2020,SKU Amstetten,03-Mar,FC Dornbirn 1913,2020,Sep,26,26/Sep/2020,Sat,6,3,3,Draw
3,Sun Sep 27 2020,SK Rapid Wien II,02-Mar,Floridsdorfer AC,2020,Sep,27,27/Sep/2020,Sun,5,2,3,Floridsdorfer AC
4,Tue Sep 29 2020,Young Violets Austria Wien,01-Feb,SV Horn,2020,Sep,29,29/Sep/2020,Tue,3,1,2,SV Horn
4,Tue Sep 29 2020,SV Lafnitz,0-1,Grazer AK,2020,Sep,29,29/Sep/2020,Tue,1,0,1,Grazer AK
4,Tue Sep 29 2020,FC Juniors OÖ,01-Jan,FC Liefering,2020,Sep,29,29/Sep/2020,Tue,2,1,1,Draw
4,Tue Sep 29 2020,FC Blau-Weiß Linz,2-0,SKU Amstetten,2020,Sep,29,29/Sep/2020,Tue,2,2,0,FC Blau-Weiß Linz
4,Tue Sep 29 2020,FC Wacker Innsbruck,0-0,Austria Lustenau,2020,Sep,29,29/Sep/2020,Tue,0,0,0,Draw
4,Wed Sep 30 2020,FC Dornbirn 1913,01-Feb,SK Rapid Wien II,2020,Sep,30,30/Sep/2020,Wed,3,1,2,SK Rapid Wien II
4,Wed Sep 30 2020,Floridsdorfer AC,4-0,Kapfenberger SV,2020,Sep,30,30/Sep/2020,Wed,4,4,0,Floridsdorfer AC
4,Wed Sep 30 2020,SK Vorwärts Steyr,02-Feb,Austria Klagenfurt,2020,Sep,30,30/Sep/2020,Wed,4,2,2,Draw
