Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Grunddurchgang,1,Fri Sep 11 2020,SK Rapid Wien,04-Jan,FC Admira Wacker Mödling,2020,Sep,11,11/Sep/2020,Fri,5,4,1,SK Rapid Wien
Grunddurchgang,1,Fri Sep 11 2020,LASK Linz,1-0,FK Austria Wien,2020,Sep,11,11/Sep/2020,Fri,1,1,0,LASK Linz
Grunddurchgang,1,Sat Sep 12 2020,SCR Altach,01-Jan,TSV Hartberg,2020,Sep,12,12/Sep/2020,Sat,2,1,1,Draw
Grunddurchgang,1,Sun Sep 13 2020,SV Ried,03-Feb,WSG Tirol,2020,Sep,13,13/Sep/2020,Sun,5,3,2,SV Ried
Grunddurchgang,1,Sun Sep 13 2020,SKN St. Pölten,0-0,SK Sturm Graz,2020,Sep,13,13/Sep/2020,Sun,0,0,0,Draw
Grunddurchgang,1,Sun Sep 13 2020,Wolfsberger AC,01-Mar,FC RB Salzburg,2020,Sep,13,13/Sep/2020,Sun,4,1,3,FC RB Salzburg
Grunddurchgang,2,Sat Sep 19 2020,FC RB Salzburg,04-Jan,SCR Altach,2020,Sep,19,19/Sep/2020,Sat,5,4,1,FC RB Salzburg
Grunddurchgang,2,Sat Sep 19 2020,WSG Tirol,01-Jan,LASK Linz,2020,Sep,19,19/Sep/2020,Sat,2,1,1,Draw
Grunddurchgang,2,Sat Sep 19 2020,SK Sturm Graz,01-Jan,SK Rapid Wien,2020,Sep,19,19/Sep/2020,Sat,2,1,1,Draw
Grunddurchgang,2,Sun Sep 20 2020,TSV Hartberg,0-2,Wolfsberger AC,2020,Sep,20,20/Sep/2020,Sun,2,0,2,Wolfsberger AC
Grunddurchgang,2,Sun Sep 20 2020,FC Admira Wacker Mödling,0-5,SKN St. Pölten,2020,Sep,20,20/Sep/2020,Sun,5,0,5,SKN St. Pölten
Grunddurchgang,2,Sun Sep 20 2020,FK Austria Wien,02-Jan,SV Ried,2020,Sep,20,20/Sep/2020,Sun,3,2,1,FK Austria Wien
Grunddurchgang,3,Sat Sep 26 2020,SCR Altach,0-2,WSG Tirol,2020,Sep,26,26/Sep/2020,Sat,2,0,2,WSG Tirol
Grunddurchgang,3,Sat Sep 26 2020,SKN St. Pölten,01-Feb,SK Rapid Wien,2020,Sep,26,26/Sep/2020,Sat,3,1,2,SK Rapid Wien
Grunddurchgang,3,Sat Sep 26 2020,SV Ried,01-Mar,FC RB Salzburg,2020,Sep,26,26/Sep/2020,Sat,4,1,3,FC RB Salzburg
Grunddurchgang,3,Sun Sep 27 2020,FK Austria Wien,02-Feb,FC Admira Wacker Mödling,2020,Sep,27,27/Sep/2020,Sun,4,2,2,Draw
Grunddurchgang,3,Sun Sep 27 2020,TSV Hartberg,01-Jan,SK Sturm Graz,2020,Sep,27,27/Sep/2020,Sun,2,1,1,Draw
Grunddurchgang,3,Sun Sep 27 2020,LASK Linz,03-Jan,Wolfsberger AC,2020,Sep,27,27/Sep/2020,Sun,4,3,1,LASK Linz
Grunddurchgang,4,Sat Oct 3 2020,FC Admira Wacker Mödling,03-Jan,SV Ried,2020,Oct,3,3/Oct/2020,Sat,4,3,1,FC Admira Wacker Mödling
Grunddurchgang,4,Sat Oct 3 2020,WSG Tirol,0-2,FK Austria Wien,2020,Oct,3,3/Oct/2020,Sat,2,0,2,FK Austria Wien
Grunddurchgang,4,Sat Oct 3 2020,Wolfsberger AC,02-Apr,SKN St. Pölten,2020,Oct,3,3/Oct/2020,Sat,6,2,4,SKN St. Pölten
Grunddurchgang,4,Sun Oct 4 2020,SK Sturm Graz,4-0,SCR Altach,2020,Oct,4,4/Oct/2020,Sun,4,4,0,SK Sturm Graz
Grunddurchgang,4,Sun Oct 4 2020,FC RB Salzburg,07-Jan,TSV Hartberg,2020,Oct,4,4/Oct/2020,Sun,8,7,1,FC RB Salzburg
Grunddurchgang,4,Sun Oct 4 2020,SK Rapid Wien,3-0,LASK Linz,2020,Oct,4,4/Oct/2020,Sun,3,3,0,SK Rapid Wien
Grunddurchgang,5,Sat Oct 24 2020,FK Austria Wien,0-2,FC RB Salzburg,2020,Oct,24,24/Oct/2020,Sat,2,0,2,FC RB Salzburg
Grunddurchgang,5,Sat Oct 24 2020,SCR Altach,04-Feb,FC Admira Wacker Mödling,2020,Oct,24,24/Oct/2020,Sat,6,4,2,SCR Altach
Grunddurchgang,5,Sat Oct 24 2020,SV Ried,0-2,SK Sturm Graz,2020,Oct,24,24/Oct/2020,Sat,2,0,2,SK Sturm Graz
Grunddurchgang,5,Sun Oct 25 2020,LASK Linz,4-0,SKN St. Pölten,2020,Oct,25,25/Oct/2020,Sun,4,4,0,LASK Linz
Grunddurchgang,5,Sun Oct 25 2020,WSG Tirol,01-Jan,TSV Hartberg,2020,Oct,25,25/Oct/2020,Sun,2,1,1,Draw
Grunddurchgang,5,Sun Oct 25 2020,Wolfsberger AC,03-Apr,SK Rapid Wien,2020,Oct,25,25/Oct/2020,Sun,7,3,4,SK Rapid Wien
Grunddurchgang,6,Sat Oct 31 2020,FC RB Salzburg,5-0,WSG Tirol,2020,Oct,31,31/Oct/2020,Sat,5,5,0,FC RB Salzburg
Grunddurchgang,6,Sat Oct 31 2020,TSV Hartberg,02-Jan,FK Austria Wien,2020,Oct,31,31/Oct/2020,Sat,3,2,1,TSV Hartberg
Grunddurchgang,6,Sat Oct 31 2020,SKN St. Pölten,4-0,SV Ried,2020,Oct,31,31/Oct/2020,Sat,4,4,0,SKN St. Pölten
Grunddurchgang,6,Sun Nov 1 2020,SK Rapid Wien,03-Jan,SCR Altach,2020,Nov,1,1/Nov/2020,Sun,4,3,1,SK Rapid Wien
Grunddurchgang,6,Sun Nov 1 2020,FC Admira Wacker Mödling,01-Mar,Wolfsberger AC,2020,Nov,1,1/Nov/2020,Sun,4,1,3,Wolfsberger AC
Grunddurchgang,6,Sun Nov 1 2020,SK Sturm Graz,0-2,LASK Linz,2020,Nov,1,1/Nov/2020,Sun,2,0,2,LASK Linz
Grunddurchgang,7,Sat Nov 7 2020,SCR Altach,0-0,FK Austria Wien,2020,Nov,7,7/Nov/2020,Sat,0,0,0,Draw
Grunddurchgang,7,Sat Nov 7 2020,SKN St. Pölten,0-1,WSG Tirol,2020,Nov,7,7/Nov/2020,Sat,1,0,1,WSG Tirol
Grunddurchgang,7,Sat Nov 7 2020,SV Ried,2-0,TSV Hartberg,2020,Nov,7,7/Nov/2020,Sat,2,2,0,SV Ried
Grunddurchgang,7,Sun Nov 8 2020,Wolfsberger AC,,SK Sturm Graz,2020,Nov,8,8/Nov/2020,Sun,1,0,1,SK Sturm Graz
Grunddurchgang,7,Sun Nov 8 2020,LASK Linz,4-0,FC Admira Wacker Mödling,2020,Nov,8,8/Nov/2020,Sun,4,4,0,LASK Linz
