Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Aug 8 2015,Wycombe Wanderers FC,3-0,York City FC,2015,Aug,8,8/Aug/2015,Sat,3,3,0,Wycombe Wanderers FC
1,Sat Aug 8 2015,Stevenage FC,0-2,Notts County FC,2015,Aug,8,8/Aug/2015,Sat,2,0,2,Notts County FC
1,Sat Aug 8 2015,Portsmouth FC,3-0,Dagenham & Redbridge FC,2015,Aug,8,8/Aug/2015,Sat,3,3,0,Portsmouth FC
1,Sat Aug 8 2015,Oxford United FC,01-Jan,Crawley Town FC,2015,Aug,8,8/Aug/2015,Sat,2,1,1,Draw
1,Sat Aug 8 2015,Mansfield Town FC,01-Jan,Carlisle United FC,2015,Aug,8,8/Aug/2015,Sat,2,1,1,Draw
1,Sat Aug 8 2015,Leyton Orient FC,2-0,Barnet FC,2015,Aug,8,8/Aug/2015,Sat,2,2,0,Leyton Orient FC
1,Sat Aug 8 2015,Hartlepool United FC,2-0,Morecambe FC,2015,Aug,8,8/Aug/2015,Sat,2,2,0,Hartlepool United FC
1,Sat Aug 8 2015,Exeter City FC,03-Feb,Yeovil Town FC,2015,Aug,8,8/Aug/2015,Sat,5,3,2,Exeter City FC
1,Sat Aug 8 2015,Cambridge United FC,3-0,Newport County AFC,2015,Aug,8,8/Aug/2015,Sat,3,3,0,Cambridge United FC
1,Sat Aug 8 2015,Bristol Rovers FC,0-1,Northampton Town FC,2015,Aug,8,8/Aug/2015,Sat,1,0,1,Northampton Town FC
1,Sat Aug 8 2015,AFC Wimbledon,0-2,Plymouth Argyle FC,2015,Aug,8,8/Aug/2015,Sat,2,0,2,Plymouth Argyle FC
1,Sat Aug 8 2015,Accrington Stanley FC,01-Jan,Luton Town FC,2015,Aug,8,8/Aug/2015,Sat,2,1,1,Draw
2,Fri Aug 14 2015,Notts County FC,0-2,Mansfield Town FC,2015,Aug,14,14/Aug/2015,Fri,2,0,2,Mansfield Town FC
2,Sat Aug 15 2015,Barnet FC,0-2,Wycombe Wanderers FC,2015,Aug,15,15/Aug/2015,Sat,2,0,2,Wycombe Wanderers FC
2,Sat Aug 15 2015,Yeovil Town FC,0-1,Bristol Rovers FC,2015,Aug,15,15/Aug/2015,Sat,1,0,1,Bristol Rovers FC
2,Sat Aug 15 2015,Plymouth Argyle FC,01-Feb,Portsmouth FC,2015,Aug,15,15/Aug/2015,Sat,3,1,2,Portsmouth FC
2,Sat Aug 15 2015,Northampton Town FC,3-0,Exeter City FC,2015,Aug,15,15/Aug/2015,Sat,3,3,0,Northampton Town FC
2,Sat Aug 15 2015,York City FC,01-Feb,Hartlepool United FC,2015,Aug,15,15/Aug/2015,Sat,3,1,2,Hartlepool United FC
2,Sat Aug 15 2015,Morecambe FC,1-0,Accrington Stanley FC,2015,Aug,15,15/Aug/2015,Sat,1,1,0,Morecambe FC
2,Sat Aug 15 2015,Luton Town FC,02-Feb,Oxford United FC,2015,Aug,15,15/Aug/2015,Sat,4,2,2,Draw
2,Sat Aug 15 2015,Dagenham & Redbridge FC,01-Mar,Leyton Orient FC,2015,Aug,15,15/Aug/2015,Sat,4,1,3,Leyton Orient FC
2,Sat Aug 15 2015,Crawley Town FC,01-Feb,AFC Wimbledon,2015,Aug,15,15/Aug/2015,Sat,3,1,2,AFC Wimbledon
2,Sat Aug 15 2015,Carlisle United FC,04-Apr,Cambridge United FC,2015,Aug,15,15/Aug/2015,Sat,8,4,4,Draw
2,Sat Aug 15 2015,Newport County AFC,02-Feb,Stevenage FC,2015,Aug,15,15/Aug/2015,Sat,4,2,2,Draw
3,Tue Aug 18 2015,York City FC,1-0,Yeovil Town FC,2015,Aug,18,18/Aug/2015,Tue,1,1,0,York City FC
3,Tue Aug 18 2015,Plymouth Argyle FC,04-Jan,Carlisle United FC,2015,Aug,18,18/Aug/2015,Tue,5,4,1,Plymouth Argyle FC
3,Tue Aug 18 2015,Oxford United FC,03-Jan,Notts County FC,2015,Aug,18,18/Aug/2015,Tue,4,3,1,Oxford United FC
3,Tue Aug 18 2015,Morecambe FC,0-1,Wycombe Wanderers FC,2015,Aug,18,18/Aug/2015,Tue,1,0,1,Wycombe Wanderers FC
3,Tue Aug 18 2015,Luton Town FC,0-1,Bristol Rovers FC,2015,Aug,18,18/Aug/2015,Tue,1,0,1,Bristol Rovers FC
3,Tue Aug 18 2015,Leyton Orient FC,3-0,Stevenage FC,2015,Aug,18,18/Aug/2015,Tue,3,3,0,Leyton Orient FC
3,Tue Aug 18 2015,Hartlepool United FC,1-0,Newport County AFC,2015,Aug,18,18/Aug/2015,Tue,1,1,0,Hartlepool United FC
3,Tue Aug 18 2015,Dagenham & Redbridge FC,01-Feb,Exeter City FC,2015,Aug,18,18/Aug/2015,Tue,3,1,2,Exeter City FC
3,Tue Aug 18 2015,Crawley Town FC,0-0,Portsmouth FC,2015,Aug,18,18/Aug/2015,Tue,0,0,0,Draw
3,Tue Aug 18 2015,Barnet FC,2-0,Northampton Town FC,2015,Aug,18,18/Aug/2015,Tue,2,2,0,Barnet FC
3,Tue Aug 18 2015,AFC Wimbledon,01-Feb,Cambridge United FC,2015,Aug,18,18/Aug/2015,Tue,3,1,2,Cambridge United FC
3,Tue Aug 18 2015,Accrington Stanley FC,1-0,Mansfield Town FC,2015,Aug,18,18/Aug/2015,Tue,1,1,0,Accrington Stanley FC
4,Sat Aug 22 2015,Yeovil Town FC,03-Feb,Luton Town FC,2015,Aug,22,22/Aug/2015,Sat,5,3,2,Yeovil Town FC
4,Sat Aug 22 2015,Wycombe Wanderers FC,01-Jan,Dagenham & Redbridge FC,2015,Aug,22,22/Aug/2015,Sat,2,1,1,Draw
4,Sat Aug 22 2015,Stevenage FC,2-0,Hartlepool United FC,2015,Aug,22,22/Aug/2015,Sat,2,2,0,Stevenage FC
4,Sat Aug 22 2015,Portsmouth FC,03-Mar,Morecambe FC,2015,Aug,22,22/Aug/2015,Sat,6,3,3,Draw
4,Sat Aug 22 2015,Notts County FC,01-Jan,Accrington Stanley FC,2015,Aug,22,22/Aug/2015,Sat,2,1,1,Draw
4,Sat Aug 22 2015,Northampton Town FC,0-2,Plymouth Argyle FC,2015,Aug,22,22/Aug/2015,Sat,2,0,2,Plymouth Argyle FC
4,Sat Aug 22 2015,Newport County AFC,02-Mar,Leyton Orient FC,2015,Aug,22,22/Aug/2015,Sat,5,2,3,Leyton Orient FC
4,Sat Aug 22 2015,Mansfield Town FC,01-Jan,Oxford United FC,2015,Aug,22,22/Aug/2015,Sat,2,1,1,Draw
4,Sat Aug 22 2015,Exeter City FC,0-0,York City FC,2015,Aug,22,22/Aug/2015,Sat,0,0,0,Draw
4,Sat Aug 22 2015,Carlisle United FC,01-Jan,AFC Wimbledon,2015,Aug,22,22/Aug/2015,Sat,2,1,1,Draw
4,Sat Aug 22 2015,Cambridge United FC,0-3,Crawley Town FC,2015,Aug,22,22/Aug/2015,Sat,3,0,3,Crawley Town FC
4,Sat Aug 22 2015,Bristol Rovers FC,03-Jan,Barnet FC,2015,Aug,22,22/Aug/2015,Sat,4,3,1,Bristol Rovers FC
5,Sat Aug 29 2015,York City FC,01-Feb,Mansfield Town FC,2015,Aug,29,29/Aug/2015,Sat,3,1,2,Mansfield Town FC
5,Sat Aug 29 2015,Plymouth Argyle FC,1-0,Newport County AFC,2015,Aug,29,29/Aug/2015,Sat,1,1,0,Plymouth Argyle FC
5,Sat Aug 29 2015,Oxford United FC,2-0,Yeovil Town FC,2015,Aug,29,29/Aug/2015,Sat,2,2,0,Oxford United FC
5,Sat Aug 29 2015,Morecambe FC,04-Jan,Notts County FC,2015,Aug,29,29/Aug/2015,Sat,5,4,1,Morecambe FC
5,Sat Aug 29 2015,Luton Town FC,01-Feb,Portsmouth FC,2015,Aug,29,29/Aug/2015,Sat,3,1,2,Portsmouth FC
5,Sat Aug 29 2015,Accrington Stanley FC,01-Jan,Northampton Town FC,2015,Aug,29,29/Aug/2015,Sat,2,1,1,Draw
5,Sat Aug 29 2015,Hartlepool United FC,02-Mar,Carlisle United FC,2015,Aug,29,29/Aug/2015,Sat,5,2,3,Carlisle United FC
5,Sat Aug 29 2015,Dagenham & Redbridge FC,01-Jan,Stevenage FC,2015,Aug,29,29/Aug/2015,Sat,2,1,1,Draw
5,Sat Aug 29 2015,Crawley Town FC,0-0,Wycombe Wanderers FC,2015,Aug,29,29/Aug/2015,Sat,0,0,0,Draw
5,Sat Aug 29 2015,Barnet FC,0-0,Cambridge United FC,2015,Aug,29,29/Aug/2015,Sat,0,0,0,Draw
5,Sat Aug 29 2015,AFC Wimbledon,02-Jan,Exeter City FC,2015,Aug,29,29/Aug/2015,Sat,3,2,1,AFC Wimbledon
5,Sat Aug 29 2015,Leyton Orient FC,2-0,Bristol Rovers FC,2015,Aug,29,29/Aug/2015,Sat,2,2,0,Leyton Orient FC
6,Sat Sep 5 2015,Newport County AFC,0-3,York City FC,2015,Sep,5,5/Sep/2015,Sat,3,0,3,York City FC
6,Sat Sep 5 2015,Carlisle United FC,03-Feb,Barnet FC,2015,Sep,5,5/Sep/2015,Sat,5,3,2,Carlisle United FC
6,Sat Sep 5 2015,Yeovil Town FC,02-Apr,Morecambe FC,2015,Sep,5,5/Sep/2015,Sat,6,2,4,Morecambe FC
6,Sat Sep 5 2015,Wycombe Wanderers FC,02-Jan,Hartlepool United FC,2015,Sep,5,5/Sep/2015,Sat,3,2,1,Wycombe Wanderers FC
6,Sat Sep 5 2015,Stevenage FC,02-Jan,Plymouth Argyle FC,2015,Sep,5,5/Sep/2015,Sat,3,2,1,Stevenage FC
6,Sat Sep 5 2015,Portsmouth FC,0-0,Accrington Stanley FC,2015,Sep,5,5/Sep/2015,Sat,0,0,0,Draw
6,Sat Sep 5 2015,Northampton Town FC,01-Feb,Dagenham & Redbridge FC,2015,Sep,5,5/Sep/2015,Sat,3,1,2,Dagenham & Redbridge FC
6,Sat Sep 5 2015,Mansfield Town FC,01-Jan,AFC Wimbledon,2015,Sep,5,5/Sep/2015,Sat,2,1,1,Draw
