Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Aug 8 2015,Walsall FC,01-Jan,Oldham Athletic AFC,2015,Aug,8,8/Aug/2015,Sat,2,1,1,Draw
1,Sat Aug 8 2015,Swindon Town FC,04-Jan,Bradford City AFC,2015,Aug,8,8/Aug/2015,Sat,5,4,1,Swindon Town FC
1,Sat Aug 8 2015,Shrewsbury Town FC,01-Feb,Millwall FC,2015,Aug,8,8/Aug/2015,Sat,3,1,2,Millwall FC
1,Sat Aug 8 2015,Rochdale AFC,2-0,Peterborough United FC,2015,Aug,8,8/Aug/2015,Sat,2,2,0,Rochdale AFC
1,Sat Aug 8 2015,Gillingham FC,4-0,Sheffield United FC,2015,Aug,8,8/Aug/2015,Sat,4,4,0,Gillingham FC
1,Sat Aug 8 2015,Fleetwood Town FC,01-Jan,Southend United FC,2015,Aug,8,8/Aug/2015,Sat,2,1,1,Draw
1,Sat Aug 8 2015,Doncaster Rovers FC,01-Jan,Bury FC,2015,Aug,8,8/Aug/2015,Sat,2,1,1,Draw
1,Sat Aug 8 2015,Crewe Alexandra FC,0-0,Port Vale FC,2015,Aug,8,8/Aug/2015,Sat,0,0,0,Draw
1,Sat Aug 8 2015,Coventry City FC,2-0,Wigan Athletic FC,2015,Aug,8,8/Aug/2015,Sat,2,2,0,Coventry City FC
1,Sat Aug 8 2015,Colchester United FC,02-Feb,Blackpool FC,2015,Aug,8,8/Aug/2015,Sat,4,2,2,Draw
1,Sat Aug 8 2015,Chesterfield FC,03-Jan,Barnsley FC,2015,Aug,8,8/Aug/2015,Sat,4,3,1,Chesterfield FC
1,Sat Aug 8 2015,Burton Albion FC,02-Jan,Scunthorpe United FC,2015,Aug,8,8/Aug/2015,Sat,3,2,1,Burton Albion FC
2,Sat Aug 15 2015,Southend United FC,0-2,Walsall FC,2015,Aug,15,15/Aug/2015,Sat,2,0,2,Walsall FC
2,Sat Aug 15 2015,Sheffield United FC,2-0,Chesterfield FC,2015,Aug,15,15/Aug/2015,Sat,2,2,0,Sheffield United FC
