Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Jul 22 2017,SK Rapid Wien,02-Feb,SV Mattersburg,2017,Jul,22,22/Jul/2017,Sat,4,2,2,Draw
1,Sat Jul 22 2017,Wolfsberger AC,0-2,FC RB Salzburg,2017,Jul,22,22/Jul/2017,Sat,2,0,2,FC RB Salzburg
1,Sat Jul 22 2017,LASK Linz,3-0,FC Admira Wacker Mödling,2017,Jul,22,22/Jul/2017,Sat,3,3,0,LASK Linz
1,Sun Jul 23 2017,SCR Altach,3-0,FK Austria Wien,2017,Jul,23,23/Jul/2017,Sun,3,3,0,SCR Altach
1,Sun Jul 23 2017,SK Sturm Graz,03-Feb,SKN St. Pölten,2017,Jul,23,23/Jul/2017,Sun,5,3,2,SK Sturm Graz
2,Sat Jul 29 2017,FC RB Salzburg,01-Jan,LASK Linz,2017,Jul,29,29/Jul/2017,Sat,2,1,1,Draw
2,Sat Jul 29 2017,SKN St. Pölten,01-Apr,SK Rapid Wien,2017,Jul,29,29/Jul/2017,Sat,5,1,4,SK Rapid Wien
2,Sat Jul 29 2017,SV Mattersburg,1-0,Wolfsberger AC,2017,Jul,29,29/Jul/2017,Sat,1,1,0,SV Mattersburg
2,Sun Jul 30 2017,FK Austria Wien,02-Mar,SK Sturm Graz,2017,Jul,30,30/Jul/2017,Sun,5,2,3,SK Sturm Graz
2,Sun Jul 30 2017,FC Admira Wacker Mödling,04-Jan,SCR Altach,2017,Jul,30,30/Jul/2017,Sun,5,4,1,FC Admira Wacker Mödling
3,Sat Aug 5 2017,LASK Linz,2-0,SKN St. Pölten,2017,Aug,5,5/Aug/2017,Sat,2,2,0,LASK Linz
3,Sat Aug 5 2017,FC RB Salzburg,05-Jan,FC Admira Wacker Mödling,2017,Aug,5,5/Aug/2017,Sat,6,5,1,FC RB Salzburg
3,Sun Aug 6 2017,Wolfsberger AC,1-0,SCR Altach,2017,Aug,6,6/Aug/2017,Sun,1,1,0,Wolfsberger AC
3,Sun Aug 6 2017,SK Rapid Wien,02-Feb,FK Austria Wien,2017,Aug,6,6/Aug/2017,Sun,4,2,2,Draw
3,Sun Aug 6 2017,SV Mattersburg,02-Mar,SK Sturm Graz,2017,Aug,6,6/Aug/2017,Sun,5,2,3,SK Sturm Graz
4,Sat Aug 12 2017,SCR Altach,0-1,FC RB Salzburg,2017,Aug,12,12/Aug/2017,Sat,1,0,1,FC RB Salzburg
4,Sat Aug 12 2017,FK Austria Wien,2-0,LASK Linz,2017,Aug,12,12/Aug/2017,Sat,2,2,0,FK Austria Wien
4,Sat Aug 12 2017,SK Sturm Graz,02-Jan,Wolfsberger AC,2017,Aug,12,12/Aug/2017,Sat,3,2,1,SK Sturm Graz
4,Sat Aug 12 2017,SKN St. Pölten,0-0,SV Mattersburg,2017,Aug,12,12/Aug/2017,Sat,0,0,0,Draw
4,Sun Aug 13 2017,FC Admira Wacker Mödling,03-Jan,SK Rapid Wien,2017,Aug,13,13/Aug/2017,Sun,4,3,1,FC Admira Wacker Mödling
5,Sat Aug 19 2017,SK Rapid Wien,01-Feb,SK Sturm Graz,2017,Aug,19,19/Aug/2017,Sat,3,1,2,SK Sturm Graz
5,Sat Aug 19 2017,Wolfsberger AC,2-0,FC Admira Wacker Mödling,2017,Aug,19,19/Aug/2017,Sat,2,2,0,Wolfsberger AC
5,Sun Aug 20 2017,FC RB Salzburg,05-Jan,SKN St. Pölten,2017,Aug,20,20/Aug/2017,Sun,6,5,1,FC RB Salzburg
5,Sun Aug 20 2017,LASK Linz,0-0,SCR Altach,2017,Aug,20,20/Aug/2017,Sun,0,0,0,Draw
5,Sun Aug 20 2017,SV Mattersburg,01-Mar,FK Austria Wien,2017,Aug,20,20/Aug/2017,Sun,4,1,3,FK Austria Wien
6,Sat Aug 26 2017,Wolfsberger AC,02-Jan,SKN St. Pölten,2017,Aug,26,26/Aug/2017,Sat,3,2,1,Wolfsberger AC
6,Sat Aug 26 2017,SK Rapid Wien,1-0,LASK Linz,2017,Aug,26,26/Aug/2017,Sat,1,1,0,SK Rapid Wien
6,Sun Aug 27 2017,SK Sturm Graz,1-0,FC RB Salzburg,2017,Aug,27,27/Aug/2017,Sun,1,1,0,SK Sturm Graz
