Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Jul 21 2017,Floridsdorfer AC,01-May,Austria Lustenau,2017,Jul,21,21/Jul/2017,Fri,6,1,5,Austria Lustenau
1,Fri Jul 21 2017,WSG Tirol,0-1,TSV Hartberg,2017,Jul,21,21/Jul/2017,Fri,1,0,1,TSV Hartberg
1,Fri Jul 21 2017,Kapfenberger SV,01-Feb,FC Liefering,2017,Jul,21,21/Jul/2017,Fri,3,1,2,FC Liefering
1,Fri Jul 21 2017,FC Blau-Weiß Linz,01-Jan,FC Wacker Innsbruck,2017,Jul,21,21/Jul/2017,Fri,2,1,1,Draw
1,Fri Jul 21 2017,SV Ried,0-1,SC Wiener Neustadt,2017,Jul,21,21/Jul/2017,Fri,1,0,1,SC Wiener Neustadt
2,Fri Jul 28 2017,FC Liefering,0-1,WSG Tirol,2017,Jul,28,28/Jul/2017,Fri,1,0,1,WSG Tirol
2,Fri Jul 28 2017,TSV Hartberg,03-Jan,Floridsdorfer AC,2017,Jul,28,28/Jul/2017,Fri,4,3,1,TSV Hartberg
2,Fri Jul 28 2017,FC Wacker Innsbruck,0-0,Kapfenberger SV,2017,Jul,28,28/Jul/2017,Fri,0,0,0,Draw
2,Fri Jul 28 2017,SC Wiener Neustadt,4-0,FC Blau-Weiß Linz,2017,Jul,28,28/Jul/2017,Fri,4,4,0,SC Wiener Neustadt
2,Fri Jul 28 2017,Austria Lustenau,0-2,SV Ried,2017,Jul,28,28/Jul/2017,Fri,2,0,2,SV Ried
3,Fri Aug 4 2017,SV Ried,03-Feb,Floridsdorfer AC,2017,Aug,4,4/Aug/2017,Fri,5,3,2,SV Ried
3,Fri Aug 4 2017,Austria Lustenau,02-Mar,SC Wiener Neustadt,2017,Aug,4,4/Aug/2017,Fri,5,2,3,SC Wiener Neustadt
3,Fri Aug 4 2017,WSG Tirol,03-Jan,Kapfenberger SV,2017,Aug,4,4/Aug/2017,Fri,4,3,1,WSG Tirol
3,Fri Aug 4 2017,FC Blau-Weiß Linz,02-Mar,FC Liefering,2017,Aug,4,4/Aug/2017,Fri,5,2,3,FC Liefering
4,Mon Aug 7 2017,FC Liefering,4-0,SV Ried,2017,Aug,7,7/Aug/2017,Mon,4,4,0,FC Liefering
4,Tue Aug 8 2017,FC Wacker Innsbruck,03-Feb,Austria Lustenau,2017,Aug,8,8/Aug/2017,Tue,5,3,2,FC Wacker Innsbruck
4,Tue Aug 8 2017,Kapfenberger SV,0-1,FC Blau-Weiß Linz,2017,Aug,8,8/Aug/2017,Tue,1,0,1,FC Blau-Weiß Linz
4,Tue Aug 8 2017,SC Wiener Neustadt,1-0,TSV Hartberg,2017,Aug,8,8/Aug/2017,Tue,1,1,0,SC Wiener Neustadt
4,Tue Aug 8 2017,Floridsdorfer AC,1-0,WSG Tirol,2017,Aug,8,8/Aug/2017,Tue,1,1,0,Floridsdorfer AC
5,Fri Aug 11 2017,Austria Lustenau,01-Feb,Kapfenberger SV,2017,Aug,11,11/Aug/2017,Fri,3,1,2,Kapfenberger SV
5,Fri Aug 11 2017,TSV Hartberg,02-Feb,FC Liefering,2017,Aug,11,11/Aug/2017,Fri,4,2,2,Draw
5,Fri Aug 11 2017,FC Blau-Weiß Linz,01-Jan,SV Ried,2017,Aug,11,11/Aug/2017,Fri,2,1,1,Draw
5,Fri Aug 11 2017,Floridsdorfer AC,0-3,SC Wiener Neustadt,2017,Aug,11,11/Aug/2017,Fri,3,0,3,SC Wiener Neustadt
