Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Aug 17 2018,Cádiz CF,1-0,UD Almería,2018,Aug,17,17/Aug/2018,Fri,1,1,0,Cádiz CF
1,Fri Aug 17 2018,Albacete Balompié,01-Jan,RCD La Coruña,2018,Aug,17,17/Aug/2018,Fri,2,1,1,Draw
1,Sat Aug 18 2018,Elche CF,0-0,Granada CF,2018,Aug,18,18/Aug/2018,Sat,0,0,0,Draw
1,Sat Aug 18 2018,CD Lugo,01-Feb,Málaga CF,2018,Aug,18,18/Aug/2018,Sat,3,1,2,Málaga CF
1,Sat Aug 18 2018,AD Alcorcón,01-Jan,Sporting Gijón,2018,Aug,18,18/Aug/2018,Sat,2,1,1,Draw
1,Sat Aug 18 2018,Córdoba CF,03-Mar,CD Numancia,2018,Aug,18,18/Aug/2018,Sat,6,3,3,Draw
1,Sun Aug 19 2018,RCD Mallorca,1-0,CA Osasuna,2018,Aug,19,19/Aug/2018,Sun,1,1,0,RCD Mallorca
1,Sun Aug 19 2018,Real Oviedo,01-Jan,Extremadura UD,2018,Aug,19,19/Aug/2018,Sun,2,1,1,Draw
1,Sun Aug 19 2018,Real Zaragoza,02-Jan,CF Rayo Majadahonda,2018,Aug,19,19/Aug/2018,Sun,3,2,1,Real Zaragoza
1,Sun Aug 19 2018,UD Las Palmas,2-0,CF Reus,2018,Aug,19,19/Aug/2018,Sun,2,2,0,UD Las Palmas
1,Mon Aug 20 2018,Gimnàstic Tarragona,01-Jan,CD Tenerife,2018,Aug,20,20/Aug/2018,Mon,2,1,1,Draw
2,Fri Aug 24 2018,Málaga CF,1-0,AD Alcorcón,2018,Aug,24,24/Aug/2018,Fri,1,1,0,Málaga CF
2,Fri Aug 24 2018,Extremadura UD,0-1,RCD La Coruña,2018,Aug,24,24/Aug/2018,Fri,1,0,1,RCD La Coruña
2,Sat Aug 25 2018,CF Reus,0-0,Real Zaragoza,2018,Aug,25,25/Aug/2018,Sat,0,0,0,Draw
