Country,Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Goals,Team 1 Goals,Team 2 Goals,Result,,
Belgium,Regular Season,5,Sat Aug 25 2018,Royal Excel Mouscron,0-1,KAS Eupen,2018,Aug,25,25/Aug/2018,Sat,1,0,1,KAS Eupen,,
Belgium,Regular Season,5,Sun Aug 26 2018,Club Brugge,2-1,RSC Anderlecht,2018,Aug,26,26/Aug/2018,Sun,3,2,1,Club Brugge,,
Belgium,Regular Season,5,Sun Aug 26 2018,KAA Gent,2-1,KSC Lokeren OV,2018,Aug,26,26/Aug/2018,Sun,3,2,1,KAA Gent,,
Belgium,Regular Season,5,Sun Aug 26 2018,KRC Genk,3-2,Waasland-Beveren,2018,Aug,26,26/Aug/2018,Sun,5,3,2,KRC Genk,,
Belgium,Regular Season,6,Fri Aug 31 2018,SV Zulte Waregem,2-5,Club Brugge,2018,Aug,31,31/Aug/2018,Fri,7,2,5,Club Brugge,,
Belgium,Regular Season,6,Sat Sep 1 2018,KAS Eupen,2-1,Standard Liège,2018,Sep,1,1/Sep/2018,Sat,3,2,1,KAS Eupen,,
Belgium,Regular Season,6,Sat Sep 1 2018,Sporting Charleroi,3-1,Royal Excel Mouscron,2018,Sep,1,1/Sep/2018,Sat,4,3,1,Sporting Charleroi,,
Belgium,Regular Season,6,Sat Sep 1 2018,Sint-Truidense VV,1-0,KV Oostende,2018,Sep,1,1/Sep/2018,Sat,1,1,0,Sint-Truidense VV,,
Belgium,Regular Season,6,Sat Sep 1 2018,KSC Lokeren OV,1-0,Waasland-Beveren,2018,Sep,1,1/Sep/2018,Sat,1,1,0,KSC Lokeren OV,,
Belgium,Regular Season,6,Sun Sep 2 2018,RSC Anderlecht,1-1,Royal Antwerp FC,2018,Sep,2,2/Sep/2018,Sun,2,1,1,Draw,,
Belgium,Regular Season,6,Sun Sep 2 2018,Cercle Brugge,0-3,KAA Gent,2018,Sep,2,2/Sep/2018,Sun,3,0,3,KAA Gent,,
Belgium,Regular Season,6,Sun Sep 2 2018,KV Kortrijk,3-3,KRC Genk,2018,Sep,2,2/Sep/2018,Sun,6,3,3,Draw,,
Belgium,Regular Season,7,Fri Sep 14 2018,Club Brugge,2-1,KSC Lokeren OV,2018,Sep,14,14/Sep/2018,Fri,3,2,1,Club Brugge,,
Belgium,Regular Season,7,Sat Sep 15 2018,Standard Liège,0-0,Sporting Charleroi,2018,Sep,15,15/Sep/2018,Sat,0,0,0,Draw,,
Belgium,Regular Season,7,Sat Sep 15 2018,KRC Genk,1-0,RSC Anderlecht,2018,Sep,15,15/Sep/2018,Sat,1,1,0,KRC Genk,,
Belgium,Regular Season,7,Sat Sep 15 2018,Waasland-Beveren,0-0,KAS Eupen,2018,Sep,15,15/Sep/2018,Sat,0,0,0,Draw,,
Belgium,Regular Season,7,Sat Sep 15 2018,KV Oostende,1-1,Cercle Brugge,2018,Sep,15,15/Sep/2018,Sat,2,1,1,Draw,,
Belgium,Regular Season,7,Sun Sep 16 2018,Royal Excel Mouscron,1-0,KV Kortrijk,2018,Sep,16,16/Sep/2018,Sun,1,1,0,Royal Excel Mouscron,,
Belgium,Regular Season,7,Sun Sep 16 2018,KAA Gent,1-2,Sint-Truidense VV,2018,Sep,16,16/Sep/2018,Sun,3,1,2,Sint-Truidense VV,,
Belgium,Regular Season,7,Sun Sep 16 2018,Royal Antwerp FC,5-1,SV Zulte Waregem,2018,Sep,16,16/Sep/2018,Sun,6,5,1,Royal Antwerp FC,,
Belgium,Regular Season,8,Fri Sep 21 2018,SV Zulte Waregem,0-2,KV Kortrijk,2018,Sep,21,21/Sep/2018,Fri,2,0,2,KV Kortrijk,,
Belgium,Regular Season,8,Sat Sep 22 2018,Waasland-Beveren,1-1,Sporting Charleroi,2018,Sep,22,22/Sep/2018,Sat,2,1,1,Draw,,
Belgium,Regular Season,8,Sat Sep 22 2018,KAS Eupen,1-2,KV Oostende,2018,Sep,22,22/Sep/2018,Sat,3,1,2,KV Oostende,,
Belgium,Regular Season,8,Sat Sep 22 2018,KSC Lokeren OV,0-0,Royal Excel Mouscron,2018,Sep,22,22/Sep/2018,Sat,0,0,0,Draw,,
Belgium,Regular Season,8,Sat Sep 22 2018,Sint-Truidense VV,2-0,Royal Antwerp FC,2018,Sep,22,22/Sep/2018,Sat,2,2,0,Sint-Truidense VV,,
Belgium,Regular Season,8,Sun Sep 23 2018,KAA Gent,0-4,Club Brugge,2018,Sep,23,23/Sep/2018,Sun,4,0,4,Club Brugge,,
Belgium,Regular Season,8,Sun Sep 23 2018,RSC Anderlecht,2-1,Standard Liège,2018,Sep,23,23/Sep/2018,Sun,3,2,1,RSC Anderlecht,,
Belgium,Regular Season,8,Sun Sep 23 2018,Cercle Brugge,2-5,KRC Genk,2018,Sep,23,23/Sep/2018,Sun,7,2,5,KRC Genk,,
Belgium,Regular Season,9,Fri Sep 28 2018,KV Kortrijk,1-3,KAS Eupen,2018,Sep,28,28/Sep/2018,Fri,4,1,3,KAS Eupen,,
Belgium,Regular Season,9,Sat Sep 29 2018,KRC Genk,4-0,SV Zulte Waregem,2018,Sep,29,29/Sep/2018,Sat,4,4,0,KRC Genk,,
Belgium,Regular Season,9,Sat Sep 29 2018,Royal Excel Mouscron,0-3,Waasland-Beveren,2018,Sep,29,29/Sep/2018,Sat,3,0,3,Waasland-Beveren,,
Belgium,Regular Season,9,Sat Sep 29 2018,Sporting Charleroi,2-1,KSC Lokeren OV,2018,Sep,29,29/Sep/2018,Sat,3,2,1,Sporting Charleroi,,
Belgium,Regular Season,9,Sat Sep 29 2018,Club Brugge,4-0,Cercle Brugge,2018,Sep,29,29/Sep/2018,Sat,4,4,0,Club Brugge,,
Belgium,Regular Season,9,Sun Sep 30 2018,RSC Anderlecht,0-0,Sint-Truidense VV,2018,Sep,30,30/Sep/2018,Sun,0,0,0,Draw,,
