Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sun Aug 16 2015,SC Echsenbach,0-2,SV Zwentendorf,2015,Aug,16,16/Aug/2015,Sun,2,0,2,SV Zwentendorf
1,Sun Aug 16 2015,Horn Amateure,4-0,USC Grafenwörth,2015,Aug,16,16/Aug/2015,Sun,4,4,0,Horn Amateure
1,Sun Aug 16 2015,SV Rehberg,4-0,USV Raabs/Thaya,2015,Aug,16,16/Aug/2015,Sun,4,4,0,SV Rehberg
1,Sun Aug 16 2015,USC Schweiggers,02-Jan,SC St. Martin,2015,Aug,16,16/Aug/2015,Sun,3,2,1,USC Schweiggers
1,Sun Aug 16 2015,USV Langenlois,02-Mar,USV Groß Gerungs,2015,Aug,16,16/Aug/2015,Sun,5,2,3,USV Groß Gerungs
1,Sun Aug 16 2015,SC Admira Gföhl,05-Feb,SC Weißenkirchen,2015,Aug,16,16/Aug/2015,Sun,7,5,2,SC Admira Gföhl
1,Sun Aug 16 2015,SV Sieghartskirchen,0-1,USC Altenwörth,2015,Aug,16,16/Aug/2015,Sun,1,0,1,USC Altenwörth
2,Sun Aug 23 2015,SV Zwentendorf,01-Jan,SC Admira Gföhl,2015,Aug,23,23/Aug/2015,Sun,2,1,1,Draw
2,Sun Aug 23 2015,Horn Amateure,01-Mar,SV Sieghartskirchen,2015,Aug,23,23/Aug/2015,Sun,4,1,3,SV Sieghartskirchen
2,Sun Aug 23 2015,USV Raabs/Thaya,0-2,SC Echsenbach,2015,Aug,23,23/Aug/2015,Sun,2,0,2,SC Echsenbach
2,Sun Aug 23 2015,USC Schweiggers,03-Jan,USC Grafenwörth,2015,Aug,23,23/Aug/2015,Sun,4,3,1,USC Schweiggers
2,Sun Aug 23 2015,USC Altenwörth,3-0,SV Rehberg,2015,Aug,23,23/Aug/2015,Sun,3,3,0,USC Altenwörth
2,Sun Aug 23 2015,USV Langenlois,2-0,SC St. Martin,2015,Aug,23,23/Aug/2015,Sun,2,2,0,USV Langenlois
2,Sun Aug 23 2015,USV Groß Gerungs,03-Jan,SC Weißenkirchen,2015,Aug,23,23/Aug/2015,Sun,4,3,1,USV Groß Gerungs
3,Sun Aug 30 2015,USV Langenlois,01-Jan,USC Grafenwörth,2015,Aug,30,30/Aug/2015,Sun,2,1,1,Draw
3,Sun Aug 30 2015,SV Rehberg,3-0,Horn Amateure,2015,Aug,30,30/Aug/2015,Sun,3,3,0,SV Rehberg
