Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Jul 25 2015,SV Mattersburg,02-Jan,FC RB Salzburg,2015,Jul,25,25/Jul/2015,Sat,3,2,1,SV Mattersburg
1,Sat Jul 25 2015,SK Sturm Graz,01-Jan,FC Admira Wacker Mödling,2015,Jul,25,25/Jul/2015,Sat,2,1,1,Draw
1,Sat Jul 25 2015,SK Rapid Wien,3-0,SV Ried,2015,Jul,25,25/Jul/2015,Sat,3,3,0,SK Rapid Wien
1,Sat Jul 25 2015,SV Grödig,02-Jan,SCR Altach,2015,Jul,25,25/Jul/2015,Sat,3,2,1,SV Grödig
1,Sun Jul 26 2015,Wolfsberger AC,0-2,FK Austria Wien,2015,Jul,26,26/Jul/2015,Sun,2,0,2,FK Austria Wien
2,Sat Aug 1 2015,FC RB Salzburg,01-Feb,SK Rapid Wien,2015,Aug,1,1/Aug/2015,Sat,3,1,2,SK Rapid Wien
2,Sat Aug 1 2015,FC Admira Wacker Mödling,02-Jan,SV Mattersburg,2015,Aug,1,1/Aug/2015,Sat,3,2,1,FC Admira Wacker Mödling
2,Sun Aug 2 2015,SV Ried,0-0,Wolfsberger AC,2015,Aug,2,2/Aug/2015,Sun,0,0,0,Draw
2,Sun Aug 2 2015,FK Austria Wien,03-Jan,SCR Altach,2015,Aug,2,2/Aug/2015,Sun,4,3,1,FK Austria Wien
2,Sun Aug 2 2015,SK Sturm Graz,01-Jan,SV Grödig,2015,Aug,2,2/Aug/2015,Sun,2,1,1,Draw
3,Sat Aug 8 2015,SV Grödig,02-Feb,FK Austria Wien,2015,Aug,8,8/Aug/2015,Sat,4,2,2,Draw
3,Sat Aug 8 2015,SV Mattersburg,04-Jan,SV Ried,2015,Aug,8,8/Aug/2015,Sat,5,4,1,SV Mattersburg
3,Sat Aug 8 2015,FC Admira Wacker Mödling,02-Feb,FC RB Salzburg,2015,Aug,8,8/Aug/2015,Sat,4,2,2,Draw
3,Sun Aug 9 2015,SCR Altach,0-1,SK Sturm Graz,2015,Aug,9,9/Aug/2015,Sun,1,0,1,SK Sturm Graz
3,Sun Aug 9 2015,SK Rapid Wien,02-Jan,Wolfsberger AC,2015,Aug,9,9/Aug/2015,Sun,3,2,1,SK Rapid Wien
4,Tue Aug 11 2015,SV Ried,01-Apr,FC RB Salzburg,2015,Aug,11,11/Aug/2015,Tue,5,1,4,FC RB Salzburg
4,Wed Aug 12 2015,Wolfsberger AC,0-2,SK Sturm Graz,2015,Aug,12,12/Aug/2015,Wed,2,0,2,SK Sturm Graz
4,Wed Aug 12 2015,SCR Altach,03-Jan,SV Mattersburg,2015,Aug,12,12/Aug/2015,Wed,4,3,1,SCR Altach
4,Wed Aug 12 2015,SV Grödig,02-Mar,FC Admira Wacker Mödling,2015,Aug,12,12/Aug/2015,Wed,5,2,3,FC Admira Wacker Mödling
4,Wed Aug 12 2015,FK Austria Wien,02-May,SK Rapid Wien,2015,Aug,12,12/Aug/2015,Wed,7,2,5,SK Rapid Wien
5,Sat Aug 15 2015,FK Austria Wien,05-Jan,SV Mattersburg,2015,Aug,15,15/Aug/2015,Sat,6,5,1,FK Austria Wien
5,Sat Aug 15 2015,FC Admira Wacker Mödling,03-Jan,SV Ried,2015,Aug,15,15/Aug/2015,Sat,4,3,1,FC Admira Wacker Mödling
5,Sat Aug 15 2015,Wolfsberger AC,03-Feb,SV Grödig,2015,Aug,15,15/Aug/2015,Sat,5,3,2,Wolfsberger AC
5,Sat Aug 15 2015,FC RB Salzburg,2-0,SCR Altach,2015,Aug,15,15/Aug/2015,Sat,2,2,0,FC RB Salzburg
5,Sun Aug 16 2015,SK Sturm Graz,02-Feb,SK Rapid Wien,2015,Aug,16,16/Aug/2015,Sun,4,2,2,Draw
6,Sat Aug 22 2015,SK Rapid Wien,3-0,SV Grödig,2015,Aug,22,22/Aug/2015,Sat,3,3,0,SK Rapid Wien
6,Sat Aug 22 2015,SV Ried,1-0,SK Sturm Graz,2015,Aug,22,22/Aug/2015,Sat,1,1,0,SV Ried
6,Sat Aug 22 2015,SV Mattersburg,1-0,Wolfsberger AC,2015,Aug,22,22/Aug/2015,Sat,1,1,0,SV Mattersburg
6,Sun Aug 23 2015,FC RB Salzburg,02-Feb,FK Austria Wien,2015,Aug,23,23/Aug/2015,Sun,4,2,2,Draw
6,Sun Aug 23 2015,SCR Altach,01-Feb,FC Admira Wacker Mödling,2015,Aug,23,23/Aug/2015,Sun,3,1,2,FC Admira Wacker Mödling
7,Sat Aug 29 2015,FC Admira Wacker Mödling,0-1,FK Austria Wien,2015,Aug,29,29/Aug/2015,Sat,1,0,1,FK Austria Wien
7,Sat Aug 29 2015,SK Rapid Wien,02-Apr,SV Mattersburg,2015,Aug,29,29/Aug/2015,Sat,6,2,4,SV Mattersburg
7,Sat Aug 29 2015,SV Grödig,04-Jan,SV Ried,2015,Aug,29,29/Aug/2015,Sat,5,4,1,SV Grödig
7,Sun Aug 30 2015,SK Sturm Graz,02-Mar,FC RB Salzburg,2015,Aug,30,30/Aug/2015,Sun,5,2,3,FC RB Salzburg
7,Sun Aug 30 2015,Wolfsberger AC,0-2,SCR Altach,2015,Aug,30,30/Aug/2015,Sun,2,0,2,SCR Altach
8,Sat Sep 12 2015,SCR Altach,2-0,SK Rapid Wien,2015,Sep,12,12/Sep/2015,Sat,2,2,0,SCR Altach
8,Sat Sep 12 2015,FC RB Salzburg,04-Feb,SV Grödig,2015,Sep,12,12/Sep/2015,Sat,6,4,2,FC RB Salzburg
8,Sat Sep 12 2015,FK Austria Wien,01-Jan,SV Ried,2015,Sep,12,12/Sep/2015,Sat,2,1,1,Draw
8,Sat Sep 12 2015,FC Admira Wacker Mödling,1-0,Wolfsberger AC,2015,Sep,12,12/Sep/2015,Sat,1,1,0,FC Admira Wacker Mödling
8,Sun Sep 13 2015,SV Mattersburg,2-0,SK Sturm Graz,2015,Sep,13,13/Sep/2015,Sun,2,2,0,SV Mattersburg
9,Sat Sep 19 2015,SK Sturm Graz,2-0,FK Austria Wien,2015,Sep,19,19/Sep/2015,Sat,2,2,0,SK Sturm Graz
9,Sat Sep 19 2015,Wolfsberger AC,01-Jan,FC RB Salzburg,2015,Sep,19,19/Sep/2015,Sat,2,1,1,Draw
9,Sat Sep 19 2015,SV Ried,2-0,SCR Altach,2015,Sep,19,19/Sep/2015,Sat,2,2,0,SV Ried
9,Sat Sep 19 2015,SV Grödig,01-Jan,SV Mattersburg,2015,Sep,19,19/Sep/2015,Sat,2,1,1,Draw
9,Sun Sep 20 2015,SK Rapid Wien,2-0,FC Admira Wacker Mödling,2015,Sep,20,20/Sep/2015,Sun,2,2,0,SK Rapid Wien
10,Sat Sep 26 2015,SV Ried,0-1,SK Rapid Wien,2015,Sep,26,26/Sep/2015,Sat,1,0,1,SK Rapid Wien
10,Sat Sep 26 2015,FC RB Salzburg,04-Feb,SV Mattersburg,2015,Sep,26,26/Sep/2015,Sat,6,4,2,FC RB Salzburg
10,Sat Sep 26 2015,SCR Altach,1-0,SV Grödig,2015,Sep,26,26/Sep/2015,Sat,1,1,0,SCR Altach
10,Sat Sep 26 2015,FK Austria Wien,1-0,Wolfsberger AC,2015,Sep,26,26/Sep/2015,Sat,1,1,0,FK Austria Wien
10,Sun Sep 27 2015,FC Admira Wacker Mödling,0-1,SK Sturm Graz,2015,Sep,27,27/Sep/2015,Sun,1,0,1,SK Sturm Graz
11,Sat Oct 3 2015,SV Grödig,3-0,SK Sturm Graz,2015,Oct,3,3/Oct/2015,Sat,3,3,0,SV Grödig
11,Sat Oct 3 2015,Wolfsberger AC,01-Jan,SV Ried,2015,Oct,3,3/Oct/2015,Sat,2,1,1,Draw
11,Sat Oct 3 2015,SV Mattersburg,0-4,FC Admira Wacker Mödling,2015,Oct,3,3/Oct/2015,Sat,4,0,4,FC Admira Wacker Mödling
11,Sat Oct 3 2015,SCR Altach,01-Feb,FK Austria Wien,2015,Oct,3,3/Oct/2015,Sat,3,1,2,FK Austria Wien
11,Sun Oct 4 2015,SK Rapid Wien,01-Feb,FC RB Salzburg,2015,Oct,4,4/Oct/2015,Sun,3,1,2,FC RB Salzburg
12,Sat Oct 17 2015,FC RB Salzburg,8-0,FC Admira Wacker Mödling,2015,Oct,17,17/Oct/2015,Sat,8,8,0,FC RB Salzburg
12,Sat Oct 17 2015,FK Austria Wien,02-Jan,SV Grödig,2015,Oct,17,17/Oct/2015,Sat,3,2,1,FK Austria Wien
12,Sat Oct 17 2015,SV Ried,0-1,SV Mattersburg,2015,Oct,17,17/Oct/2015,Sat,1,0,1,SV Mattersburg
12,Sat Oct 17 2015,SK Sturm Graz,03-Jan,SCR Altach,2015,Oct,17,17/Oct/2015,Sat,4,3,1,SK Sturm Graz
12,Sun Oct 18 2015,Wolfsberger AC,02-Jan,SK Rapid Wien,2015,Oct,18,18/Oct/2015,Sun,3,2,1,Wolfsberger AC
13,Sat Oct 24 2015,SV Mattersburg,02-Jan,SCR Altach,2015,Oct,24,24/Oct/2015,Sat,3,2,1,SV Mattersburg
13,Sat Oct 24 2015,FC RB Salzburg,02-Jan,SV Ried,2015,Oct,24,24/Oct/2015,Sat,3,2,1,FC RB Salzburg
13,Sat Oct 24 2015,SK Sturm Graz,2-0,Wolfsberger AC,2015,Oct,24,24/Oct/2015,Sat,2,2,0,SK Sturm Graz
13,Sat Oct 24 2015,FC Admira Wacker Mödling,0-0,SV Grödig,2015,Oct,24,24/Oct/2015,Sat,0,0,0,Draw
13,Sun Oct 25 2015,SK Rapid Wien,01-Feb,FK Austria Wien,2015,Oct,25,25/Oct/2015,Sun,3,1,2,FK Austria Wien
14,Sat Oct 31 2015,SK Rapid Wien,02-Jan,SK Sturm Graz,2015,Oct,31,31/Oct/2015,Sat,3,2,1,SK Rapid Wien
14,Sat Oct 31 2015,SV Ried,01-Jan,FC Admira Wacker Mödling,2015,Oct,31,31/Oct/2015,Sat,2,1,1,Draw
14,Sat Oct 31 2015,SV Grödig,1-0,Wolfsberger AC,2015,Oct,31,31/Oct/2015,Sat,1,1,0,SV Grödig
14,Sat Oct 31 2015,SCR Altach,1-0,FC RB Salzburg,2015,Oct,31,31/Oct/2015,Sat,1,1,0,SCR Altach
14,Sun Nov 1 2015,SV Mattersburg,01-Feb,FK Austria Wien,2015,Nov,1,1/Nov/2015,Sun,3,1,2,FK Austria Wien
15,Sat Nov 7 2015,FK Austria Wien,01-Jan,FC RB Salzburg,2015,Nov,7,7/Nov/2015,Sat,2,1,1,Draw
15,Sat Nov 7 2015,FC Admira Wacker Mödling,01-Jan,SCR Altach,2015,Nov,7,7/Nov/2015,Sat,2,1,1,Draw
15,Sat Nov 7 2015,SK Sturm Graz,03-Feb,SV Ried,2015,Nov,7,7/Nov/2015,Sat,5,3,2,SK Sturm Graz
15,Sat Nov 7 2015,Wolfsberger AC,02-Jan,SV Mattersburg,2015,Nov,7,7/Nov/2015,Sat,3,2,1,Wolfsberger AC
15,Sun Nov 8 2015,SV Grödig,02-Jan,SK Rapid Wien,2015,Nov,8,8/Nov/2015,Sun,3,2,1,SV Grödig
16,Sat Nov 21 2015,FK Austria Wien,01-Jan,FC Admira Wacker Mödling,2015,Nov,21,21/Nov/2015,Sat,2,1,1,Draw
16,Sat Nov 21 2015,SV Mattersburg,01-Jun,SK Rapid Wien,2015,Nov,21,21/Nov/2015,Sat,7,1,6,SK Rapid Wien
16,Sat Nov 21 2015,SCR Altach,02-Jan,Wolfsberger AC,2015,Nov,21,21/Nov/2015,Sat,3,2,1,SCR Altach
16,Sat Nov 21 2015,SV Ried,1-0,SV Grödig,2015,Nov,21,21/Nov/2015,Sat,1,1,0,SV Ried
16,Sun Nov 22 2015,FC RB Salzburg,03-Jan,SK Sturm Graz,2015,Nov,22,22/Nov/2015,Sun,4,3,1,FC RB Salzburg
17,Sat Nov 28 2015,SK Sturm Graz,0-0,SV Mattersburg,2015,Nov,28,28/Nov/2015,Sat,0,0,0,Draw
17,Sat Nov 28 2015,SV Grödig,01-Jan,FC RB Salzburg,2015,Nov,28,28/Nov/2015,Sat,2,1,1,Draw
17,Sat Nov 28 2015,Wolfsberger AC,4-0,FC Admira Wacker Mödling,2015,Nov,28,28/Nov/2015,Sat,4,4,0,Wolfsberger AC
17,Sun Nov 29 2015,SV Ried,04-Feb,FK Austria Wien,2015,Nov,29,29/Nov/2015,Sun,6,4,2,SV Ried
17,Sun Nov 29 2015,SK Rapid Wien,03-Jan,SCR Altach,2015,Nov,29,29/Nov/2015,Sun,4,3,1,SK Rapid Wien
18,Tue Dec 1 2015,FC RB Salzburg,01-Jan,Wolfsberger AC,2015,Dec,1,1/Dec/2015,Tue,2,1,1,Draw
18,Wed Dec 2 2015,FC Admira Wacker Mödling,02-Jan,SK Rapid Wien,2015,Dec,2,2/Dec/2015,Wed,3,2,1,FC Admira Wacker Mödling
18,Wed Dec 2 2015,SCR Altach,01-Mar,SV Ried,2015,Dec,2,2/Dec/2015,Wed,4,1,3,SV Ried
18,Wed Dec 2 2015,SV Mattersburg,0-2,SV Grödig,2015,Dec,2,2/Dec/2015,Wed,2,0,2,SV Grödig
18,Wed Dec 2 2015,FK Austria Wien,02-Jan,SK Sturm Graz,2015,Dec,2,2/Dec/2015,Wed,3,2,1,FK Austria Wien
19,Sat Dec 5 2015,Wolfsberger AC,2-0,FK Austria Wien,2015,Dec,5,5/Dec/2015,Sat,2,2,0,Wolfsberger AC
19,Sat Dec 5 2015,SK Rapid Wien,02-Jan,SV Ried,2015,Dec,5,5/Dec/2015,Sat,3,2,1,SK Rapid Wien
19,Sat Dec 5 2015,SK Sturm Graz,01-Jan,FC Admira Wacker Mödling,2015,Dec,5,5/Dec/2015,Sat,2,1,1,Draw
19,Sat Dec 5 2015,SV Grödig,0-3,SCR Altach,2015,Dec,5,5/Dec/2015,Sat,3,0,3,SCR Altach
19,Sun Dec 6 2015,SV Mattersburg,0-0,FC RB Salzburg,2015,Dec,6,6/Dec/2015,Sun,0,0,0,Draw
20,Sat Dec 12 2015,FK Austria Wien,01-Feb,SCR Altach,2015,Dec,12,12/Dec/2015,Sat,3,1,2,SCR Altach
20,Sat Dec 12 2015,SK Sturm Graz,2-0,SV Grödig,2015,Dec,12,12/Dec/2015,Sat,2,2,0,SK Sturm Graz
20,Sat Dec 12 2015,SV Ried,1-0,Wolfsberger AC,2015,Dec,12,12/Dec/2015,Sat,1,1,0,SV Ried
20,Sat Dec 12 2015,FC Admira Wacker Mödling,01-Jan,SV Mattersburg,2015,Dec,12,12/Dec/2015,Sat,2,1,1,Draw
20,Sun Dec 13 2015,FC RB Salzburg,2-0,SK Rapid Wien,2015,Dec,13,13/Dec/2015,Sun,2,2,0,FC RB Salzburg
21,Sat Feb 6 2016,SCR Altach,02-Feb,SK Sturm Graz,2016,Feb,6,6/Feb/2016,Sat,4,2,2,Draw
21,Sat Feb 6 2016,SK Rapid Wien,3-0,Wolfsberger AC,2016,Feb,6,6/Feb/2016,Sat,3,3,0,SK Rapid Wien
21,Sat Feb 6 2016,SV Grödig,0-1,FK Austria Wien,2016,Feb,6,6/Feb/2016,Sat,1,0,1,FK Austria Wien
21,Sat Feb 6 2016,SV Mattersburg,03-Mar,SV Ried,2016,Feb,6,6/Feb/2016,Sat,6,3,3,Draw
21,Sun Feb 7 2016,FC Admira Wacker Mödling,01-Feb,FC RB Salzburg,2016,Feb,7,7/Feb/2016,Sun,3,1,2,FC RB Salzburg
22,Sat Feb 13 2016,SV Ried,1-0,FC RB Salzburg,2016,Feb,13,13/Feb/2016,Sat,1,1,0,SV Ried
22,Sat Feb 13 2016,SCR Altach,01-Feb,SV Mattersburg,2016,Feb,13,13/Feb/2016,Sat,3,1,2,SV Mattersburg
22,Sat Feb 13 2016,Wolfsberger AC,0-0,SK Sturm Graz,2016,Feb,13,13/Feb/2016,Sat,0,0,0,Draw
22,Sat Feb 13 2016,SV Grödig,02-Feb,FC Admira Wacker Mödling,2016,Feb,13,13/Feb/2016,Sat,4,2,2,Draw
