Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Sep 12 2020,SD Ponferradina,01-Feb,CD Castellón,2020,Sep,12,12/Sep/2020,Sat,3,1,2,CD Castellón
1,Sat Sep 12 2020,CD Leganés,1-0,UD Las Palmas,2020,Sep,12,12/Sep/2020,Sat,1,1,0,CD Leganés
1,Sat Sep 12 2020,Sporting Gijón,1-0,UD Logroñés,2020,Sep,12,12/Sep/2020,Sat,1,1,0,Sporting Gijón
1,Sat Sep 12 2020,RCD Espanyol,3-0,Albacete Balompié,2020,Sep,12,12/Sep/2020,Sat,3,3,0,RCD Espanyol
1,Sun Sep 13 2020,Real Oviedo,0-0,FC Cartagena,2020,Sep,13,13/Sep/2020,Sun,0,0,0,Draw
1,Sun Sep 13 2020,RCD Mallorca,0-1,Rayo Vallecano,2020,Sep,13,13/Sep/2020,Sun,1,0,1,Rayo Vallecano
1,Sun Sep 13 2020,CD Mirandés,0-0,AD Alcorcón,2020,Sep,13,13/Sep/2020,Sun,0,0,0,Draw
1,Sun Sep 13 2020,CF Fuenlabrada,2-0,CD Lugo,2020,Sep,13,13/Sep/2020,Sun,2,2,0,CF Fuenlabrada
1,Sun Sep 13 2020,CD Tenerife,2-0,Málaga CF,2020,Sep,13,13/Sep/2020,Sun,2,2,0,CD Tenerife
2,Sat Sep 19 2020,CD Mirandés,01-Jan,Real Oviedo,2020,Sep,19,19/Sep/2020,Sat,2,1,1,Draw
2,Sat Sep 19 2020,AD Alcorcón,2-0,CD Tenerife,2020,Sep,19,19/Sep/2020,Sat,2,2,0,AD Alcorcón
2,Sat Sep 19 2020,CD Castellón,0-1,Málaga CF,2020,Sep,19,19/Sep/2020,Sat,1,0,1,Málaga CF
2,Sat Sep 19 2020,Rayo Vallecano,02-Jan,CE Sabadell,2020,Sep,19,19/Sep/2020,Sat,3,2,1,Rayo Vallecano
2,Sun Sep 20 2020,Girona FC,,UD Logroñés,2020,Sep,20,20/Sep/2020,Sun,1,0,1,UD Logroñés
2,Sun Sep 20 2020,UD Almería,,Real Zaragoza,2020,Sep,20,20/Sep/2020,Sun,1,0,1,Real Zaragoza
2,Sun Sep 20 2020,CD Lugo,02-Jan,CD Leganés,2020,Sep,20,20/Sep/2020,Sun,3,2,1,CD Lugo
2,Sun Sep 20 2020,RCD Espanyol,0-0,RCD Mallorca,2020,Sep,20,20/Sep/2020,Sun,0,0,0,Draw
2,Sun Sep 20 2020,Albacete Balompié,0-2,SD Ponferradina,2020,Sep,20,20/Sep/2020,Sun,2,0,2,SD Ponferradina
2,Sun Sep 20 2020,FC Cartagena,0-1,Sporting Gijón,2020,Sep,20,20/Sep/2020,Sun,1,0,1,Sporting Gijón
2,Sun Sep 20 2020,UD Las Palmas,03-Mar,CF Fuenlabrada,2020,Sep,20,20/Sep/2020,Sun,6,3,3,Draw
3,Sat Sep 26 2020,Real Zaragoza,02-Feb,UD Las Palmas,2020,Sep,26,26/Sep/2020,Sat,4,2,2,Draw
3,Sat Sep 26 2020,Málaga CF,1-0,AD Alcorcón,2020,Sep,26,26/Sep/2020,Sat,1,1,0,Málaga CF
3,Sat Sep 26 2020,Sporting Gijón,2-0,Girona FC,2020,Sep,26,26/Sep/2020,Sat,2,2,0,Sporting Gijón
3,Sat Sep 26 2020,UD Logroñés,01-Jan,CD Castellón,2020,Sep,26,26/Sep/2020,Sat,2,1,1,Draw
3,Sat Sep 26 2020,CF Fuenlabrada,1-0,Albacete Balompié,2020,Sep,26,26/Sep/2020,Sat,1,1,0,CF Fuenlabrada
3,Sun Sep 27 2020,CD Lugo,0-2,UD Almería,2020,Sep,27,27/Sep/2020,Sun,2,0,2,UD Almería
3,Sun Sep 27 2020,RCD Mallorca,1-0,CE Sabadell,2020,Sep,27,27/Sep/2020,Sun,1,1,0,RCD Mallorca
3,Sun Sep 27 2020,CD Tenerife,01-Feb,CD Mirandés,2020,Sep,27,27/Sep/2020,Sun,3,1,2,CD Mirandés
3,Sun Sep 27 2020,Real Oviedo,0-2,RCD Espanyol,2020,Sep,27,27/Sep/2020,Sun,2,0,2,RCD Espanyol
3,Sun Sep 27 2020,SD Ponferradina,3-0,Rayo Vallecano,2020,Sep,27,27/Sep/2020,Sun,3,3,0,SD Ponferradina
3,Sun Sep 27 2020,CD Leganés,03-Jan,FC Cartagena,2020,Sep,27,27/Sep/2020,Sun,4,3,1,CD Leganés
4,Sat Oct 3 2020,AD Alcorcón,0-3,Real Zaragoza,2020,Oct,3,3/Oct/2020,Sat,3,0,3,Real Zaragoza
4,Sat Oct 3 2020,CD Mirandés,0-1,SD Ponferradina,2020,Oct,3,3/Oct/2020,Sat,1,0,1,SD Ponferradina
4,Sat Oct 3 2020,Albacete Balompié,01-Jan,Real Oviedo,2020,Oct,3,3/Oct/2020,Sat,2,1,1,Draw
4,Sat Oct 3 2020,RCD Mallorca,2-0,CD Tenerife,2020,Oct,3,3/Oct/2020,Sat,2,2,0,RCD Mallorca
4,Sat Oct 3 2020,UD Las Palmas,02-Jan,UD Logroñés,2020,Oct,3,3/Oct/2020,Sat,3,2,1,UD Las Palmas
4,Sat Oct 3 2020,Rayo Vallecano,4-0,Málaga CF,2020,Oct,3,3/Oct/2020,Sat,4,4,0,Rayo Vallecano
4,Sun Oct 4 2020,Girona FC,0-1,CF Fuenlabrada,2020,Oct,4,4/Oct/2020,Sun,1,0,1,CF Fuenlabrada
4,Sun Oct 4 2020,CE Sabadell,0-1,RCD Espanyol,2020,Oct,4,4/Oct/2020,Sun,1,0,1,RCD Espanyol
4,Sun Oct 4 2020,CD Castellón,2-0,CD Leganés,2020,Oct,4,4/Oct/2020,Sun,2,2,0,CD Castellón
4,Sun Oct 4 2020,UD Almería,0-1,Sporting Gijón,2020,Oct,4,4/Oct/2020,Sun,1,0,1,Sporting Gijón
4,Sun Oct 4 2020,FC Cartagena,02-Jan,CD Lugo,2020,Oct,4,4/Oct/2020,Sun,3,2,1,FC Cartagena
5,Sat Oct 10 2020,CE Sabadell,0-2,CD Mirandés,2020,Oct,10,10/Oct/2020,Sat,2,0,2,CD Mirandés
5,Sat Oct 10 2020,RCD Espanyol,1-0,AD Alcorcón,2020,Oct,10,10/Oct/2020,Sat,1,1,0,RCD Espanyol
5,Sat Oct 10 2020,UD Logroñés,1-0,UD Almería,2020,Oct,10,10/Oct/2020,Sat,1,1,0,UD Logroñés
5,Sat Oct 10 2020,CD Tenerife,1-0,Rayo Vallecano,2020,Oct,10,10/Oct/2020,Sat,1,1,0,CD Tenerife
5,Sun Oct 11 2020,CD Lugo,0-1,RCD Mallorca,2020,Oct,11,11/Oct/2020,Sun,1,0,1,RCD Mallorca
5,Sun Oct 11 2020,CF Fuenlabrada,01-Jan,CD Castellón,2020,Oct,11,11/Oct/2020,Sun,2,1,1,Draw
5,Sun Oct 11 2020,CD Leganés,0-1,Girona FC,2020,Oct,11,11/Oct/2020,Sun,1,0,1,Girona FC
5,Sun Oct 11 2020,Málaga CF,0-0,UD Las Palmas,2020,Oct,11,11/Oct/2020,Sun,0,0,0,Draw
5,Sun Oct 11 2020,Real Zaragoza,1-0,Albacete Balompié,2020,Oct,11,11/Oct/2020,Sun,1,1,0,Real Zaragoza
5,Sun Oct 11 2020,SD Ponferradina,0-2,FC Cartagena,2020,Oct,11,11/Oct/2020,Sun,2,0,2,FC Cartagena
5,Sun Oct 11 2020,Real Oviedo,1-0,Sporting Gijón,2020,Oct,11,11/Oct/2020,Sun,1,1,0,Real Oviedo
6,Sat Oct 17 2020,Albacete Balompié,3-0,CE Sabadell,2020,Oct,17,17/Oct/2020,Sat,3,3,0,Albacete Balompié
6,Sat Oct 17 2020,FC Cartagena,01-Jan,CF Fuenlabrada,2020,Oct,17,17/Oct/2020,Sat,2,1,1,Draw
6,Sat Oct 17 2020,UD Las Palmas,2-0,UD Almería,2020,Oct,17,17/Oct/2020,Sat,2,2,0,UD Las Palmas
6,Sat Oct 17 2020,CD Castellón,0-1,CD Lugo,2020,Oct,17,17/Oct/2020,Sat,1,0,1,CD Lugo
6,Sat Oct 17 2020,UD Logroñés,0-1,CD Leganés,2020,Oct,17,17/Oct/2020,Sat,1,0,1,CD Leganés
6,Sun Oct 18 2020,Rayo Vallecano,1-0,RCD Espanyol,2020,Oct,18,18/Oct/2020,Sun,1,1,0,Rayo Vallecano
