Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Aug 4 2018,Sunderland AFC,02-Jan,Charlton Athletic FC,2018,Aug,4,4/Aug/2018,Sat,3,2,1,Sunderland AFC
1,Sat Aug 4 2018,Accrington Stanley FC,0-2,Gillingham FC,2018,Aug,4,4/Aug/2018,Sat,2,0,2,Gillingham FC
1,Sat Aug 4 2018,Barnsley FC,4-0,Oxford United FC,2018,Aug,4,4/Aug/2018,Sat,4,4,0,Barnsley FC
1,Sat Aug 4 2018,Burton Albion FC,01-Feb,Rochdale AFC,2018,Aug,4,4/Aug/2018,Sat,3,1,2,Rochdale AFC
1,Sat Aug 4 2018,Coventry City FC,01-Feb,Scunthorpe United FC,2018,Aug,4,4/Aug/2018,Sat,3,1,2,Scunthorpe United FC
1,Sat Aug 4 2018,Fleetwood Town FC,0-1,AFC Wimbledon,2018,Aug,4,4/Aug/2018,Sat,1,0,1,AFC Wimbledon
1,Sat Aug 4 2018,Peterborough United FC,02-Jan,Bristol Rovers FC,2018,Aug,4,4/Aug/2018,Sat,3,2,1,Peterborough United FC
1,Sat Aug 4 2018,Portsmouth FC,1-0,Luton Town FC,2018,Aug,4,4/Aug/2018,Sat,1,1,0,Portsmouth FC
1,Sat Aug 4 2018,Shrewsbury Town FC,0-1,Bradford City AFC,2018,Aug,4,4/Aug/2018,Sat,1,0,1,Bradford City AFC
1,Sat Aug 4 2018,Southend United FC,02-Mar,Doncaster Rovers FC,2018,Aug,4,4/Aug/2018,Sat,5,2,3,Doncaster Rovers FC
1,Sat Aug 4 2018,Walsall FC,02-Jan,Plymouth Argyle FC,2018,Aug,4,4/Aug/2018,Sat,3,2,1,Walsall FC
1,Sat Aug 4 2018,Wycombe Wanderers FC,0-0,Blackpool FC,2018,Aug,4,4/Aug/2018,Sat,0,0,0,Draw
2,Sat Aug 11 2018,AFC Wimbledon,0-0,Coventry City FC,2018,Aug,11,11/Aug/2018,Sat,0,0,0,Draw
2,Sat Aug 11 2018,Blackpool FC,01-Feb,Portsmouth FC,2018,Aug,11,11/Aug/2018,Sat,3,1,2,Portsmouth FC
2,Sat Aug 11 2018,Bradford City AFC,0-2,Barnsley FC,2018,Aug,11,11/Aug/2018,Sat,2,0,2,Barnsley FC
2,Sat Aug 11 2018,Bristol Rovers FC,01-Feb,Accrington Stanley FC,2018,Aug,11,11/Aug/2018,Sat,3,1,2,Accrington Stanley FC
2,Sat Aug 11 2018,Charlton Athletic FC,02-Jan,Shrewsbury Town FC,2018,Aug,11,11/Aug/2018,Sat,3,2,1,Charlton Athletic FC
2,Sat Aug 11 2018,Scunthorpe United FC,01-Jan,Walsall FC,2018,Aug,11,11/Aug/2018,Sat,2,1,1,Draw
2,Sat Aug 11 2018,Gillingham FC,03-Jan,Burton Albion FC,2018,Aug,11,11/Aug/2018,Sat,4,3,1,Gillingham FC
2,Sat Aug 11 2018,Luton Town FC,01-Jan,Sunderland AFC,2018,Aug,11,11/Aug/2018,Sat,2,1,1,Draw
2,Sat Aug 11 2018,Oxford United FC,0-2,Fleetwood Town FC,2018,Aug,11,11/Aug/2018,Sat,2,0,2,Fleetwood Town FC
2,Sat Aug 11 2018,Plymouth Argyle FC,01-Jan,Southend United FC,2018,Aug,11,11/Aug/2018,Sat,2,1,1,Draw
2,Sat Aug 11 2018,Doncaster Rovers FC,3-0,Wycombe Wanderers FC,2018,Aug,11,11/Aug/2018,Sat,3,3,0,Doncaster Rovers FC
2,Sat Aug 11 2018,Rochdale AFC,01-Apr,Peterborough United FC,2018,Aug,11,11/Aug/2018,Sat,5,1,4,Peterborough United FC
3,Sat Aug 18 2018,Accrington Stanley FC,01-Jan,Charlton Athletic FC,2018,Aug,18,18/Aug/2018,Sat,2,1,1,Draw
3,Sat Aug 18 2018,Barnsley FC,0-0,AFC Wimbledon,2018,Aug,18,18/Aug/2018,Sat,0,0,0,Draw
3,Sat Aug 18 2018,Burton Albion FC,1-0,Doncaster Rovers FC,2018,Aug,18,18/Aug/2018,Sat,1,1,0,Burton Albion FC
3,Sat Aug 18 2018,Coventry City FC,1-0,Plymouth Argyle FC,2018,Aug,18,18/Aug/2018,Sat,1,1,0,Coventry City FC
3,Sat Aug 18 2018,Fleetwood Town FC,02-Feb,Rochdale AFC,2018,Aug,18,18/Aug/2018,Sat,4,2,2,Draw
3,Sat Aug 18 2018,Peterborough United FC,03-Jan,Luton Town FC,2018,Aug,18,18/Aug/2018,Sat,4,3,1,Peterborough United FC
3,Sat Aug 18 2018,Portsmouth FC,04-Jan,Oxford United FC,2018,Aug,18,18/Aug/2018,Sat,5,4,1,Portsmouth FC
3,Sat Aug 18 2018,Shrewsbury Town FC,0-0,Blackpool FC,2018,Aug,18,18/Aug/2018,Sat,0,0,0,Draw
3,Sat Aug 18 2018,Southend United FC,2-0,Bradford City AFC,2018,Aug,18,18/Aug/2018,Sat,2,2,0,Southend United FC
3,Sat Aug 18 2018,Walsall FC,02-Jan,Gillingham FC,2018,Aug,18,18/Aug/2018,Sat,3,2,1,Walsall FC
3,Sat Aug 18 2018,Wycombe Wanderers FC,01-Feb,Bristol Rovers FC,2018,Aug,18,18/Aug/2018,Sat,3,1,2,Bristol Rovers FC
