Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Aug 4 2018,Bury FC,1-0,Yeovil Town FC,2018,Aug,4,4/Aug/2018,Sat,1,1,0,Bury FC
1,Sat Aug 4 2018,Cheltenham Town FC,0-1,Crawley Town FC,2018,Aug,4,4/Aug/2018,Sat,1,0,1,Crawley Town FC
1,Sat Aug 4 2018,Crewe Alexandra FC,6-0,Morecambe FC,2018,Aug,4,4/Aug/2018,Sat,6,6,0,Crewe Alexandra FC
1,Sat Aug 4 2018,Exeter City FC,03-Jan,Carlisle United FC,2018,Aug,4,4/Aug/2018,Sat,4,3,1,Exeter City FC
1,Sat Aug 4 2018,Grimsby Town FC,01-Apr,Forest Green Rovers FC,2018,Aug,4,4/Aug/2018,Sat,5,1,4,Forest Green Rovers FC
1,Sat Aug 4 2018,Mansfield Town FC,3-0,Newport County AFC,2018,Aug,4,4/Aug/2018,Sat,3,3,0,Mansfield Town FC
1,Sat Aug 4 2018,Northampton Town FC,0-1,Lincoln City FC,2018,Aug,4,4/Aug/2018,Sat,1,0,1,Lincoln City FC
1,Sat Aug 4 2018,Notts County FC,0-0,Colchester United FC,2018,Aug,4,4/Aug/2018,Sat,0,0,0,Draw
1,Sat Aug 4 2018,Oldham Athletic AFC,01-Feb,Milton Keynes Dons FC,2018,Aug,4,4/Aug/2018,Sat,3,1,2,Milton Keynes Dons FC
1,Sat Aug 4 2018,Port Vale FC,3-0,Cambridge United FC,2018,Aug,4,4/Aug/2018,Sat,3,3,0,Port Vale FC
1,Sat Aug 4 2018,Stevenage FC,02-Feb,Tranmere Rovers FC,2018,Aug,4,4/Aug/2018,Sat,4,2,2,Draw
1,Sat Aug 4 2018,Swindon Town FC,03-Feb,Macclesfield Town FC,2018,Aug,4,4/Aug/2018,Sat,5,3,2,Swindon Town FC
2,Sat Aug 11 2018,Cambridge United FC,03-Feb,Notts County FC,2018,Aug,11,11/Aug/2018,Sat,5,3,2,Cambridge United FC
2,Sat Aug 11 2018,Carlisle United FC,02-Feb,Northampton Town FC,2018,Aug,11,11/Aug/2018,Sat,4,2,2,Draw
2,Sat Aug 11 2018,Colchester United FC,2-0,Port Vale FC,2018,Aug,11,11/Aug/2018,Sat,2,2,0,Colchester United FC
2,Sat Aug 11 2018,Crawley Town FC,01-Mar,Stevenage FC,2018,Aug,11,11/Aug/2018,Sat,4,1,3,Stevenage FC
2,Sat Aug 11 2018,Forest Green Rovers FC,01-Jan,Oldham Athletic AFC,2018,Aug,11,11/Aug/2018,Sat,2,1,1,Draw
2,Sat Aug 11 2018,Lincoln City FC,04-Jan,Swindon Town FC,2018,Aug,11,11/Aug/2018,Sat,5,4,1,Lincoln City FC
2,Sat Aug 11 2018,Macclesfield Town FC,0-2,Grimsby Town FC,2018,Aug,11,11/Aug/2018,Sat,2,0,2,Grimsby Town FC
2,Sat Aug 11 2018,Milton Keynes Dons FC,1-0,Bury FC,2018,Aug,11,11/Aug/2018,Sat,1,1,0,Milton Keynes Dons FC
2,Sat Aug 11 2018,Morecambe FC,0-2,Exeter City FC,2018,Aug,11,11/Aug/2018,Sat,2,0,2,Exeter City FC
2,Sat Aug 11 2018,Newport County AFC,1-0,Crewe Alexandra FC,2018,Aug,11,11/Aug/2018,Sat,1,1,0,Newport County AFC
2,Sat Aug 11 2018,Tranmere Rovers FC,1-0,Cheltenham Town FC,2018,Aug,11,11/Aug/2018,Sat,1,1,0,Tranmere Rovers FC
2,Sat Aug 11 2018,Yeovil Town FC,02-Feb,Mansfield Town FC,2018,Aug,11,11/Aug/2018,Sat,4,2,2,Draw
3,Fri Aug 17 2018,Notts County FC,0-4,Yeovil Town FC,2018,Aug,17,17/Aug/2018,Fri,4,0,4,Yeovil Town FC
3,Sat Aug 18 2018,Grimsby Town FC,01-Jan,Lincoln City FC,2018,Aug,18,18/Aug/2018,Sat,2,1,1,Draw
3,Sat Aug 18 2018,Bury FC,01-Jan,Forest Green Rovers FC,2018,Aug,18,18/Aug/2018,Sat,2,1,1,Draw
3,Sat Aug 18 2018,Cheltenham Town FC,0-1,Carlisle United FC,2018,Aug,18,18/Aug/2018,Sat,1,0,1,Carlisle United FC
3,Sat Aug 18 2018,Crewe Alexandra FC,0-0,Milton Keynes Dons FC,2018,Aug,18,18/Aug/2018,Sat,0,0,0,Draw
3,Sat Aug 18 2018,Exeter City FC,01-Jan,Newport County AFC,2018,Aug,18,18/Aug/2018,Sat,2,1,1,Draw
3,Sat Aug 18 2018,Mansfield Town FC,01-Jan,Colchester United FC,2018,Aug,18,18/Aug/2018,Sat,2,1,1,Draw
3,Sat Aug 18 2018,Northampton Town FC,02-Feb,Cambridge United FC,2018,Aug,18,18/Aug/2018,Sat,4,2,2,Draw
3,Sat Aug 18 2018,Oldham Athletic AFC,03-Jan,Macclesfield Town FC,2018,Aug,18,18/Aug/2018,Sat,4,3,1,Oldham Athletic AFC
3,Sat Aug 18 2018,Port Vale FC,1-0,Crawley Town FC,2018,Aug,18,18/Aug/2018,Sat,1,1,0,Port Vale FC
3,Sat Aug 18 2018,Stevenage FC,1-0,Morecambe FC,2018,Aug,18,18/Aug/2018,Sat,1,1,0,Stevenage FC
3,Sat Aug 18 2018,Swindon Town FC,03-Feb,Tranmere Rovers FC,2018,Aug,18,18/Aug/2018,Sat,5,3,2,Swindon Town FC
4,Tue Aug 21 2018,Cambridge United FC,0-2,Exeter City FC,2018,Aug,21,21/Aug/2018,Tue,2,0,2,Exeter City FC
4,Tue Aug 21 2018,Carlisle United FC,02-Jan,Port Vale FC,2018,Aug,21,21/Aug/2018,Tue,3,2,1,Carlisle United FC
4,Tue Aug 21 2018,Colchester United FC,6-0,Crewe Alexandra FC,2018,Aug,21,21/Aug/2018,Tue,6,6,0,Colchester United FC
4,Tue Aug 21 2018,Crawley Town FC,02-Feb,Swindon Town FC,2018,Aug,21,21/Aug/2018,Tue,4,2,2,Draw
4,Tue Aug 21 2018,Forest Green Rovers FC,0-0,Stevenage FC,2018,Aug,21,21/Aug/2018,Tue,0,0,0,Draw
4,Tue Aug 21 2018,Lincoln City FC,02-Jan,Bury FC,2018,Aug,21,21/Aug/2018,Tue,3,2,1,Lincoln City FC
4,Tue Aug 21 2018,Macclesfield Town FC,01-Jan,Cheltenham Town FC,2018,Aug,21,21/Aug/2018,Tue,2,1,1,Draw
4,Tue Aug 21 2018,Milton Keynes Dons FC,01-Jan,Grimsby Town FC,2018,Aug,21,21/Aug/2018,Tue,2,1,1,Draw
4,Tue Aug 21 2018,Morecambe FC,1-0,Northampton Town FC,2018,Aug,21,21/Aug/2018,Tue,1,1,0,Morecambe FC
4,Tue Aug 21 2018,Newport County AFC,03-Feb,Notts County FC,2018,Aug,21,21/Aug/2018,Tue,5,3,2,Newport County AFC
4,Tue Aug 21 2018,Tranmere Rovers FC,0-0,Mansfield Town FC,2018,Aug,21,21/Aug/2018,Tue,0,0,0,Draw
4,Tue Aug 21 2018,Yeovil Town FC,0-0,Oldham Athletic AFC,2018,Aug,21,21/Aug/2018,Tue,0,0,0,Draw
5,Sat Aug 25 2018,Cambridge United FC,0-1,Cheltenham Town FC,2018,Aug,25,25/Aug/2018,Sat,1,0,1,Cheltenham Town FC
5,Sat Aug 25 2018,Carlisle United FC,1-0,Crewe Alexandra FC,2018,Aug,25,25/Aug/2018,Sat,1,1,0,Carlisle United FC
5,Sat Aug 25 2018,Colchester United FC,01-Feb,Northampton Town FC,2018,Aug,25,25/Aug/2018,Sat,3,1,2,Northampton Town FC
5,Sat Aug 25 2018,Crawley Town FC,03-Feb,Bury FC,2018,Aug,25,25/Aug/2018,Sat,5,3,2,Crawley Town FC
5,Sat Aug 25 2018,Forest Green Rovers FC,01-Jan,Swindon Town FC,2018,Aug,25,25/Aug/2018,Sat,2,1,1,Draw
5,Sat Aug 25 2018,Lincoln City FC,03-Jan,Notts County FC,2018,Aug,25,25/Aug/2018,Sat,4,3,1,Lincoln City FC
5,Sat Aug 25 2018,Macclesfield Town FC,01-Jan,Mansfield Town FC,2018,Aug,25,25/Aug/2018,Sat,2,1,1,Draw
5,Sat Aug 25 2018,Milton Keynes Dons FC,1-0,Exeter City FC,2018,Aug,25,25/Aug/2018,Sat,1,1,0,Milton Keynes Dons FC
5,Sat Aug 25 2018,Morecambe FC,0-2,Oldham Athletic AFC,2018,Aug,25,25/Aug/2018,Sat,2,0,2,Oldham Athletic AFC
5,Sat Aug 25 2018,Newport County AFC,1-0,Grimsby Town FC,2018,Aug,25,25/Aug/2018,Sat,1,1,0,Newport County AFC
5,Sat Aug 25 2018,Tranmere Rovers FC,1-0,Port Vale FC,2018,Aug,25,25/Aug/2018,Sat,1,1,0,Tranmere Rovers FC
5,Sat Aug 25 2018,Yeovil Town FC,2-0,Stevenage FC,2018,Aug,25,25/Aug/2018,Sat,2,2,0,Yeovil Town FC
6,Sat Sep 1 2018,Bury FC,03-Feb,Morecambe FC,2018,Sep,1,1/Sep/2018,Sat,5,3,2,Bury FC
6,Sat Sep 1 2018,Cheltenham Town FC,01-Mar,Colchester United FC,2018,Sep,1,1/Sep/2018,Sat,4,1,3,Colchester United FC
6,Sat Sep 1 2018,Crewe Alexandra FC,3-0,Macclesfield Town FC,2018,Sep,1,1/Sep/2018,Sat,3,3,0,Crewe Alexandra FC
6,Sat Sep 1 2018,Exeter City FC,0-3,Lincoln City FC,2018,Sep,1,1/Sep/2018,Sat,3,0,3,Lincoln City FC
6,Sat Sep 1 2018,Grimsby Town FC,0-1,Yeovil Town FC,2018,Sep,1,1/Sep/2018,Sat,1,0,1,Yeovil Town FC
6,Sat Sep 1 2018,Mansfield Town FC,1-0,Carlisle United FC,2018,Sep,1,1/Sep/2018,Sat,1,1,0,Mansfield Town FC
6,Sat Sep 1 2018,Northampton Town FC,01-Jan,Tranmere Rovers FC,2018,Sep,1,1/Sep/2018,Sat,2,1,1,Draw
6,Sat Sep 1 2018,Notts County FC,01-Mar,Forest Green Rovers FC,2018,Sep,1,1/Sep/2018,Sat,4,1,3,Forest Green Rovers FC
6,Sat Sep 1 2018,Oldham Athletic AFC,02-Jan,Crawley Town FC,2018,Sep,1,1/Sep/2018,Sat,3,2,1,Oldham Athletic AFC
6,Sat Sep 1 2018,Port Vale FC,01-Feb,Newport County AFC,2018,Sep,1,1/Sep/2018,Sat,3,1,2,Newport County AFC
6,Sat Sep 1 2018,Stevenage FC,0-1,Cambridge United FC,2018,Sep,1,1/Sep/2018,Sat,1,0,1,Cambridge United FC
6,Sat Sep 1 2018,Swindon Town FC,01-Jan,Milton Keynes Dons FC,2018,Sep,1,1/Sep/2018,Sat,2,1,1,Draw
7,Sat Sep 8 2018,Bury FC,4-0,Grimsby Town FC,2018,Sep,8,8/Sep/2018,Sat,4,4,0,Bury FC
7,Sat Sep 8 2018,Cambridge United FC,01-Feb,Carlisle United FC,2018,Sep,8,8/Sep/2018,Sat,3,1,2,Carlisle United FC
7,Sat Sep 8 2018,Exeter City FC,05-Jan,Notts County FC,2018,Sep,8,8/Sep/2018,Sat,6,5,1,Exeter City FC
7,Sat Sep 8 2018,Forest Green Rovers FC,01-Jan,Port Vale FC,2018,Sep,8,8/Sep/2018,Sat,2,1,1,Draw
7,Sat Sep 8 2018,Lincoln City FC,0-1,Crawley Town FC,2018,Sep,8,8/Sep/2018,Sat,1,0,1,Crawley Town FC
7,Sat Sep 8 2018,Morecambe FC,0-1,Swindon Town FC,2018,Sep,8,8/Sep/2018,Sat,1,0,1,Swindon Town FC
7,Sat Sep 8 2018,Northampton Town FC,01-Mar,Cheltenham Town FC,2018,Sep,8,8/Sep/2018,Sat,4,1,3,Cheltenham Town FC
7,Sat Sep 8 2018,Oldham Athletic AFC,0-1,Newport County AFC,2018,Sep,8,8/Sep/2018,Sat,1,0,1,Newport County AFC
7,Sat Sep 8 2018,Stevenage FC,1-0,Macclesfield Town FC,2018,Sep,8,8/Sep/2018,Sat,1,1,0,Stevenage FC
7,Sat Sep 8 2018,Tranmere Rovers FC,01-Jan,Colchester United FC,2018,Sep,8,8/Sep/2018,Sat,2,1,1,Draw
8,Sat Sep 15 2018,Swindon Town FC,01-Feb,Bury FC,2018,Sep,15,15/Sep/2018,Sat,3,1,2,Bury FC
8,Sat Sep 15 2018,Port Vale FC,2-0,Northampton Town FC,2018,Sep,15,15/Sep/2018,Sat,2,2,0,Port Vale FC
8,Sat Sep 15 2018,Carlisle United FC,0-2,Tranmere Rovers FC,2018,Sep,15,15/Sep/2018,Sat,2,0,2,Tranmere Rovers FC
8,Sat Sep 15 2018,Cheltenham Town FC,0-0,Crewe Alexandra FC,2018,Sep,15,15/Sep/2018,Sat,0,0,0,Draw
8,Sat Sep 15 2018,Colchester United FC,3-0,Cambridge United FC,2018,Sep,15,15/Sep/2018,Sat,3,3,0,Colchester United FC
8,Sat Sep 15 2018,Crawley Town FC,2-0,Morecambe FC,2018,Sep,15,15/Sep/2018,Sat,2,2,0,Crawley Town FC
8,Sat Sep 15 2018,Grimsby Town FC,0-3,Oldham Athletic AFC,2018,Sep,15,15/Sep/2018,Sat,3,0,3,Oldham Athletic AFC
