Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Nov 9 2018,Haringey Borough FC,0-1,AFC Wimbledon,2018,Nov,9,9/Nov/2018,Fri,1,0,1,AFC Wimbledon
1,Sat Nov 10 2018,Maidenhead United FC,0-4,Portsmouth FC,2018,Nov,10,10/Nov/2018,Sat,4,0,4,Portsmouth FC
1,Sat Nov 10 2018,Maidstone United FC,02-Jan,Macclesfield Town FC,2018,Nov,10,10/Nov/2018,Sat,3,2,1,Maidstone United FC
1,Sat Nov 10 2018,Ebbsfleet United FC,0-0,Cheltenham Town FC,2018,Nov,10,10/Nov/2018,Sat,0,0,0,Draw
1,Sat Nov 10 2018,Swindon Town FC,02-Jan,York City FC,2018,Nov,10,10/Nov/2018,Sat,3,2,1,Swindon Town FC
1,Sat Nov 10 2018,Torquay United FC,0-1,Woking FC,2018,Nov,10,10/Nov/2018,Sat,1,0,1,Woking FC
1,Sat Nov 10 2018,Scunthorpe United FC,02-Jan,Burton Albion FC,2018,Nov,10,10/Nov/2018,Sat,3,2,1,Scunthorpe United FC
1,Sat Nov 10 2018,Aldershot Town FC,01-Jan,Bradford City AFC,2018,Nov,10,10/Nov/2018,Sat,2,1,1,Draw
1,Sat Nov 10 2018,Grimsby Town FC,03-Jan,Milton Keynes Dons FC,2018,Nov,10,10/Nov/2018,Sat,4,3,1,Grimsby Town FC
1,Sat Nov 10 2018,Bromley FC,01-Mar,Peterborough United FC,2018,Nov,10,10/Nov/2018,Sat,4,1,3,Peterborough United FC
1,Sat Nov 10 2018,Southport FC,2-0,Boreham Wood FC,2018,Nov,10,10/Nov/2018,Sat,2,2,0,Southport FC
1,Sat Nov 10 2018,Plymouth Argyle FC,1-0,Stevenage FC,2018,Nov,10,10/Nov/2018,Sat,1,1,0,Plymouth Argyle FC
1,Sat Nov 10 2018,Chesterfield FC,01-Jan,Billericay Town FC,2018,Nov,10,10/Nov/2018,Sat,2,1,1,Draw
1,Sat Nov 10 2018,Lincoln City FC,03-Feb,Northampton Town FC,2018,Nov,10,10/Nov/2018,Sat,5,3,2,Lincoln City FC
1,Sat Nov 10 2018,Yeovil Town FC,01-Mar,Stockport County FC,2018,Nov,10,10/Nov/2018,Sat,4,1,3,Stockport County FC
1,Sat Nov 10 2018,Bury FC,5-0,Dover Athletic FC,2018,Nov,10,10/Nov/2018,Sat,5,5,0,Bury FC
1,Sat Nov 10 2018,Gillingham FC,0-0,Hartlepool United FC,2018,Nov,10,10/Nov/2018,Sat,0,0,0,Draw
