Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Aug 10 2018,Manchester United FC,02-Jan,Leicester City FC,2018,Aug,10,10/Aug/2018,Fri,3,2,1,Manchester United FC
1,Sat Aug 11 2018,Newcastle United FC,01-Feb,Tottenham Hotspur FC,2018,Aug,11,11/Aug/2018,Sat,3,1,2,Tottenham Hotspur FC
1,Sat Aug 11 2018,Fulham FC,0-2,Crystal Palace FC,2018,Aug,11,11/Aug/2018,Sat,2,0,2,Crystal Palace FC
1,Sat Aug 11 2018,Huddersfield Town AFC,0-3,Chelsea FC,2018,Aug,11,11/Aug/2018,Sat,3,0,3,Chelsea FC
1,Sat Aug 11 2018,Watford FC,2-0,Brighton & Hove Albion FC,2018,Aug,11,11/Aug/2018,Sat,2,2,0,Watford FC
1,Sat Aug 11 2018,AFC Bournemouth,2-0,Cardiff City FC,2018,Aug,11,11/Aug/2018,Sat,2,2,0,AFC Bournemouth
1,Sat Aug 11 2018,Wolverhampton Wanderers FC,02-Feb,Everton FC,2018,Aug,11,11/Aug/2018,Sat,4,2,2,Draw
1,Sun Aug 12 2018,Liverpool FC,4-0,West Ham United FC,2018,Aug,12,12/Aug/2018,Sun,4,4,0,Liverpool FC
1,Sun Aug 12 2018,Southampton FC,0-0,Burnley FC,2018,Aug,12,12/Aug/2018,Sun,0,0,0,Draw
1,Sun Aug 12 2018,Arsenal FC,0-2,Manchester City FC,2018,Aug,12,12/Aug/2018,Sun,2,0,2,Manchester City FC
2,Sat Aug 18 2018,Cardiff City FC,0-0,Newcastle United FC,2018,Aug,18,18/Aug/2018,Sat,0,0,0,Draw
2,Sat Aug 18 2018,Tottenham Hotspur FC,03-Jan,Fulham FC,2018,Aug,18,18/Aug/2018,Sat,4,3,1,Tottenham Hotspur FC
2,Sat Aug 18 2018,Everton FC,02-Jan,Southampton FC,2018,Aug,18,18/Aug/2018,Sat,3,2,1,Everton FC
2,Sat Aug 18 2018,Leicester City FC,2-0,Wolverhampton Wanderers FC,2018,Aug,18,18/Aug/2018,Sat,2,2,0,Leicester City FC
2,Sat Aug 18 2018,West Ham United FC,01-Feb,AFC Bournemouth,2018,Aug,18,18/Aug/2018,Sat,3,1,2,AFC Bournemouth
2,Sat Aug 18 2018,Chelsea FC,03-Feb,Arsenal FC,2018,Aug,18,18/Aug/2018,Sat,5,3,2,Chelsea FC
2,Sun Aug 19 2018,Manchester City FC,06-Jan,Huddersfield Town AFC,2018,Aug,19,19/Aug/2018,Sun,7,6,1,Manchester City FC
2,Sun Aug 19 2018,Burnley FC,01-Mar,Watford FC,2018,Aug,19,19/Aug/2018,Sun,4,1,3,Watford FC
2,Sun Aug 19 2018,Brighton & Hove Albion FC,03-Feb,Manchester United FC,2018,Aug,19,19/Aug/2018,Sun,5,3,2,Brighton & Hove Albion FC
2,Mon Aug 20 2018,Crystal Palace FC,0-2,Liverpool FC,2018,Aug,20,20/Aug/2018,Mon,2,0,2,Liverpool FC
3,Sat Aug 25 2018,Wolverhampton Wanderers FC,01-Jan,Manchester City FC,2018,Aug,25,25/Aug/2018,Sat,2,1,1,Draw
3,Sat Aug 25 2018,Arsenal FC,03-Jan,West Ham United FC,2018,Aug,25,25/Aug/2018,Sat,4,3,1,Arsenal FC
3,Sat Aug 25 2018,Huddersfield Town AFC,0-0,Cardiff City FC,2018,Aug,25,25/Aug/2018,Sat,0,0,0,Draw
3,Sat Aug 25 2018,Southampton FC,01-Feb,Leicester City FC,2018,Aug,25,25/Aug/2018,Sat,3,1,2,Leicester City FC
3,Sat Aug 25 2018,AFC Bournemouth,02-Feb,Everton FC,2018,Aug,25,25/Aug/2018,Sat,4,2,2,Draw
3,Sat Aug 25 2018,Liverpool FC,1-0,Brighton & Hove Albion FC,2018,Aug,25,25/Aug/2018,Sat,1,1,0,Liverpool FC
3,Sun Aug 26 2018,Watford FC,02-Jan,Crystal Palace FC,2018,Aug,26,26/Aug/2018,Sun,3,2,1,Watford FC
3,Sun Aug 26 2018,Fulham FC,04-Feb,Burnley FC,2018,Aug,26,26/Aug/2018,Sun,6,4,2,Fulham FC
3,Sun Aug 26 2018,Newcastle United FC,01-Feb,Chelsea FC,2018,Aug,26,26/Aug/2018,Sun,3,1,2,Chelsea FC
3,Mon Aug 27 2018,Manchester United FC,0-3,Tottenham Hotspur FC,2018,Aug,27,27/Aug/2018,Mon,3,0,3,Tottenham Hotspur FC
4,Sat Sep 1 2018,Leicester City FC,01-Feb,Liverpool FC,2018,Sep,1,1/Sep/2018,Sat,3,1,2,Liverpool FC
4,Sat Sep 1 2018,Chelsea FC,2-0,AFC Bournemouth,2018,Sep,1,1/Sep/2018,Sat,2,2,0,Chelsea FC
4,Sat Sep 1 2018,Everton FC,01-Jan,Huddersfield Town AFC,2018,Sep,1,1/Sep/2018,Sat,2,1,1,Draw
4,Sat Sep 1 2018,West Ham United FC,0-1,Wolverhampton Wanderers FC,2018,Sep,1,1/Sep/2018,Sat,1,0,1,Wolverhampton Wanderers FC
4,Sat Sep 1 2018,Crystal Palace FC,0-2,Southampton FC,2018,Sep,1,1/Sep/2018,Sat,2,0,2,Southampton FC
4,Sat Sep 1 2018,Brighton & Hove Albion FC,02-Feb,Fulham FC,2018,Sep,1,1/Sep/2018,Sat,4,2,2,Draw
4,Sat Sep 1 2018,Manchester City FC,02-Jan,Newcastle United FC,2018,Sep,1,1/Sep/2018,Sat,3,2,1,Manchester City FC
4,Sun Sep 2 2018,Cardiff City FC,02-Mar,Arsenal FC,2018,Sep,2,2/Sep/2018,Sun,5,2,3,Arsenal FC
4,Sun Sep 2 2018,Burnley FC,0-2,Manchester United FC,2018,Sep,2,2/Sep/2018,Sun,2,0,2,Manchester United FC
4,Sun Sep 2 2018,Watford FC,02-Jan,Tottenham Hotspur FC,2018,Sep,2,2/Sep/2018,Sun,3,2,1,Watford FC
5,Sat Sep 15 2018,Tottenham Hotspur FC,01-Feb,Liverpool FC,2018,Sep,15,15/Sep/2018,Sat,3,1,2,Liverpool FC
5,Sat Sep 15 2018,Manchester City FC,3-0,Fulham FC,2018,Sep,15,15/Sep/2018,Sat,3,3,0,Manchester City FC
5,Sat Sep 15 2018,Newcastle United FC,01-Feb,Arsenal FC,2018,Sep,15,15/Sep/2018,Sat,3,1,2,Arsenal FC
5,Sat Sep 15 2018,Chelsea FC,04-Jan,Cardiff City FC,2018,Sep,15,15/Sep/2018,Sat,5,4,1,Chelsea FC
5,Sat Sep 15 2018,Huddersfield Town AFC,0-1,Crystal Palace FC,2018,Sep,15,15/Sep/2018,Sat,1,0,1,Crystal Palace FC
5,Sat Sep 15 2018,AFC Bournemouth,04-Feb,Leicester City FC,2018,Sep,15,15/Sep/2018,Sat,6,4,2,AFC Bournemouth
5,Sat Sep 15 2018,Watford FC,01-Feb,Manchester United FC,2018,Sep,15,15/Sep/2018,Sat,3,1,2,Manchester United FC
5,Sun Sep 16 2018,Wolverhampton Wanderers FC,1-0,Burnley FC,2018,Sep,16,16/Sep/2018,Sun,1,1,0,Wolverhampton Wanderers FC
5,Sun Sep 16 2018,Everton FC,01-Mar,West Ham United FC,2018,Sep,16,16/Sep/2018,Sun,4,1,3,West Ham United FC
5,Mon Sep 17 2018,Southampton FC,02-Feb,Brighton & Hove Albion FC,2018,Sep,17,17/Sep/2018,Mon,4,2,2,Draw
6,Sat Sep 22 2018,Fulham FC,01-Jan,Watford FC,2018,Sep,22,22/Sep/2018,Sat,2,1,1,Draw
6,Sat Sep 22 2018,Liverpool FC,3-0,Southampton FC,2018,Sep,22,22/Sep/2018,Sat,3,3,0,Liverpool FC
6,Sat Sep 22 2018,Manchester United FC,01-Jan,Wolverhampton Wanderers FC,2018,Sep,22,22/Sep/2018,Sat,2,1,1,Draw
6,Sat Sep 22 2018,Leicester City FC,03-Jan,Huddersfield Town AFC,2018,Sep,22,22/Sep/2018,Sat,4,3,1,Leicester City FC
6,Sat Sep 22 2018,Burnley FC,4-0,AFC Bournemouth,2018,Sep,22,22/Sep/2018,Sat,4,4,0,Burnley FC
6,Sat Sep 22 2018,Cardiff City FC,0-5,Manchester City FC,2018,Sep,22,22/Sep/2018,Sat,5,0,5,Manchester City FC
6,Sat Sep 22 2018,Crystal Palace FC,0-0,Newcastle United FC,2018,Sep,22,22/Sep/2018,Sat,0,0,0,Draw
6,Sat Sep 22 2018,Brighton & Hove Albion FC,01-Feb,Tottenham Hotspur FC,2018,Sep,22,22/Sep/2018,Sat,3,1,2,Tottenham Hotspur FC
6,Sun Sep 23 2018,West Ham United FC,0-0,Chelsea FC,2018,Sep,23,23/Sep/2018,Sun,0,0,0,Draw
6,Sun Sep 23 2018,Arsenal FC,2-0,Everton FC,2018,Sep,23,23/Sep/2018,Sun,2,2,0,Arsenal FC
7,Sat Sep 29 2018,West Ham United FC,03-Jan,Manchester United FC,2018,Sep,29,29/Sep/2018,Sat,4,3,1,West Ham United FC
7,Sat Sep 29 2018,Wolverhampton Wanderers FC,2-0,Southampton FC,2018,Sep,29,29/Sep/2018,Sat,2,2,0,Wolverhampton Wanderers FC
7,Sat Sep 29 2018,Manchester City FC,2-0,Brighton & Hove Albion FC,2018,Sep,29,29/Sep/2018,Sat,2,2,0,Manchester City FC
7,Sat Sep 29 2018,Newcastle United FC,0-2,Leicester City FC,2018,Sep,29,29/Sep/2018,Sat,2,0,2,Leicester City FC
7,Sat Sep 29 2018,Arsenal FC,2-0,Watford FC,2018,Sep,29,29/Sep/2018,Sat,2,2,0,Arsenal FC
7,Sat Sep 29 2018,Everton FC,3-0,Fulham FC,2018,Sep,29,29/Sep/2018,Sat,3,3,0,Everton FC
7,Sat Sep 29 2018,Huddersfield Town AFC,0-2,Tottenham Hotspur FC,2018,Sep,29,29/Sep/2018,Sat,2,0,2,Tottenham Hotspur FC
7,Sat Sep 29 2018,Chelsea FC,01-Jan,Liverpool FC,2018,Sep,29,29/Sep/2018,Sat,2,1,1,Draw
7,Sun Sep 30 2018,Cardiff City FC,01-Feb,Burnley FC,2018,Sep,30,30/Sep/2018,Sun,3,1,2,Burnley FC
7,Mon Oct 1 2018,AFC Bournemouth,02-Jan,Crystal Palace FC,2018,Oct,1,1/Oct/2018,Mon,3,2,1,AFC Bournemouth
8,Fri Oct 5 2018,Brighton & Hove Albion FC,1-0,West Ham United FC,2018,Oct,5,5/Oct/2018,Fri,1,1,0,Brighton & Hove Albion FC
8,Sat Oct 6 2018,Tottenham Hotspur FC,1-0,Cardiff City FC,2018,Oct,6,6/Oct/2018,Sat,1,1,0,Tottenham Hotspur FC
8,Sat Oct 6 2018,Leicester City FC,01-Feb,Everton FC,2018,Oct,6,6/Oct/2018,Sat,3,1,2,Everton FC
8,Sat Oct 6 2018,Burnley FC,01-Jan,Huddersfield Town AFC,2018,Oct,6,6/Oct/2018,Sat,2,1,1,Draw
8,Sat Oct 6 2018,Crystal Palace FC,0-1,Wolverhampton Wanderers FC,2018,Oct,6,6/Oct/2018,Sat,1,0,1,Wolverhampton Wanderers FC
8,Sat Oct 6 2018,Watford FC,0-4,AFC Bournemouth,2018,Oct,6,6/Oct/2018,Sat,4,0,4,AFC Bournemouth
8,Sat Oct 6 2018,Manchester United FC,03-Feb,Newcastle United FC,2018,Oct,6,6/Oct/2018,Sat,5,3,2,Manchester United FC
8,Sun Oct 7 2018,Fulham FC,01-May,Arsenal FC,2018,Oct,7,7/Oct/2018,Sun,6,1,5,Arsenal FC
8,Sun Oct 7 2018,Southampton FC,0-3,Chelsea FC,2018,Oct,7,7/Oct/2018,Sun,3,0,3,Chelsea FC
8,Sun Oct 7 2018,Liverpool FC,0-0,Manchester City FC,2018,Oct,7,7/Oct/2018,Sun,0,0,0,Draw
9,Sat Oct 20 2018,Chelsea FC,02-Feb,Manchester United FC,2018,Oct,20,20/Oct/2018,Sat,4,2,2,Draw
9,Sat Oct 20 2018,Wolverhampton Wanderers FC,0-2,Watford FC,2018,Oct,20,20/Oct/2018,Sat,2,0,2,Watford FC
9,Sat Oct 20 2018,Manchester City FC,5-0,Burnley FC,2018,Oct,20,20/Oct/2018,Sat,5,5,0,Manchester City FC
9,Sat Oct 20 2018,Newcastle United FC,0-1,Brighton & Hove Albion FC,2018,Oct,20,20/Oct/2018,Sat,1,0,1,Brighton & Hove Albion FC
9,Sat Oct 20 2018,Cardiff City FC,04-Feb,Fulham FC,2018,Oct,20,20/Oct/2018,Sat,6,4,2,Cardiff City FC
9,Sat Oct 20 2018,West Ham United FC,0-1,Tottenham Hotspur FC,2018,Oct,20,20/Oct/2018,Sat,1,0,1,Tottenham Hotspur FC
9,Sat Oct 20 2018,AFC Bournemouth,0-0,Southampton FC,2018,Oct,20,20/Oct/2018,Sat,0,0,0,Draw
9,Sat Oct 20 2018,Huddersfield Town AFC,0-1,Liverpool FC,2018,Oct,20,20/Oct/2018,Sat,1,0,1,Liverpool FC
9,Sun Oct 21 2018,Everton FC,2-0,Crystal Palace FC,2018,Oct,21,21/Oct/2018,Sun,2,2,0,Everton FC
9,Mon Oct 22 2018,Arsenal FC,03-Jan,Leicester City FC,2018,Oct,22,22/Oct/2018,Mon,4,3,1,Arsenal FC
10,Sat Oct 27 2018,Fulham FC,0-3,AFC Bournemouth,2018,Oct,27,27/Oct/2018,Sat,3,0,3,AFC Bournemouth
10,Sat Oct 27 2018,Liverpool FC,04-Jan,Cardiff City FC,2018,Oct,27,27/Oct/2018,Sat,5,4,1,Liverpool FC
10,Sat Oct 27 2018,Southampton FC,0-0,Newcastle United FC,2018,Oct,27,27/Oct/2018,Sat,0,0,0,Draw
10,Sat Oct 27 2018,Brighton & Hove Albion FC,1-0,Wolverhampton Wanderers FC,2018,Oct,27,27/Oct/2018,Sat,1,1,0,Brighton & Hove Albion FC
10,Sat Oct 27 2018,Watford FC,3-0,Huddersfield Town AFC,2018,Oct,27,27/Oct/2018,Sat,3,3,0,Watford FC
10,Sat Oct 27 2018,Leicester City FC,01-Jan,West Ham United FC,2018,Oct,27,27/Oct/2018,Sat,2,1,1,Draw
10,Sun Oct 28 2018,Burnley FC,0-4,Chelsea FC,2018,Oct,28,28/Oct/2018,Sun,4,0,4,Chelsea FC
10,Sun Oct 28 2018,Crystal Palace FC,02-Feb,Arsenal FC,2018,Oct,28,28/Oct/2018,Sun,4,2,2,Draw
10,Sun Oct 28 2018,Manchester United FC,02-Jan,Everton FC,2018,Oct,28,28/Oct/2018,Sun,3,2,1,Manchester United FC
10,Mon Oct 29 2018,Tottenham Hotspur FC,0-1,Manchester City FC,2018,Oct,29,29/Oct/2018,Mon,1,0,1,Manchester City FC
11,Sat Nov 3 2018,AFC Bournemouth,01-Feb,Manchester United FC,2018,Nov,3,3/Nov/2018,Sat,3,1,2,Manchester United FC
11,Sat Nov 3 2018,Newcastle United FC,1-0,Watford FC,2018,Nov,3,3/Nov/2018,Sat,1,1,0,Newcastle United FC
11,Sat Nov 3 2018,Everton FC,03-Jan,Brighton & Hove Albion FC,2018,Nov,3,3/Nov/2018,Sat,4,3,1,Everton FC
11,Sat Nov 3 2018,Cardiff City FC,0-1,Leicester City FC,2018,Nov,3,3/Nov/2018,Sat,1,0,1,Leicester City FC
11,Sat Nov 3 2018,West Ham United FC,04-Feb,Burnley FC,2018,Nov,3,3/Nov/2018,Sat,6,4,2,West Ham United FC
11,Sat Nov 3 2018,Arsenal FC,01-Jan,Liverpool FC,2018,Nov,3,3/Nov/2018,Sat,2,1,1,Draw
11,Sat Nov 3 2018,Wolverhampton Wanderers FC,02-Mar,Tottenham Hotspur FC,2018,Nov,3,3/Nov/2018,Sat,5,2,3,Tottenham Hotspur FC
11,Sun Nov 4 2018,Manchester City FC,06-Jan,Southampton FC,2018,Nov,4,4/Nov/2018,Sun,7,6,1,Manchester City FC
11,Sun Nov 4 2018,Chelsea FC,03-Jan,Crystal Palace FC,2018,Nov,4,4/Nov/2018,Sun,4,3,1,Chelsea FC
