Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Aug 4 2018,Salford City FC,01-Jan,Leyton Orient FC,2018,Aug,4,4/Aug/2018,Sat,2,1,1,Draw
1,Sat Aug 4 2018,AFC Fylde,02-Jan,Bromley FC,2018,Aug,4,4/Aug/2018,Sat,3,2,1,AFC Fylde
1,Sat Aug 4 2018,Aldershot Town FC,0-0,Barnet FC,2018,Aug,4,4/Aug/2018,Sat,0,0,0,Draw
1,Sat Aug 4 2018,Barrow AFC,3-0,Havant & Waterlooville FC,2018,Aug,4,4/Aug/2018,Sat,3,3,0,Barrow AFC
1,Sat Aug 4 2018,Boreham Wood FC,1-0,Dagenham & Redbridge FC,2018,Aug,4,4/Aug/2018,Sat,1,1,0,Boreham Wood FC
1,Sat Aug 4 2018,Braintree Town FC,0-2,FC Halifax Town,2018,Aug,4,4/Aug/2018,Sat,2,0,2,FC Halifax Town
1,Sat Aug 4 2018,Dover Athletic FC,0-1,Wrexham AFC,2018,Aug,4,4/Aug/2018,Sat,1,0,1,Wrexham AFC
1,Sat Aug 4 2018,Eastleigh FC,01-Feb,Solihull Moors FC,2018,Aug,4,4/Aug/2018,Sat,3,1,2,Solihull Moors FC
1,Sat Aug 4 2018,Ebbsfleet United FC,0-1,Chesterfield FC,2018,Aug,4,4/Aug/2018,Sat,1,0,1,Chesterfield FC
1,Sat Aug 4 2018,Harrogate Town AFC,02-Feb,Sutton United FC,2018,Aug,4,4/Aug/2018,Sat,4,2,2,Draw
1,Sat Aug 4 2018,Maidenhead United FC,01-Mar,Gateshead FC,2018,Aug,4,4/Aug/2018,Sat,4,1,3,Gateshead FC
1,Sat Aug 4 2018,Maidstone United FC,01-Jan,Hartlepool United FC,2018,Aug,4,4/Aug/2018,Sat,2,1,1,Draw
2,Tue Aug 7 2018,Barnet FC,01-Jan,Braintree Town FC,2018,Aug,7,7/Aug/2018,Tue,2,1,1,Draw
2,Tue Aug 7 2018,Bromley FC,02-Feb,Dover Athletic FC,2018,Aug,7,7/Aug/2018,Tue,4,2,2,Draw
2,Tue Aug 7 2018,Chesterfield FC,3-0,Aldershot Town FC,2018,Aug,7,7/Aug/2018,Tue,3,3,0,Chesterfield FC
2,Tue Aug 7 2018,Dagenham & Redbridge FC,01-Feb,Maidstone United FC,2018,Aug,7,7/Aug/2018,Tue,3,1,2,Maidstone United FC
2,Tue Aug 7 2018,FC Halifax Town,2-0,Barrow AFC,2018,Aug,7,7/Aug/2018,Tue,2,2,0,FC Halifax Town
2,Tue Aug 7 2018,Gateshead FC,02-Jan,Salford City FC,2018,Aug,7,7/Aug/2018,Tue,3,2,1,Gateshead FC
2,Tue Aug 7 2018,Hartlepool United FC,02-Feb,Harrogate Town AFC,2018,Aug,7,7/Aug/2018,Tue,4,2,2,Draw
2,Tue Aug 7 2018,Havant & Waterlooville FC,0-0,Boreham Wood FC,2018,Aug,7,7/Aug/2018,Tue,0,0,0,Draw
2,Tue Aug 7 2018,Leyton Orient FC,01-Jan,Ebbsfleet United FC,2018,Aug,7,7/Aug/2018,Tue,2,1,1,Draw
2,Tue Aug 7 2018,Solihull Moors FC,1-0,Maidenhead United FC,2018,Aug,7,7/Aug/2018,Tue,1,1,0,Solihull Moors FC
2,Tue Aug 7 2018,Sutton United FC,1-0,Eastleigh FC,2018,Aug,7,7/Aug/2018,Tue,1,1,0,Sutton United FC
2,Tue Aug 7 2018,Wrexham AFC,0-0,AFC Fylde,2018,Aug,7,7/Aug/2018,Tue,0,0,0,Draw
3,Sat Aug 11 2018,Wrexham AFC,3-0,Boreham Wood FC,2018,Aug,11,11/Aug/2018,Sat,3,3,0,Wrexham AFC
3,Sat Aug 11 2018,Barnet FC,01-Feb,Eastleigh FC,2018,Aug,11,11/Aug/2018,Sat,3,1,2,Eastleigh FC
3,Sat Aug 11 2018,Bromley FC,01-Jan,Harrogate Town AFC,2018,Aug,11,11/Aug/2018,Sat,2,1,1,Draw
3,Sat Aug 11 2018,Chesterfield FC,1-0,Braintree Town FC,2018,Aug,11,11/Aug/2018,Sat,1,1,0,Chesterfield FC
3,Sat Aug 11 2018,Dagenham & Redbridge FC,02-Feb,Maidenhead United FC,2018,Aug,11,11/Aug/2018,Sat,4,2,2,Draw
3,Sat Aug 11 2018,FC Halifax Town,3-0,Maidstone United FC,2018,Aug,11,11/Aug/2018,Sat,3,3,0,FC Halifax Town
3,Sat Aug 11 2018,Gateshead FC,02-Jan,Dover Athletic FC,2018,Aug,11,11/Aug/2018,Sat,3,2,1,Gateshead FC
3,Sat Aug 11 2018,Hartlepool United FC,0-1,Ebbsfleet United FC,2018,Aug,11,11/Aug/2018,Sat,1,0,1,Ebbsfleet United FC
3,Sat Aug 11 2018,Havant & Waterlooville FC,01-Jan,AFC Fylde,2018,Aug,11,11/Aug/2018,Sat,2,1,1,Draw
3,Sat Aug 11 2018,Leyton Orient FC,02-Feb,Barrow AFC,2018,Aug,11,11/Aug/2018,Sat,4,2,2,Draw
3,Sat Aug 11 2018,Solihull Moors FC,1-0,Aldershot Town FC,2018,Aug,11,11/Aug/2018,Sat,1,1,0,Solihull Moors FC
3,Sat Aug 11 2018,Sutton United FC,02-Jan,Salford City FC,2018,Aug,11,11/Aug/2018,Sat,3,2,1,Sutton United FC
4,Tue Aug 14 2018,AFC Fylde,03-Jan,Solihull Moors FC,2018,Aug,14,14/Aug/2018,Tue,4,3,1,AFC Fylde
4,Tue Aug 14 2018,Aldershot Town FC,02-Jan,Dagenham & Redbridge FC,2018,Aug,14,14/Aug/2018,Tue,3,2,1,Aldershot Town FC
4,Tue Aug 14 2018,Barrow AFC,03-Feb,Chesterfield FC,2018,Aug,14,14/Aug/2018,Tue,5,3,2,Barrow AFC
